id_achat;date_achat;id_produit;quantité;id_fournisseur;prix_unitaire;délai_livraison_jours
PO000036;11/10/2024;P00492;96;S042;109.27;4
PO000037;23/06/2024;P00712;34;S011;231.74;2
PO000038;28/05/2024;P00628;20;S023;225.36;2
PO000039;27/07/2024;P00067;86;S030;45.95;12
PO000040;12/01/2024;P00777;31;S012;188.66;2
PO000041;01/06/2024;P00178;63;S030;286.95;14
PO000042;07/08/2024;P00414;79;S025;247.82;14
PO000043;20/01/2024;P00720;95;S023;116.34;4
PO000044;09/01/2024;P00909;22;S018;85.54;13
PO000045;13/07/2024;P00751;99;S019;273.45;12
PO000046;26/11/2024;P00271;26;S006;223.16;7
PO000047;28/05/2024;P00118;99;S027;119.89;10
PO000048;05/01/2024;P00200;51;S017;289.17;2
PO000049;21/10/2024;P00449;25;S038;235.06;6
PO000050;18/08/2024;P00113;32;S050;125.22;7
PO000051;13/05/2024;P00708;31;S046;11.13;14
PO000052;07/05/2024;P00241;64;S022;159.8;11
PO000053;14/09/2024;P00253;92;S008;153.8;10
PO000054;02/12/2024;P00559;81;S048;269.7;3
PO000055;27/04/2024;P00515;31;S001;272.78;8
PO000056;14/04/2024;P00851;36;S041;57.93;7
PO000057;26/11/2024;P00895;47;S050;206.59;14
PO000058;20/11/2024;P00697;22;S021;154.65;6
PO000059;15/03/2024;P00697;19;S020;49.44;14
PO000060;06/06/2024;P00640;57;S014;142.83;11
PO000061;27/12/2024;P00707;29;S033;112.94;6
PO000062;22/06/2024;P00392;23;S012;296.7;8
PO000063;29/02/2024;P00170;55;S050;37.29;3
PO000064;01/03/2024;P00915;73;S010;127.07;10
PO000065;22/09/2024;P00925;58;S018;158.22;2
PO000066;05/11/2024;P00750;26;S012;170.04;10
PO000067;25/05/2024;P00551;38;S013;24.7;6
PO000068;07/05/2024;P00294;93;S025;26.01;6
PO000069;14/02/2024;P00786;61;S042;166.51;9
PO000070;11/08/2024;P00802;46;S020;114.27;3
PO000071;06/10/2024;P00321;74;S028;184.46;5
PO000072;24/06/2024;P00079;61;S022;257.36;14
PO000073;11/06/2024;P00488;54;S004;159.6;12
PO000074;12/07/2024;P00168;84;S034;274.16;11
PO000075;21/10/2024;P00749;42;S034;193.36;3
PO000076;25/09/2024;P00054;49;S034;29.64;2
PO000077;30/12/2024;P00603;13;S023;270.37;12
PO000078;02/04/2024;P00536;29;S034;168.43;5
PO000079;21/09/2024;P00325;12;S016;28.0;5
PO000080;24/10/2024;P00752;21;S039;24.54;12
PO000081;25/02/2024;P00419;14;S012;287.52;10
PO000082;18/02/2024;P00931;48;S029;250.25;13
PO000083;13/09/2024;P00234;71;S011;196.41;9
PO000084;07/11/2024;P00325;36;S027;171.05;3
PO000085;29/09/2024;P00591;62;S017;109.0;4
PO000086;06/11/2024;P00876;24;S026;108.17;2
PO000087;04/08/2024;P00178;42;S031;250.29;11
PO000088;25/11/2024;P00983;17;S020;58.03;8
PO000089;30/10/2024;P00646;62;S006;270.17;2
PO000090;07/10/2024;P00823;19;S012;255.78;3
PO000091;15/07/2024;P00080;60;S038;49.41;8
PO000092;05/10/2024;P00029;16;S006;18.93;7
PO000093;19/12/2024;P00361;98;S044;35.81;2
PO000094;25/12/2024;P00890;53;S025;60.48;4
PO000095;02/04/2024;P00240;14;S043;285.53;7
PO000096;02/02/2024;P00070;46;S010;143.3;3
PO000097;19/04/2024;P00259;72;S019;156.89;8
PO000098;02/09/2024;P00428;63;S031;50.72;3
PO000099;27/09/2024;P00557;91;S016;248.05;5
PO000100;04/12/2024;P00515;39;S016;81.06;13
PO000101;19/02/2024;P00901;12;S021;49.7;8
PO000102;06/09/2024;P00054;78;S007;78.34;13
PO000103;29/08/2024;P00892;53;S042;188.95;14
PO000104;03/07/2024;P00755;63;S034;293.27;8
PO000105;05/07/2024;P00793;81;S023;209.08;6
PO000106;19/01/2024;P00090;29;S036;216.95;8
PO000107;21/08/2024;P00569;99;S017;133.75;13
PO000108;09/03/2024;P00988;44;S041;83.73;13
PO000109;15/12/2024;P00376;73;S021;21.16;7
PO000110;19/10/2024;P00975;44;S039;42.34;11
PO000111;06/08/2024;P00116;52;S019;132.66;14
PO000112;12/07/2024;P00501;98;S018;218.47;3
PO000113;02/04/2024;P00980;31;S042;204.11;8
PO000114;11/01/2024;P00625;11;S029;286.49;3
PO000115;24/12/2024;P00483;49;S049;190.03;5
PO000116;31/01/2024;P00858;23;S046;141.45;13
PO000117;04/03/2024;P00881;44;S022;261.2;7
PO000118;21/06/2024;P00484;77;S004;61.47;9
PO000119;15/01/2024;P00994;40;S001;47.68;3
PO000120;30/04/2024;P00517;79;S006;267.59;7
PO000121;27/08/2024;P00031;85;S048;166.83;4
PO000122;14/12/2024;P00139;74;S023;121.04;10
PO000123;02/10/2024;P00313;52;S043;121.91;6
PO000124;12/01/2024;P00705;82;S006;69.53;2
PO000125;29/02/2024;P00367;13;S011;271.02;13
PO000126;21/12/2024;P00368;46;S024;222.65;6
PO000127;20/08/2024;P00254;53;S016;173.23;10
PO000128;19/05/2024;P00334;56;S024;96.72;8
PO000129;07/11/2024;P00683;53;S039;143.7;8
PO000130;27/10/2024;P00752;23;S049;96.99;8
PO000131;29/09/2024;P00186;15;S001;91.26;5
PO000132;12/01/2024;P00504;82;S003;141.34;12
PO000133;29/04/2024;P00632;46;S045;158.5;5
PO000134;17/04/2024;P00842;52;S014;272.12;13
PO000135;15/08/2024;P00574;71;S016;214.42;6
PO000136;27/09/2024;P00054;68;S008;218.56;13
PO000137;02/07/2024;P00936;31;S018;217.57;9
PO000138;27/01/2024;P00422;58;S016;285.47;8
PO000139;08/09/2024;P00350;25;S030;159.6;8
PO000140;11/04/2024;P00536;18;S039;296.72;12
PO000141;09/07/2024;P00667;47;S030;234.49;12
PO000142;06/01/2024;P00302;32;S008;210.9;13
PO000143;23/07/2024;P00919;17;S043;91.43;6
PO000144;24/07/2024;P00078;22;S039;102.81;6
PO000145;14/05/2024;P00454;94;S033;229.91;7
PO000146;20/08/2024;P00846;72;S039;242.64;13
PO000147;12/12/2024;P00174;32;S048;77.58;5
PO000148;17/09/2024;P00598;17;S045;250.02;10
PO000149;10/02/2024;P00430;95;S038;201.25;9
PO000150;28/09/2024;P00508;77;S019;25.04;14
PO000151;12/08/2024;P00711;14;S041;271.4;10
PO000152;25/11/2024;P00204;59;S044;181.21;7
PO000153;19/09/2024;P00176;61;S016;212.78;11
PO000154;04/03/2024;P00438;93;S008;103.69;8
PO000155;30/10/2024;P00689;79;S011;282.08;11
PO000156;01/05/2024;P00159;31;S040;158.9;2
PO000157;21/06/2024;P00584;10;S016;89.94;10
PO000158;23/05/2024;P00066;86;S025;75.67;7
PO000159;08/01/2024;P00683;35;S034;260.56;2
PO000160;05/02/2024;P00729;24;S005;35.81;3
PO000161;01/06/2024;P00595;36;S033;119.61;5
PO000162;21/01/2024;P00340;21;S001;40.16;11
PO000163;06/12/2024;P00338;20;S017;281.71;5
PO000164;23/10/2024;P00094;13;S004;165.04;10
PO000165;15/01/2024;P00031;53;S037;182.48;14
PO000166;02/04/2024;P00343;50;S042;255.84;11
PO000167;13/02/2024;P00401;21;S034;92.63;5
PO000168;09/09/2024;P00597;29;S018;60.47;2
PO000169;18/03/2024;P00205;60;S002;137.0;14
PO000170;13/10/2024;P00420;30;S037;68.91;13
PO000171;21/03/2024;P00910;58;S026;196.6;13
PO000172;10/01/2024;P00604;63;S010;230.44;11
PO000173;16/10/2024;P00009;27;S014;87.82;5
PO000174;17/02/2024;P00857;88;S028;287.11;3
PO000175;27/10/2024;P00330;50;S028;229.39;5
PO000176;26/12/2024;P00273;80;S038;196.88;11
PO000177;12/06/2024;P00959;69;S017;187.65;7
PO000178;23/11/2024;P00335;40;S009;274.27;10
PO000179;26/04/2024;P00533;21;S036;214.41;8
PO000180;29/08/2024;P00708;61;S043;291.43;14
PO000181;30/11/2024;P00625;11;S040;64.11;3
PO000182;04/05/2024;P00793;47;S050;83.3;3
PO000183;12/11/2024;P00489;62;S034;244.85;14
PO000184;18/04/2024;P00152;40;S025;36.58;2
PO000185;20/07/2024;P00571;44;S025;294.08;12
PO000186;23/03/2024;P00588;88;S021;122.25;14
PO000187;20/01/2024;P00050;61;S015;93.63;10
PO000188;08/12/2024;P00757;34;S006;45.95;5
PO000189;08/07/2024;P00959;20;S022;90.62;6
PO000190;18/05/2024;P00316;28;S042;126.84;12
PO000191;26/05/2024;P00411;80;S031;11.14;14
PO000192;14/12/2024;P00499;50;S034;198.47;7
PO000193;18/01/2024;P00800;79;S046;279.38;3
PO000194;08/12/2024;P00884;36;S050;177.52;3
PO000195;24/05/2024;P00105;59;S014;21.41;9
PO000196;08/07/2024;P00306;38;S037;120.66;8
PO000197;05/08/2024;P00077;94;S007;247.84;13
PO000198;17/02/2024;P00122;88;S002;61.96;5
PO000199;06/01/2024;P00101;80;S041;192.72;13
PO000200;26/06/2024;P00549;36;S049;134.22;6
PO000201;19/10/2024;P00219;66;S038;56.83;8
PO000202;10/01/2024;P00767;90;S008;127.35;4
PO000203;02/01/2024;P00371;10;S007;104.61;11
PO000204;16/03/2024;P00406;65;S035;266.37;9
PO000205;10/06/2024;P00211;29;S035;30.16;12
PO000206;02/04/2024;P00244;85;S034;107.86;10
PO000207;21/06/2024;P00048;69;S030;250.77;14
PO000208;30/09/2024;P00088;86;S015;110.1;2
PO000209;03/07/2024;P00674;94;S022;144.71;6
PO000210;11/04/2024;P00272;10;S028;112.08;3
PO000211;30/04/2024;P00720;91;S044;24.22;5
PO000212;15/03/2024;P00949;51;S013;99.56;12
PO000213;03/01/2024;P00072;22;S009;271.88;8
PO000214;17/07/2024;P00659;20;S019;134.42;10
PO000215;12/10/2024;P00770;66;S030;135.54;9
PO000216;24/04/2024;P00066;79;S035;289.78;4
PO000217;22/12/2024;P00164;79;S004;299.96;4
PO000218;17/04/2024;P00963;58;S029;280.09;7
PO000219;18/09/2024;P00052;99;S050;183.88;7
PO000220;25/03/2024;P00636;52;S032;202.26;8
PO000221;13/04/2024;P00985;30;S032;227.58;4
PO000222;26/10/2024;P00128;12;S034;15.45;3
PO000223;02/08/2024;P00820;48;S013;202.64;2
PO000224;18/06/2024;P00430;61;S044;219.94;9
PO000225;27/11/2024;P00621;70;S044;170.38;3
PO000226;23/01/2024;P00766;21;S039;263.61;12
PO000227;03/04/2024;P00533;36;S043;235.43;10
PO000228;29/06/2024;P00377;85;S022;268.02;6
PO000229;30/05/2024;P00692;46;S047;280.08;3
PO000230;03/08/2024;P00878;12;S021;150.6;10
PO000231;31/10/2024;P00472;62;S025;178.43;4
PO000232;22/09/2024;P00010;12;S006;63.98;13
PO000233;29/11/2024;P00499;67;S029;217.83;12
PO000234;12/11/2024;P00071;95;S035;146.1;8
PO000235;18/05/2024;P00366;22;S034;188.17;6
PO000236;06/11/2024;P00924;93;S028;201.26;12
PO000237;16/02/2024;P00191;85;S037;84.24;11
PO000238;23/05/2024;P00202;15;S001;278.12;13
PO000239;23/04/2024;P00985;28;S049;57.3;3
PO000240;05/04/2024;P00789;65;S006;242.12;7
PO000241;27/06/2024;P00600;66;S007;293.04;4
PO000242;26/01/2024;P00936;13;S045;18.38;2
PO000243;15/03/2024;P00579;38;S032;81.09;14
PO000244;02/02/2024;P00717;97;S016;247.85;14
PO000245;25/01/2024;P00558;41;S049;40.26;9
PO000246;06/12/2024;P00155;88;S018;48.65;2
PO000247;20/05/2024;P00632;94;S046;109.39;11
PO000248;14/01/2024;P00403;92;S031;11.82;4
PO000249;25/05/2024;P00395;93;S017;91.89;2
PO000250;27/05/2024;P00468;70;S029;280.59;13
PO000251;18/07/2024;P00387;78;S046;212.52;14
PO000252;13/06/2024;P00041;14;S032;246.91;11
PO000253;19/10/2024;P00151;12;S029;87.15;5
PO000254;20/06/2024;P00520;18;S044;183.61;14
PO000255;20/08/2024;P00956;47;S049;240.43;8
PO000256;28/03/2024;P00985;59;S027;199.91;8
PO000257;25/11/2024;P00558;76;S038;182.85;12
PO000258;18/07/2024;P00997;45;S048;278.35;11
PO000259;04/10/2024;P00873;29;S050;90.05;3
PO000260;05/09/2024;P00327;97;S001;54.9;13
PO000261;17/12/2024;P00470;21;S039;105.74;10
PO000262;05/09/2024;P00010;41;S019;105.78;2
PO000263;15/01/2024;P00064;46;S021;146.49;2
PO000264;25/06/2024;P00016;98;S045;239.56;9
PO000265;13/10/2024;P00905;96;S025;26.98;7
PO000266;21/06/2024;P00030;11;S027;293.54;14
PO000267;24/09/2024;P00460;17;S048;265.01;4
PO000268;13/06/2024;P00524;92;S023;66.52;2
PO000269;03/04/2024;P00157;15;S027;180.47;9
PO000270;06/07/2024;P00610;34;S027;234.8;9
PO000271;05/06/2024;P00396;17;S045;180.27;6
PO000272;26/01/2024;P00015;44;S019;266.3;10
PO000273;10/07/2024;P00997;95;S002;233.93;2
PO000274;31/03/2024;P00587;96;S025;231.97;5
PO000275;21/06/2024;P00301;55;S020;13.11;13
PO000276;19/09/2024;P00214;55;S013;145.15;6
PO000277;12/07/2024;P00226;41;S015;67.39;7
PO000278;01/06/2024;P00207;14;S033;290.24;7
PO000279;30/01/2024;P00822;80;S002;183.2;8
PO000280;24/04/2024;P00840;26;S011;95.32;4
PO000281;15/10/2024;P00953;33;S024;38.29;13
PO000282;29/11/2024;P00030;94;S034;21.8;2
PO000283;28/06/2024;P00307;27;S013;191.79;7
PO000284;09/06/2024;P00732;17;S036;168.14;5
PO000285;21/12/2024;P00390;84;S012;148.02;4
PO000286;02/09/2024;P00232;63;S007;218.41;4
PO000287;13/01/2024;P00428;14;S002;149.41;11
PO000288;01/06/2024;P00369;16;S036;226.57;10
PO000289;21/01/2024;P00427;89;S040;97.49;6
PO000290;01/03/2024;P00375;56;S038;97.53;4
PO000291;16/01/2024;P00051;81;S022;66.95;14
PO000292;15/11/2024;P00925;30;S021;83.22;9
PO000293;29/11/2024;P00436;17;S031;44.65;13
PO000294;16/03/2024;P00997;56;S016;40.36;6
PO000295;21/10/2024;P00555;99;S016;134.36;4
PO000296;19/12/2024;P00160;42;S040;20.59;11
PO000297;21/12/2024;P00966;35;S034;185.62;10
PO000298;11/12/2024;P00803;66;S044;94.54;2
PO000299;22/05/2024;P00837;40;S026;272.4;14
PO000300;31/10/2024;P00125;77;S035;14.52;4
PO000301;12/10/2024;P00395;32;S006;264.78;5
PO000302;23/01/2024;P00108;65;S028;251.68;8
PO000303;02/04/2024;P00997;81;S001;185.84;14
PO000304;02/08/2024;P00526;22;S033;107.14;5
PO000305;03/07/2024;P00982;22;S014;130.75;14
PO000306;02/01/2024;P00546;83;S026;249.8;11
PO000307;15/12/2024;P00443;55;S007;274.47;11
PO000308;14/09/2024;P00748;50;S008;242.93;13
PO000309;18/12/2024;P00698;29;S031;136.18;14
PO000310;12/09/2024;P00198;21;S020;269.22;11
PO000311;22/12/2024;P00193;39;S047;84.55;12
PO000312;12/07/2024;P00088;67;S029;12.69;4
PO000313;27/12/2024;P00359;34;S029;294.4;9
PO000314;30/05/2024;P00021;94;S027;47.96;13
PO000315;18/04/2024;P00482;73;S035;88.5;11
PO000316;28/12/2024;P00082;85;S006;32.43;3
PO000317;25/12/2024;P00832;12;S003;223.42;13
PO000318;02/09/2024;P00218;45;S035;46.1;14
PO000319;27/12/2024;P00707;84;S039;159.86;3
PO000320;03/08/2024;P00733;44;S007;93.22;6
PO000321;29/01/2024;P00531;41;S046;66.44;7
PO000322;17/01/2024;P00529;55;S009;218.95;12
PO000323;27/12/2024;P00091;24;S012;134.64;3
PO000324;26/02/2024;P00602;49;S004;60.86;4
PO000325;26/04/2024;P00738;92;S037;68.64;5
PO000326;03/07/2024;P00968;75;S017;60.19;11
PO000327;05/05/2024;P00186;79;S001;126.17;13
PO000328;18/02/2024;P00219;85;S050;15.21;10
PO000329;08/10/2024;P00183;95;S038;99.75;2
PO000330;06/07/2024;P00974;85;S013;32.38;9
PO000331;11/03/2024;P00473;66;S013;23.39;6
PO000332;21/03/2024;P00904;16;S044;62.75;14
PO000333;11/11/2024;P00217;32;S022;58.26;4
PO000334;12/10/2024;P00182;95;S039;277.53;13
PO000335;05/01/2024;P00978;65;S001;297.81;13
PO000336;25/08/2024;P00611;75;S037;45.33;7
PO000337;06/01/2024;P00631;27;S009;272.33;7
PO000338;25/11/2024;P00208;29;S046;194.92;7
PO000339;25/04/2024;P00759;22;S022;277.97;14
PO000340;01/07/2024;P00137;74;S048;20.38;13
PO000341;22/05/2024;P00131;98;S034;220.06;7
PO000342;29/05/2024;P00072;40;S005;48.34;6
PO000343;15/05/2024;P00172;68;S017;18.65;5
PO000344;23/02/2024;P00513;78;S006;121.82;13
PO000345;23/01/2024;P00752;44;S033;91.87;10
PO000346;22/11/2024;P00800;93;S033;258.87;4
PO000347;29/05/2024;P00814;30;S018;258.52;10
PO000348;18/03/2024;P00102;46;S005;287.32;6
PO000349;18/10/2024;P00017;47;S043;230.4;6
PO000350;11/07/2024;P00281;36;S041;193.05;6
PO000351;06/03/2024;P00804;33;S033;191.94;7
PO000352;27/07/2024;P00073;81;S034;240.77;7
PO000353;26/12/2024;P00883;60;S014;269.05;12
PO000354;16/11/2024;P00463;36;S025;105.34;9
PO000355;30/09/2024;P00848;87;S037;15.29;12
PO000356;27/06/2024;P00093;86;S007;267.74;2
PO000357;07/09/2024;P00141;20;S010;288.79;4
PO000358;20/02/2024;P00381;73;S038;236.76;11
PO000359;09/12/2024;P00015;68;S033;31.3;5
PO000360;09/08/2024;P00913;99;S028;81.11;2
PO000361;30/03/2024;P00601;74;S037;148.47;2
PO000362;17/05/2024;P00300;57;S027;104.56;10
PO000363;09/07/2024;P00093;12;S017;129.97;10
PO000364;06/06/2024;P00322;25;S034;233.37;14
PO000365;30/06/2024;P00685;15;S050;109.86;5
PO000366;22/12/2024;P00481;23;S016;184.98;4
PO000367;23/09/2024;P00836;63;S046;299.83;5
PO000368;15/06/2024;P00912;71;S045;292.99;4
PO000369;31/07/2024;P00097;64;S036;72.0;10
PO000370;23/11/2024;P00757;46;S048;71.3;12
PO000371;27/05/2024;P00642;72;S010;182.45;8
PO000372;09/06/2024;P00944;83;S046;111.05;2
PO000373;28/02/2024;P00406;69;S014;35.25;14
PO000374;18/02/2024;P00361;93;S013;42.44;12
PO000375;30/05/2024;P00752;53;S008;209.8;7
PO000376;28/11/2024;P00761;61;S023;161.67;8
PO000377;12/11/2024;P00074;82;S004;48.36;4
PO000378;28/08/2024;P00643;25;S013;68.75;10
PO000379;08/03/2024;P00560;12;S036;251.23;3
PO000380;21/09/2024;P00705;38;S027;281.11;6
PO000381;04/12/2024;P00946;33;S031;32.38;7
PO000382;01/03/2024;P00282;71;S009;126.4;14
PO000383;02/12/2024;P00066;42;S016;98.55;12
PO000384;30/03/2024;P00216;67;S032;154.68;8
PO000385;02/09/2024;P00784;96;S045;216.72;2
PO000386;12/07/2024;P00838;54;S003;215.28;14
PO000387;05/08/2024;P00047;60;S009;189.75;10
PO000388;07/10/2024;P00428;82;S042;202.29;9
PO000389;08/11/2024;P00215;85;S021;11.68;4
PO000390;11/09/2024;P00720;62;S003;54.43;10
PO000391;10/05/2024;P00092;17;S028;172.12;9
PO000392;25/10/2024;P00037;31;S027;20.63;11
PO000393;25/12/2024;P00865;32;S011;290.39;3
PO000394;12/04/2024;P00274;88;S039;107.69;12
PO000395;16/05/2024;P00571;96;S021;42.62;12
PO000396;08/08/2024;P00810;87;S042;42.21;6
PO000397;02/12/2024;P00144;32;S037;147.34;6
PO000398;16/07/2024;P00463;53;S001;127.75;12
PO000399;01/12/2024;P00339;96;S012;133.1;3
PO000400;14/01/2024;P00393;26;S035;172.71;5
PO000401;13/03/2024;P00170;26;S027;156.85;11
PO000402;02/03/2024;P00534;88;S009;240.61;11
PO000403;05/05/2024;P00355;37;S003;26.33;13
PO000404;20/02/2024;P00322;90;S035;92.24;3
PO000405;02/02/2024;P00910;20;S011;13.16;4
PO000406;11/01/2024;P00645;22;S033;119.19;12
PO000407;07/07/2024;P00405;82;S017;278.45;2
PO000408;09/04/2024;P00335;74;S006;227.61;13
PO000409;11/06/2024;P00879;45;S033;260.01;12
PO000410;14/10/2024;P00121;70;S030;201.58;7
PO000411;14/10/2024;P00905;93;S003;32.1;12
PO000412;10/01/2024;P00505;78;S043;130.66;4
PO000413;20/12/2024;P00419;77;S043;78.48;12
PO000414;24/01/2024;P00125;62;S021;72.24;9
PO000415;11/04/2024;P00706;33;S030;288.24;4
PO000416;25/07/2024;P00570;64;S014;163.08;6
PO000417;16/06/2024;P00610;43;S001;227.99;12
PO000418;04/07/2024;P00322;22;S038;299.62;7
PO000419;28/08/2024;P00103;61;S044;182.53;9
PO000420;19/06/2024;P00247;94;S042;125.16;14
PO000421;20/08/2024;P00538;89;S027;265.57;11
PO000422;21/11/2024;P00182;35;S013;229.82;8
PO000423;16/05/2024;P00931;73;S038;224.12;6
PO000424;31/01/2024;P00174;30;S040;257.89;9
PO000425;04/08/2024;P00957;98;S035;105.05;5
PO000426;08/04/2024;P00741;26;S040;14.25;5
PO000427;09/05/2024;P00886;69;S009;236.18;12
PO000428;27/09/2024;P00184;72;S021;181.68;3
PO000429;18/04/2024;P00875;83;S029;165.12;11
PO000430;02/10/2024;P00224;91;S018;58.17;3
PO000431;27/12/2024;P00142;83;S042;181.43;13
PO000432;03/04/2024;P00611;32;S010;82.4;6
PO000433;16/10/2024;P00689;38;S018;216.02;7
PO000434;11/12/2024;P00540;48;S028;43.98;12
PO000435;31/07/2024;P00823;97;S036;232.34;9
PO000436;19/08/2024;P00616;59;S026;276.63;8
PO000437;17/03/2024;P00499;47;S042;35.7;3
PO000438;26/10/2024;P00961;38;S025;185.76;3
PO000439;17/05/2024;P00582;88;S024;183.02;7
PO000440;06/06/2024;P00626;41;S032;44.03;10
PO000441;12/07/2024;P00821;35;S009;252.02;2
PO000442;26/01/2024;P00765;60;S011;201.38;8
PO000443;24/08/2024;P00312;78;S027;242.39;13
PO000444;22/03/2024;P00073;63;S030;16.45;3
PO000445;28/02/2024;P00750;77;S027;233.29;3
PO000446;02/12/2024;P00662;34;S045;295.76;9
PO000447;30/09/2024;P00970;39;S043;273.53;9
PO000448;13/10/2024;P00939;50;S019;186.99;11
PO000449;07/07/2024;P00933;99;S001;21.51;6
PO000450;21/03/2024;P00685;71;S014;77.91;4
PO000451;07/03/2024;P00266;53;S030;137.72;4
PO000452;03/06/2024;P00741;25;S025;228.22;6
PO000453;30/05/2024;P00589;20;S009;218.5;2
PO000454;27/04/2024;P00582;87;S050;127.03;9
PO000455;23/01/2024;P00504;75;S039;253.74;6
PO000456;24/05/2024;P00098;66;S007;28.34;11
PO000457;20/02/2024;P00055;70;S044;276.14;4
PO000458;26/03/2024;P00453;69;S046;134.58;9
PO000459;21/06/2024;P00319;85;S030;149.77;3
PO000460;08/08/2024;P00546;85;S049;52.71;3
PO000461;01/09/2024;P00784;89;S019;299.0;2
PO000462;14/10/2024;P00916;84;S047;127.73;13
PO000463;26/07/2024;P00725;89;S018;39.07;4
PO000464;19/02/2024;P00825;25;S006;124.19;5
PO000465;24/02/2024;P00564;65;S025;125.82;7
PO000466;15/06/2024;P00268;17;S022;154.16;12
PO000467;03/03/2024;P00187;64;S049;118.88;2
PO000468;12/02/2024;P00563;10;S042;55.92;9
PO000469;17/12/2024;P00686;87;S023;122.6;5
PO000470;28/05/2024;P00117;60;S029;232.87;2
PO000471;04/11/2024;P00737;55;S003;209.05;5
PO000472;19/02/2024;P00890;77;S027;124.06;12
PO000473;09/08/2024;P00933;28;S026;106.9;13
PO000474;12/03/2024;P00674;45;S050;284.98;5
PO000475;05/07/2024;P00778;84;S005;121.06;6
PO000476;09/11/2024;P00775;36;S025;222.15;5
PO000477;16/07/2024;P00548;55;S014;103.12;12
PO000478;05/09/2024;P00929;95;S037;190.15;5
PO000479;25/05/2024;P00594;74;S042;34.74;2
PO000480;29/12/2024;P00679;94;S049;166.87;9
PO000481;17/08/2024;P00875;30;S025;229.87;2
PO000482;16/07/2024;P00360;59;S039;10.5;5
PO000483;31/03/2024;P00744;34;S012;264.65;2
PO000484;30/05/2024;P00377;99;S034;152.76;3
PO000485;20/03/2024;P00794;72;S038;244.56;8
PO000486;09/09/2024;P00905;88;S022;234.71;3
PO000487;18/09/2024;P00582;62;S049;20.71;9
PO000488;03/09/2024;P00132;34;S018;88.59;13
PO000489;10/08/2024;P00440;15;S036;76.71;5
PO000490;29/02/2024;P00092;27;S008;75.83;11
PO000491;10/11/2024;P00429;34;S001;50.94;2
PO000492;28/05/2024;P00742;79;S009;100.28;8
PO000493;28/03/2024;P00280;60;S046;157.2;3
PO000494;18/05/2024;P00310;10;S004;119.55;5
PO000495;05/12/2024;P00001;79;S042;31.79;5
PO000496;02/06/2024;P00181;41;S009;175.82;13
PO000497;03/05/2024;P00331;51;S014;34.98;2
PO000498;20/03/2024;P00403;29;S044;82.92;13
PO000499;09/06/2024;P00670;70;S001;101.98;3
PO000500;24/08/2024;P00514;33;S042;149.58;2
PO000501;21/06/2024;P00515;10;S035;219.78;4
PO000502;29/03/2024;P00553;56;S007;155.33;3
PO000503;20/09/2024;P00750;81;S050;20.98;3
PO000504;21/10/2024;P00809;28;S033;175.11;13
PO000505;28/11/2024;P00004;78;S039;171.21;10
PO000506;10/02/2024;P00970;62;S019;94.0;6
PO000507;16/05/2024;P00211;60;S009;291.7;11
PO000508;27/09/2024;P00875;97;S018;134.15;7
PO000509;21/01/2024;P00998;73;S002;85.83;6
PO000510;09/02/2024;P00619;94;S040;129.66;8
PO000511;03/04/2024;P00769;30;S034;211.65;5
PO000512;11/06/2024;P00357;33;S029;247.41;4
PO000513;24/03/2024;P00533;24;S025;106.07;11
PO000514;01/12/2024;P00827;24;S031;48.18;4
PO000515;25/04/2024;P00677;82;S028;143.41;5
