id_commande;date_commande;id_produit;quantité;entrepôt;statut
O000107;08/11/2024;P00405;3;Lyon;Livré
O000108;18/02/2024;P00275;8;Lyon;Annulé
O000109;27/04/2024;P00415;5;Paris;Expédié
O000110;23/02/2024;P00562;4;Lyon;Livré
O000111;17/05/2024;P00327;6;Marseille;Annulé
O000112;22/02/2024;P00112;4;Paris;Livré
O000113;13/02/2024;P00792;5;Marseille;Livré
O000114;29/10/2024;P00302;4;Lyon;Livré
O000115;22/02/2024;P00136;9;Marseille;En attente
O000116;14/03/2024;P00333;2;Paris;Livré
O000117;15/02/2024;P00003;1;Lyon;Expédié
O000118;13/01/2024;P00162;7;Marseille;Expédié
O000119;13/06/2024;P00512;9;Marseille;Livré
O000120;11/04/2024;P00077;9;Lyon;Livré
O000121;06/10/2024;P00185;4;Marseille;Livré
O000122;14/09/2024;P00886;4;Paris;Livré
O000123;02/12/2024;P00570;1;Paris;Livré
O000124;21/12/2024;P00480;1;Paris;Livré
O000125;17/05/2024;P00163;1;Paris;Livré
O000126;11/06/2024;P00021;6;Lyon;Expédié
O000127;20/04/2024;P00577;6;Lyon;Livré
O000128;11/04/2024;P00578;5;Marseille;Livré
O000129;17/01/2024;P00953;2;Paris;Expédié
O000130;24/09/2024;P00298;6;Paris;Livré
O000131;30/06/2024;P00299;1;Paris;Livré
O000132;24/01/2024;P00282;3;Marseille;Livré
O000133;29/01/2024;P00963;5;Marseille;Annulé
O000134;19/06/2024;P00472;5;Lyon;Livré
O000135;15/08/2024;P00410;7;Marseille;En attente
O000136;06/07/2024;P00392;5;Paris;Expédié
O000137;11/12/2024;P00687;6;Lyon;Livré
O000138;17/08/2024;P00165;7;Paris;Livré
O000139;16/11/2024;P00968;2;Paris;Expédié
O000140;05/12/2024;P00082;3;Paris;Livré
O000141;28/04/2024;P00658;3;Lyon;Livré
O000142;04/06/2024;P00716;1;Lyon;Livré
O000143;28/09/2024;P00164;9;Lyon;Livré
O000144;23/06/2024;P00104;9;Lyon;En attente
O000145;13/04/2024;P00130;9;Marseille;Expédié
O000146;01/04/2024;P00596;9;Paris;Livré
O000147;04/07/2024;P00120;8;Paris;Livré
O000148;09/10/2024;P00259;5;Lyon;En attente
O000149;29/06/2024;P00104;9;Paris;Livré
O000150;18/06/2024;P00364;7;Marseille;Livré
O000151;05/07/2024;P00546;2;Lyon;Livré
O000152;23/06/2024;P00894;7;Marseille;Livré
O000153;09/08/2024;P00369;4;Marseille;Livré
O000154;20/08/2024;P00878;7;Marseille;Livré
O000155;10/06/2024;P00686;7;Marseille;Livré
O000156;13/05/2024;P00958;3;Paris;Expédié
O000157;11/08/2024;P00326;3;Marseille;Annulé
O000158;01/06/2024;P00744;6;Paris;Livré
O000159;02/02/2024;P00185;2;Lyon;Livré
O000160;24/02/2024;P00394;8;Lyon;Livré
O000161;07/01/2024;P00344;8;Paris;Livré
O000162;31/08/2024;P00530;4;Marseille;Expédié
O000163;08/11/2024;P00417;2;Marseille;Livré
O000164;05/05/2024;P00231;9;Marseille;Livré
O000165;12/01/2024;P00135;9;Paris;Livré
O000166;16/01/2024;P00045;2;Marseille;Livré
O000167;26/07/2024;P00624;4;Paris;Livré
O000168;12/02/2024;P00492;1;Paris;Expédié
O000169;14/05/2024;P00925;6;Lyon;Expédié
O000170;15/08/2024;P00595;1;Lyon;Expédié
O000171;20/04/2024;P00422;7;Lyon;Expédié
O000172;02/11/2024;P00551;9;Lyon;Livré
O000173;08/06/2024;P00766;9;Paris;Livré
O000174;26/11/2024;P00921;2;Lyon;Livré
O000175;20/09/2024;P00145;8;Marseille;En attente
O000176;12/08/2024;P00317;3;Paris;Livré
O000177;04/08/2024;P00563;5;Paris;Expédié
O000178;14/02/2024;P00293;4;Lyon;Livré
O000179;01/08/2024;P00579;6;Paris;Expédié
O000180;28/02/2024;P00536;7;Marseille;Livré
O000181;11/05/2024;P00634;9;Marseille;Livré
O000182;13/04/2024;P00466;5;Lyon;Annulé
O000183;13/07/2024;P00049;2;Paris;Livré
O000184;05/06/2024;P00986;4;Paris;Livré
O000185;07/04/2024;P00661;2;Marseille;Livré
O000186;13/08/2024;P00459;1;Marseille;Livré
O000187;23/07/2024;P00697;2;Marseille;Livré
O000188;19/03/2024;P00762;7;Paris;Livré
O000189;03/05/2024;P00425;2;Lyon;Expédié
O000190;05/08/2024;P00657;4;Marseille;Expédié
O000191;04/01/2024;P00755;5;Marseille;Expédié
O000192;30/03/2024;P00877;3;Marseille;Expédié
O000193;13/04/2024;P00870;4;Lyon;Livré
O000194;28/04/2024;P00661;3;Paris;Livré
O000195;12/05/2024;P00068;8;Marseille;Livré
O000196;07/11/2024;P00509;8;Lyon;Livré
O000197;05/04/2024;P00736;3;Marseille;En attente
O000198;26/11/2024;P00210;9;Paris;Livré
O000199;22/05/2024;P00704;9;Lyon;Expédié
O000200;14/10/2024;P00300;7;Paris;Livré
O000201;28/01/2024;P00124;1;Paris;Livré
O000202;04/10/2024;P00796;3;Marseille;Expédié
O000203;20/08/2024;P00292;8;Lyon;Livré
O000204;17/01/2024;P00421;6;Paris;Livré
O000205;28/02/2024;P00895;9;Marseille;Livré
O000206;30/03/2024;P00812;9;Marseille;Expédié
O000207;17/07/2024;P00050;1;Lyon;En attente
O000208;27/12/2024;P00986;6;Marseille;Livré
O000209;26/01/2024;P00881;3;Marseille;Livré
O000210;25/01/2024;P00183;5;Paris;Livré
O000211;27/10/2024;P00247;1;Paris;Livré
O000212;04/12/2024;P00088;7;Paris;Expédié
O000213;23/09/2024;P00650;6;Marseille;Livré
O000214;29/06/2024;P00550;5;Lyon;Livré
O000215;25/12/2024;P00561;2;Marseille;Livré
O000216;08/03/2024;P00072;8;Lyon;Livré
O000217;16/12/2024;P00770;5;Lyon;Expédié
O000218;16/11/2024;P00556;2;Lyon;Livré
O000219;18/02/2024;P00291;4;Paris;En attente
O000220;23/06/2024;P00504;8;Paris;Livré
O000221;21/02/2024;P00628;8;Lyon;Livré
O000222;11/04/2024;P00661;3;Marseille;Livré
O000223;03/08/2024;P00313;8;Marseille;Livré
O000224;06/07/2024;P00859;9;Paris;Expédié
O000225;26/02/2024;P00791;2;Lyon;Expédié
O000226;16/02/2024;P00288;6;Marseille;Livré
O000227;07/06/2024;P00730;3;Lyon;Expédié
O000228;22/06/2024;P00508;5;Marseille;Livré
O000229;29/08/2024;P00071;4;Lyon;Expédié
O000230;08/10/2024;P00161;8;Lyon;Expédié
O000231;28/08/2024;P00785;7;Marseille;Expédié
O000232;05/01/2024;P00127;7;Marseille;Livré
O000233;24/03/2024;P00456;1;Lyon;Annulé
O000234;03/11/2024;P00682;6;Marseille;Livré
O000235;26/12/2024;P00529;2;Lyon;Expédié
O000236;04/09/2024;P00304;8;Paris;Livré
O000237;23/02/2024;P00490;6;Lyon;Livré
O000238;09/06/2024;P00239;9;Marseille;Expédié
O000239;13/08/2024;P00176;1;Marseille;Livré
O000240;15/01/2024;P00210;8;Marseille;Livré
O000241;11/08/2024;P00996;2;Paris;Livré
O000242;01/03/2024;P00569;7;Paris;Livré
O000243;01/05/2024;P00359;3;Lyon;Livré
O000244;03/10/2024;P00189;7;Marseille;Livré
O000245;15/02/2024;P00509;1;Lyon;Livré
O000246;20/10/2024;P00556;9;Lyon;En attente
O000247;02/03/2024;P00919;6;Marseille;Expédié
O000248;26/03/2024;P00972;7;Marseille;Expédié
O000249;28/07/2024;P00634;9;Marseille;Livré
O000250;18/03/2024;P00983;1;Paris;Livré
O000251;20/07/2024;P00821;8;Lyon;Livré
O000252;28/10/2024;P00033;7;Lyon;Livré
O000253;10/08/2024;P00501;2;Paris;Livré
O000254;09/08/2024;P00312;1;Paris;Expédié
O000255;03/01/2024;P00540;1;Lyon;Livré
O000256;06/01/2024;P00151;4;Paris;Livré
O000257;02/04/2024;P00575;5;Paris;Livré
O000258;08/01/2024;P00519;7;Marseille;En attente
O000259;22/08/2024;P00111;8;Lyon;Livré
O000260;17/04/2024;P00642;2;Marseille;Livré
O000261;09/06/2024;P00961;9;Paris;Livré
O000262;27/07/2024;P00132;7;Marseille;Livré
O000263;27/08/2024;P00520;6;Lyon;Expédié
O000264;26/11/2024;P00894;8;Lyon;Expédié
O000265;28/11/2024;P00305;2;Lyon;Expédié
O000266;19/02/2024;P00029;1;Paris;Livré
O000267;11/01/2024;P00850;5;Marseille;Livré
O000268;16/12/2024;P00823;9;Paris;Livré
O000269;04/06/2024;P00933;7;Marseille;Expédié
O000270;10/03/2024;P00351;7;Paris;Expédié
O000271;17/06/2024;P00518;9;Paris;Livré
O000272;28/09/2024;P00492;5;Lyon;Expédié
O000273;08/03/2024;P00408;5;Marseille;Livré
O000274;20/12/2024;P00508;7;Marseille;Expédié
O000275;08/09/2024;P00624;6;Marseille;Livré
O000276;17/02/2024;P00105;6;Lyon;Livré
O000277;02/07/2024;P00719;8;Paris;Expédié
O000278;15/11/2024;P00552;4;Marseille;Expédié
O000279;05/07/2024;P00780;2;Marseille;Expédié
O000280;30/03/2024;P00320;3;Marseille;Expédié
O000281;27/11/2024;P00046;4;Paris;En attente
O000282;18/05/2024;P00241;5;Marseille;Livré
O000283;22/12/2024;P00270;2;Marseille;Expédié
O000284;29/03/2024;P00667;8;Paris;En attente
O000285;30/09/2024;P00628;5;Marseille;Livré
O000286;19/01/2024;P00037;7;Lyon;Livré
O000287;06/11/2024;P00205;9;Paris;Livré
O000288;23/12/2024;P00761;7;Lyon;Livré
O000289;02/06/2024;P00486;4;Marseille;En attente
O000290;16/09/2024;P00110;3;Lyon;Livré
O000291;17/04/2024;P00486;8;Paris;Expédié
O000292;11/10/2024;P00318;9;Paris;Livré
O000293;28/02/2024;P00835;5;Paris;Livré
O000294;04/05/2024;P00592;6;Paris;Livré
O000295;19/12/2024;P00076;6;Marseille;Expédié
O000296;29/09/2024;P00782;3;Marseille;Expédié
O000297;16/04/2024;P00610;4;Paris;Livré
O000298;25/10/2024;P00498;9;Marseille;Livré
O000299;01/09/2024;P00479;6;Lyon;Livré
O000300;01/12/2024;P00935;5;Lyon;Livré
O000301;03/09/2024;P00389;9;Paris;Expédié
O000302;08/01/2024;P00588;8;Lyon;En attente
O000303;20/05/2024;P00794;9;Lyon;Expédié
O000304;27/12/2024;P00593;9;Lyon;Expédié
O000305;08/01/2024;P00364;4;Paris;Expédié
O000306;17/12/2024;P00309;8;Lyon;Livré
O000307;03/04/2024;P00063;9;Paris;Expédié
O000308;16/11/2024;P00267;5;Marseille;Expédié
O000309;08/02/2024;P00033;4;Lyon;Livré
O000310;21/03/2024;P00809;1;Lyon;Livré
O000311;05/07/2024;P00040;3;Marseille;En attente
O000312;24/03/2024;P00686;2;Marseille;Expédié
O000313;28/03/2024;P00260;7;Paris;En attente
O000314;29/08/2024;P00736;4;Lyon;Livré
O000315;07/12/2024;P00735;9;Marseille;Expédié
O000316;02/04/2024;P00267;9;Lyon;Livré
O000317;26/03/2024;P00977;2;Marseille;Expédié
O000318;13/02/2024;P00667;3;Lyon;Expédié
O000319;16/05/2024;P00776;8;Marseille;Expédié
O000320;14/03/2024;P00661;3;Marseille;Expédié
O000321;05/02/2024;P00225;4;Marseille;Livré
O000322;10/04/2024;P00383;3;Marseille;En attente
O000323;04/06/2024;P00498;2;Lyon;Livré
O000324;11/09/2024;P00639;1;Marseille;Livré
O000325;19/06/2024;P00005;3;Lyon;Expédié
O000326;03/08/2024;P00446;9;Lyon;Expédié
O000327;18/06/2024;P00288;8;Marseille;Livré
O000328;08/09/2024;P00857;9;Marseille;Livré
O000329;25/12/2024;P00058;5;Marseille;Livré
O000330;17/11/2024;P00072;5;Lyon;Livré
O000331;24/02/2024;P00667;8;Lyon;Livré
O000332;31/03/2024;P00794;5;Marseille;En attente
O000333;04/10/2024;P00680;4;Paris;Livré
O000334;10/04/2024;P00541;9;Lyon;Livré
O000335;03/06/2024;P00969;1;Lyon;Expédié
O000336;14/12/2024;P00082;6;Marseille;Livré
O000337;29/12/2024;P00775;7;Paris;Expédié
O000338;20/05/2024;P00618;6;Marseille;Livré
O000339;21/06/2024;P00277;8;Paris;Expédié
O000340;10/01/2024;P00976;8;Lyon;En attente
O000341;15/08/2024;P00963;5;Paris;Livré
O000342;21/09/2024;P00864;4;Marseille;Annulé
O000343;04/09/2024;P00522;7;Lyon;Expédié
O000344;03/09/2024;P00574;9;Marseille;Livré
O000345;03/06/2024;P00736;2;Marseille;Livré
O000346;03/02/2024;P00136;7;Marseille;Annulé
O000347;08/05/2024;P00736;6;Paris;En attente
O000348;08/06/2024;P00114;3;Marseille;Expédié
O000349;29/03/2024;P00772;2;Paris;Livré
O000350;02/04/2024;P00157;1;Lyon;Livré
O000351;22/11/2024;P00396;2;Paris;Livré
O000352;28/08/2024;P00229;5;Marseille;Expédié
O000353;18/11/2024;P00612;1;Lyon;Expédié
O000354;26/04/2024;P00255;8;Marseille;Livré
O000355;03/04/2024;P00179;4;Lyon;Livré
O000356;11/06/2024;P00787;3;Lyon;Annulé
O000357;08/04/2024;P00229;2;Paris;Expédié
O000358;22/04/2024;P00367;1;Marseille;Livré
O000359;24/12/2024;P00031;8;Lyon;Livré
O000360;31/03/2024;P00108;9;Marseille;Expédié
O000361;11/12/2024;P00282;3;Paris;Livré
O000362;24/07/2024;P00621;3;Paris;Livré
O000363;17/01/2024;P00390;9;Marseille;Expédié
O000364;30/09/2024;P00541;7;Lyon;Livré
O000365;21/06/2024;P00529;9;Paris;Livré
O000366;25/04/2024;P00404;2;Paris;Livré
O000367;14/12/2024;P00170;7;Lyon;Annulé
O000368;29/06/2024;P00878;8;Lyon;Livré
O000369;31/03/2024;P00175;4;Paris;Livré
O000370;22/03/2024;P00074;4;Paris;Expédié
O000371;19/11/2024;P00454;2;Lyon;Livré
O000372;23/04/2024;P00509;2;Paris;Livré
O000373;13/09/2024;P00240;4;Marseille;Livré
O000374;27/02/2024;P00096;4;Paris;Livré
O000375;02/06/2024;P00514;5;Marseille;Livré
O000376;30/12/2024;P00202;9;Lyon;En attente
O000377;25/04/2024;P00037;9;Marseille;Livré
O000378;08/12/2024;P00091;7;Lyon;Livré
O000379;22/09/2024;P00233;6;Lyon;Livré
O000380;10/11/2024;P00659;5;Marseille;Livré
O000381;21/07/2024;P00809;4;Lyon;Livré
O000382;10/02/2024;P00912;2;Marseille;Livré
O000383;14/04/2024;P00253;4;Marseille;En attente
O000384;11/07/2024;P00371;7;Paris;En attente
O000385;04/10/2024;P00724;1;Paris;Livré
O000386;19/12/2024;P00444;3;Marseille;Livré
O000387;24/08/2024;P00441;4;Marseille;Livré
O000388;08/08/2024;P00996;7;Marseille;Livré
O000389;08/03/2024;P00064;3;Paris;En attente
O000390;15/07/2024;P00005;4;Paris;En attente
O000391;12/09/2024;P00658;1;Lyon;Livré
O000392;18/05/2024;P00072;1;Lyon;En attente
O000393;07/11/2024;P00397;3;Marseille;Expédié
O000394;28/05/2024;P00617;7;Paris;Expédié
O000395;08/04/2024;P00330;6;Lyon;Livré
O000396;16/03/2024;P00548;5;Marseille;Livré
O000397;08/10/2024;P00147;8;Lyon;Livré
O000398;18/04/2024;P00415;8;Marseille;Livré
O000399;06/07/2024;P00768;4;Marseille;Expédié
O000400;17/07/2024;P00740;6;Paris;Expédié
O000401;29/10/2024;P00349;1;Paris;Livré
O000402;22/11/2024;P00365;9;Lyon;Expédié
O000403;02/06/2024;P00791;5;Lyon;Livré
O000404;09/02/2024;P00416;8;Paris;Livré
O000405;12/05/2024;P00625;1;Lyon;Livré
O000406;11/05/2024;P00507;4;Lyon;Livré
O000407;05/10/2024;P00523;2;Paris;Livré
O000408;27/12/2024;P00706;2;Paris;Livré
O000409;24/03/2024;P00736;2;Paris;Livré
O000410;29/08/2024;P00250;2;Marseille;Annulé
O000411;25/04/2024;P00901;8;Paris;Livré
O000412;18/04/2024;P00249;6;Marseille;En attente
O000413;08/08/2024;P00351;9;Paris;Expédié
O000414;10/02/2024;P00269;2;Paris;Livré
O000415;26/05/2024;P00854;1;Lyon;Livré
O000416;21/04/2024;P00448;8;Marseille;Livré
O000417;12/04/2024;P00803;3;Paris;Expédié
O000418;15/02/2024;P00083;3;Lyon;Expédié
O000419;19/11/2024;P00541;8;Lyon;Expédié
O000420;27/09/2024;P00407;5;Lyon;Expédié
O000421;13/07/2024;P00339;8;Marseille;Livré
O000422;06/10/2024;P00080;2;Marseille;Livré
O000423;09/10/2024;P00095;9;Marseille;Expédié
O000424;09/02/2024;P00912;2;Lyon;Livré
O000425;07/07/2024;P00922;9;Paris;Livré
O000426;12/06/2024;P00259;6;Lyon;Livré
O000427;24/01/2024;P00122;5;Marseille;Livré
O000428;24/01/2024;P00124;7;Marseille;Livré
O000429;04/01/2024;P00535;7;Paris;Annulé
O000430;18/11/2024;P00953;4;Lyon;Annulé
O000431;16/10/2024;P00905;7;Paris;Livré
O000432;29/06/2024;P00947;3;Lyon;Expédié
O000433;04/09/2024;P00728;3;Marseille;Livré
O000434;25/04/2024;P00289;7;Lyon;Livré
O000435;05/10/2024;P00462;1;Marseille;En attente
O000436;30/12/2024;P00092;8;Lyon;Livré
O000437;09/03/2024;P00024;2;Marseille;En attente
O000438;16/12/2024;P00107;1;Lyon;Livré
O000439;10/09/2024;P00818;6;Marseille;Livré
O000440;29/06/2024;P00052;4;Lyon;Livré
O000441;13/11/2024;P00711;7;Marseille;Livré
O000442;17/06/2024;P00294;3;Lyon;Livré
O000443;08/11/2024;P00300;2;Lyon;Livré
O000444;05/09/2024;P00345;4;Marseille;Expédié
O000445;06/07/2024;P00382;4;Lyon;En attente
O000446;23/02/2024;P00568;4;Marseille;Livré
O000447;21/11/2024;P00194;3;Marseille;En attente
O000448;22/12/2024;P00557;7;Paris;Livré
O000449;08/11/2024;P00436;5;Lyon;Livré
O000450;17/05/2024;P00385;4;Lyon;Livré
O000451;16/06/2024;P00855;5;Marseille;Annulé
O000452;12/04/2024;P00751;7;Lyon;Livré
O000453;25/03/2024;P00372;4;Lyon;En attente
O000454;12/11/2024;P00744;5;Lyon;Expédié
O000455;30/07/2024;P00978;6;Lyon;Expédié
O000456;03/01/2024;P00320;6;Marseille;Livré
O000457;27/06/2024;P00239;7;Marseille;Livré
O000458;07/12/2024;P00392;3;Marseille;Livré
O000459;29/10/2024;P00994;8;Paris;Expédié
O000460;27/11/2024;P00939;5;Paris;Expédié
O000461;07/02/2024;P00648;1;Paris;En attente
O000462;26/08/2024;P00285;4;Paris;Expédié
O000463;17/06/2024;P00013;4;Paris;En attente
O000464;08/12/2024;P00385;8;Marseille;Livré
O000465;09/11/2024;P00541;9;Paris;Livré
O000466;01/11/2024;P00690;3;Paris;Livré
O000467;30/01/2024;P00293;1;Lyon;Livré
O000468;08/07/2024;P00257;8;Paris;Livré
O000469;22/12/2024;P00108;9;Marseille;Livré
O000470;25/01/2024;P00581;4;Paris;Livré
O000471;21/04/2024;P00885;5;Lyon;Livré
O000472;24/07/2024;P00688;4;Marseille;Livré
O000473;03/07/2024;P00183;4;Marseille;Livré
O000474;16/02/2024;P00754;3;Lyon;Livré
O000475;15/08/2024;P00706;4;Marseille;Expédié
O000476;08/02/2024;P00367;9;Marseille;Expédié
O000477;16/01/2024;P00831;7;Marseille;Expédié
O000478;22/01/2024;P00534;6;Lyon;Annulé
O000479;31/07/2024;P00862;9;Paris;Livré
O000480;05/11/2024;P00523;2;Lyon;Livré
O000481;28/05/2024;P00285;4;Marseille;Livré
O000482;28/08/2024;P00874;9;Lyon;Livré
O000483;28/09/2024;P00259;8;Lyon;Expédié
O000484;28/02/2024;P00173;1;Paris;Livré
O000485;13/10/2024;P00717;9;Lyon;En attente
O000486;20/07/2024;P00760;2;Paris;Expédié
O000487;01/02/2024;P00771;1;Paris;Livré
O000488;10/06/2024;P00330;2;Marseille;Livré
O000489;11/09/2024;P00452;6;Paris;Livré
O000490;10/09/2024;P00782;2;Lyon;Livré
O000491;09/01/2024;P00471;1;Lyon;Livré
O000492;18/05/2024;P00081;5;Paris;Livré
O000493;10/01/2024;P00321;2;Paris;Expédié
O000494;01/08/2024;P00441;4;Lyon;Expédié
O000495;29/09/2024;P00399;8;Lyon;Expédié
O000496;19/11/2024;P00188;6;Marseille;Livré
O000497;17/02/2024;P00438;8;Paris;Livré
O000498;20/04/2024;P00885;5;Paris;Livré
O000499;01/06/2024;P00898;2;Marseille;Expédié
O000500;02/05/2024;P00850;1;Marseille;Expédié
O000501;22/12/2024;P00448;8;Marseille;Livré
O000502;11/04/2024;P00743;1;Paris;Livré
O000503;28/08/2024;P00470;9;Paris;Livré
O000504;16/11/2024;P00540;4;Lyon;Livré
O000505;09/07/2024;P00862;6;Paris;Livré
O000506;04/08/2024;P00461;6;Marseille;En attente
O000507;20/02/2024;P00835;3;Lyon;Livré
O000508;18/10/2024;P00515;1;Paris;Livré
O000509;21/03/2024;P00237;6;Paris;En attente
O000510;28/03/2024;P00181;5;Lyon;Livré
O000511;12/07/2024;P00410;4;Lyon;Expédié
O000512;13/04/2024;P00516;9;Marseille;En attente
O000513;27/09/2024;P00912;4;Paris;Livré
O000514;05/04/2024;P00860;1;Marseille;Livré
O000515;16/07/2024;P00072;6;Paris;Livré
O000516;01/01/2024;P00182;7;Paris;Livré
O000517;15/06/2024;P00104;1;Lyon;Livré
O000518;05/05/2024;P00272;9;Paris;Livré
O000519;08/11/2024;P00287;2;Paris;Livré
O000520;21/03/2024;P00087;7;Marseille;Livré
O000521;07/09/2024;P00386;8;Paris;Livré
O000522;17/06/2024;P00073;8;Lyon;Livré
O000523;13/03/2024;P00603;1;Marseille;Annulé
O000524;20/05/2024;P00685;1;Paris;En attente
O000525;10/03/2024;P00310;4;Paris;En attente
O000526;18/09/2024;P00699;2;Paris;Livré
O000527;05/12/2024;P00443;4;Marseille;Livré
O000528;03/11/2024;P00918;6;Marseille;Expédié
O000529;01/09/2024;P00236;3;Lyon;Livré
O000530;03/01/2024;P00674;3;Paris;Livré
O000531;02/12/2024;P00585;1;Lyon;Livré
O000532;03/03/2024;P00737;5;Paris;Livré
O000533;18/02/2024;P00896;7;Paris;Livré
O000534;16/03/2024;P00230;6;Paris;Livré
O000535;23/06/2024;P00254;4;Paris;Expédié
O000536;18/04/2024;P00952;6;Paris;Expédié
