id_produit,catégorie,marque,prix,stock_minimum,date,entrepot,niveau_stock
P00078,Soins capillaires,Essentielle Paris,216.19,30,05/12/2024,Marseille,284
P00078,Soins capillaires,Essentielle Paris,216.19,30,23/10/2024,Lyon,265
P00079,Soins capillaires,Reflet d'or,32.19,22,01/04/2024,Paris,12
P00080,Soins capillaires,Elixir Haute Beauté,94.95,30,27/04/2024,Paris,298
P00081,Accessoires,Luxe eclat,363.67,17,14/09/2024,Marseille,65
P00081,Accessoires,Luxe eclat,363.67,17,19/12/2024,Lyon,221
P00082,Soins de la peau,Maison Pure,336.28,55,23/03/2024,Paris,276
P00082,Soins de la peau,Maison Pure,336.28,55,21/05/2024,Lyon,181
P00083,Accessoires,Essentielle Paris,33.01,16,02/07/2024,Lyon,155
P00084,Accessoires,Reflet d'or,126.55,32,03/10/2024,Lyon,231
P00084,Accessoires,Reflet d'or,126.55,32,16/07/2024,Marseille,79
P00085,Soins de la peau,Elixir Haute Beauté,130.92,84,30/06/2024,Paris,112
P00085,Soins de la peau,Elixir Haute Beauté,130.92,84,12/09/2024,Lyon,15
P00086,Soins de la peau,Luxe eclat,342.51,95,27/12/2024,Paris,80
P00087,Soins de la peau,Maison Pure,29.46,31,15/12/2024,Paris,286
P00088,Soins de la peau,Essentielle Paris,69.97,98,09/10/2024,Lyon,258
P00088,Soins de la peau,Essentielle Paris,69.97,98,28/06/2024,Paris,83
P00089,Soins capillaires,Reflet d'or,403.96,31,03/01/2024,Lyon,163
P00089,Soins capillaires,Reflet d'or,403.96,31,10/08/2024,Paris,51
P00090,Maquillage,Elixir Haute Beauté,105.7,38,17/04/2024,Lyon,283
P00090,Maquillage,Elixir Haute Beauté,105.7,38,27/06/2024,Marseille,124
P00091,Maquillage,Luxe eclat,333.32,22,02/09/2024,Lyon,141
P00091,Maquillage,Luxe eclat,333.32,22,25/08/2024,Paris,241
P00092,Soins de la peau,Maison Pure,134.33,91,30/04/2024,Paris,156
P00092,Soins de la peau,Maison Pure,134.33,91,29/08/2024,Lyon,207
P00093,Maquillage,Essentielle Paris,67.73,11,12/06/2024,Lyon,80
P00093,Maquillage,Essentielle Paris,67.73,11,28/02/2024,Paris,199
P00094,Maquillage,Reflet d'or,136.72,38,16/05/2024,Paris,23
P00095,Soins de la peau,Elixir Haute Beauté,366.69,94,20/08/2024,Lyon,261
P00095,Soins de la peau,Elixir Haute Beauté,366.69,94,29/02/2024,Paris,63
P00096,Maquillage,Luxe eclat,430.73,88,28/02/2024,Lyon,68
P00096,Maquillage,Luxe eclat,430.73,88,03/05/2024,Paris,61
P00097,Accessoires,Maison Pure,418.51,61,30/08/2024,Marseille,48
P00098,Parfums,Essentielle Paris,210.65,36,18/05/2024,Paris,11
P00099,Parfums,Reflet d'or,340.68,59,26/09/2024,Paris,229
P00099,Parfums,Reflet d'or,340.68,59,18/02/2024,Lyon,74
P00100,Soins de la peau,Elixir Haute Beauté,118.39,88,16/10/2024,Marseille,15
P00101,Soins capillaires,Luxe eclat,160.71,32,14/08/2024,Paris,83
P00101,Soins capillaires,Luxe eclat,160.71,32,17/07/2024,Lyon,76
P00102,Soins de la peau,Maison Pure,450.24,97,04/01/2024,Marseille,84
P00102,Soins de la peau,Maison Pure,450.24,97,22/03/2024,Paris,176
P00103,Soins capillaires,Essentielle Paris,26.24,53,28/05/2024,Paris,189
P00103,Soins capillaires,Essentielle Paris,26.24,53,08/06/2024,Lyon,17
P00104,Parfums,Reflet d'or,61.04,86,25/04/2024,Paris,212
P00105,Soins de la peau,Elixir Haute Beauté,119.79,31,07/12/2024,Lyon,133
P00105,Soins de la peau,Elixir Haute Beauté,119.79,31,18/10/2024,Paris,42
P00106,Accessoires,Luxe eclat,32.74,52,02/07/2024,Marseille,92
P00106,Accessoires,Luxe eclat,32.74,52,29/04/2024,Paris,116
P00107,Maquillage,Maison Pure,107.09,46,27/02/2024,Paris,257
P00107,Maquillage,Maison Pure,107.09,46,21/07/2024,Lyon,47
P00108,Soins capillaires,Essentielle Paris,299.86,70,19/03/2024,Lyon,136
P00108,Soins capillaires,Essentielle Paris,299.86,70,21/03/2024,Marseille,92
P00109,Maquillage,Reflet d'or,222.28,65,01/11/2024,Paris,13
P00109,Maquillage,Reflet d'or,222.28,65,08/08/2024,Marseille,272
P00110,Maquillage,Elixir Haute Beauté,448.48,12,24/03/2024,Paris,192
P00110,Maquillage,Elixir Haute Beauté,448.48,12,10/09/2024,Marseille,267
P00111,Soins de la peau,Luxe eclat,412.37,72,04/03/2024,Paris,250
P00111,Soins de la peau,Luxe eclat,412.37,72,28/12/2024,Lyon,16
P00112,Maquillage,Maison Pure,184.07,28,07/10/2024,Marseille,47
P00112,Maquillage,Maison Pure,184.07,28,16/06/2024,Paris,179
P00113,Accessoires,Essentielle Paris,144.52,32,01/12/2024,Marseille,92
P00113,Accessoires,Essentielle Paris,144.52,32,23/05/2024,Paris,130
P00114,Maquillage,Reflet d'or,202.25,38,04/03/2024,Marseille,276
P00114,Maquillage,Reflet d'or,202.25,38,13/10/2024,Paris,51
P00115,Soins de la peau,Elixir Haute Beauté,303.34,39,27/04/2024,Paris,296
P00115,Soins de la peau,Elixir Haute Beauté,303.34,39,20/02/2024,Lyon,129
P00116,Accessoires,Luxe eclat,148.67,48,22/02/2024,Lyon,87
P00117,Parfums,Maison Pure,319.59,34,31/07/2024,Lyon,27
P00118,Maquillage,Essentielle Paris,216.52,17,14/06/2024,Lyon,264
P00118,Maquillage,Essentielle Paris,216.52,17,16/01/2024,Paris,121
P00119,Soins de la peau,Reflet d'or,284.98,67,10/10/2024,Paris,265
P00120,Parfums,Elixir Haute Beauté,229.34,25,07/09/2024,Lyon,287
P00120,Parfums,Elixir Haute Beauté,229.34,25,15/10/2024,Marseille,5
P00121,Parfums,Luxe eclat,161.34,81,29/04/2024,Paris,78
P00121,Parfums,Luxe eclat,161.34,81,05/02/2024,Marseille,107
P00122,Soins capillaires,Maison Pure,475.26,10,01/06/2024,Marseille,232
P00122,Soins capillaires,Maison Pure,475.26,10,30/09/2024,Lyon,275
P00123,Accessoires,Essentielle Paris,386.53,14,17/07/2024,Paris,126
P00123,Accessoires,Essentielle Paris,386.53,14,31/12/2024,Lyon,49
P00124,Maquillage,Reflet d'or,87.25,12,31/08/2024,Paris,96
P00124,Maquillage,Reflet d'or,87.25,12,13/09/2024,Lyon,106
P00125,Soins de la peau,Elixir Haute Beauté,436.86,74,25/06/2024,Paris,155
P00125,Soins de la peau,Elixir Haute Beauté,436.86,74,30/01/2024,Marseille,32
P00126,Soins capillaires,Luxe eclat,253.97,13,25/04/2024,Paris,179
P00126,Soins capillaires,Luxe eclat,253.97,13,12/05/2024,Lyon,61
P00127,Accessoires,Maison Pure,449.39,73,28/03/2024,Paris,297
P00127,Accessoires,Maison Pure,449.39,73,27/04/2024,Lyon,279
P00128,Soins capillaires,Essentielle Paris,403.93,98,02/08/2024,Marseille,267
P00128,Soins capillaires,Essentielle Paris,403.93,98,15/10/2024,Lyon,285
P00129,Accessoires,Reflet d'or,224.1,19,21/09/2024,Marseille,114
P00129,Accessoires,Reflet d'or,224.1,19,28/08/2024,Paris,211
P00129,Accessoires,Reflet d'or,224.1,19,19/03/2024,Lyon,212
P00130,Accessoires,Elixir Haute Beauté,30.79,30,16/03/2024,Marseille,95
P00130,Accessoires,Elixir Haute Beauté,30.79,30,03/11/2024,Lyon,214
P00131,Maquillage,Luxe eclat,148.97,55,25/11/2024,Lyon,92
P00131,Maquillage,Luxe eclat,148.97,55,27/08/2024,Marseille,38
P00132,Accessoires,Maison Pure,279.98,36,07/10/2024,Paris,201
P00133,Soins capillaires,Essentielle Paris,324.07,75,22/12/2024,Paris,273
P00133,Soins capillaires,Essentielle Paris,324.07,75,22/08/2024,Lyon,264
P00134,Accessoires,Reflet d'or,143.79,50,27/08/2024,Paris,59
P00134,Accessoires,Reflet d'or,143.79,50,22/06/2024,Lyon,67
P00135,Maquillage,Elixir Haute Beauté,86.89,22,24/07/2024,Marseille,144
P00136,Maquillage,Luxe eclat,420.77,18,30/10/2024,Marseille,129
P00136,Maquillage,Luxe eclat,420.77,18,16/03/2024,Paris,251
P00137,Soins capillaires,Maison Pure,492.51,45,24/12/2024,Paris,150
P00138,Parfums,Essentielle Paris,272.33,95,30/05/2024,Paris,187
P00138,Parfums,Essentielle Paris,272.33,95,18/05/2024,Lyon,34
P00139,Parfums,Reflet d'or,102.41,99,18/01/2024,Paris,109
P00140,Accessoires,Elixir Haute Beauté,150.71,67,04/06/2024,Paris,228
P00140,Accessoires,Elixir Haute Beauté,150.71,67,06/10/2024,Lyon,103
P00141,Soins de la peau,Luxe eclat,28.83,63,26/08/2024,Paris,140
P00141,Soins de la peau,Luxe eclat,28.83,63,06/04/2024,Lyon,27
P00142,Accessoires,Maison Pure,458.86,21,03/08/2024,Lyon,105
P00143,Soins capillaires,Essentielle Paris,76.52,90,13/10/2024,Paris,218
P00143,Soins capillaires,Essentielle Paris,76.52,90,23/09/2024,Lyon,211
P00144,Soins capillaires,Reflet d'or,296.73,87,02/01/2024,Lyon,5
P00145,Soins capillaires,Elixir Haute Beauté,151.55,23,18/04/2024,Paris,98
P00146,Soins capillaires,Luxe eclat,286.01,43,11/10/2024,Paris,107
P00147,Soins capillaires,Maison Pure,332.68,62,23/10/2024,Marseille,96
P00147,Soins capillaires,Maison Pure,332.68,62,16/01/2024,Paris,282
P00148,Maquillage,Essentielle Paris,418.28,29,13/07/2024,Lyon,1
P00148,Maquillage,Essentielle Paris,418.28,29,02/05/2024,Paris,197
P00149,Parfums,Reflet d'or,119.08,84,06/06/2024,Marseille,225
P00149,Parfums,Reflet d'or,119.08,84,18/06/2024,Lyon,255
P00150,Soins capillaires,Elixir Haute Beauté,25.28,25,28/12/2024,Paris,279
P00150,Soins capillaires,Elixir Haute Beauté,25.28,25,08/10/2024,Marseille,278
P00151,Soins de la peau,Luxe eclat,85.71,79,30/01/2024,Marseille,134
P00151,Soins de la peau,Luxe eclat,85.71,79,26/06/2024,Paris,207
P00152,Soins de la peau,Maison Pure,452.01,65,19/03/2024,Paris,190
P00153,Soins de la peau,Essentielle Paris,439.47,92,10/11/2024,Paris,241
P00153,Soins de la peau,Essentielle Paris,439.47,92,23/07/2024,Marseille,167
P00154,Soins de la peau,Reflet d'or,306.76,67,08/03/2024,Paris,146
P00154,Soins de la peau,Reflet d'or,306.76,67,09/01/2024,Lyon,209
P00154,Soins de la peau,Reflet d'or,306.76,67,04/11/2024,Marseille,129
P00155,Maquillage,Elixir Haute Beauté,308.25,13,01/04/2024,Paris,218
P00155,Maquillage,Elixir Haute Beauté,308.25,13,17/05/2024,Lyon,117
P00156,Soins de la peau,Luxe eclat,339.22,13,28/08/2024,Lyon,143
P00156,Soins de la peau,Luxe eclat,339.22,13,06/05/2024,Paris,108
P00157,Soins capillaires,Maison Pure,104.18,29,07/11/2024,Paris,57
P00157,Soins capillaires,Maison Pure,104.18,29,22/04/2024,Lyon,180
P00158,Accessoires,Essentielle Paris,458.92,19,24/12/2024,Paris,139
P00159,Soins de la peau,Reflet d'or,221.01,33,26/11/2024,Paris,164
P00159,Soins de la peau,Reflet d'or,221.01,33,07/02/2024,Lyon,213
P00160,Maquillage,Elixir Haute Beauté,203.91,35,02/03/2024,Paris,121
P00161,Maquillage,Luxe eclat,269.08,46,23/03/2024,Lyon,162
P00161,Maquillage,Luxe eclat,269.08,46,25/07/2024,Marseille,82
P00161,Maquillage,Luxe eclat,269.08,46,19/11/2024,Paris,5
P00162,Soins de la peau,Maison Pure,42.54,94,22/01/2024,Paris,26
P00162,Soins de la peau,Maison Pure,42.54,94,05/02/2024,Lyon,82
P00163,Accessoires,Essentielle Paris,99.82,63,22/08/2024,Paris,161
P00163,Accessoires,Essentielle Paris,99.82,63,19/12/2024,Lyon,5
P00164,Soins de la peau,Reflet d'or,374.26,30,08/11/2024,Lyon,236
P00164,Soins de la peau,Reflet d'or,374.26,30,06/05/2024,Paris,248
P00165,Maquillage,Elixir Haute Beauté,59.74,83,19/01/2024,Paris,113
P00165,Maquillage,Elixir Haute Beauté,59.74,83,08/10/2024,Lyon,243
P00166,Parfums,Luxe eclat,309.51,47,04/12/2024,Paris,149
P00167,Soins capillaires,Maison Pure,137.77,55,30/10/2024,Paris,182
P00168,Maquillage,Essentielle Paris,206.86,13,10/12/2024,Paris,61
P00168,Maquillage,Essentielle Paris,206.86,13,02/12/2024,Marseille,216
P00169,Soins de la peau,Reflet d'or,158.57,69,08/08/2024,Paris,85
P00169,Soins de la peau,Reflet d'or,158.57,69,25/02/2024,Marseille,262
P00170,Soins capillaires,Elixir Haute Beauté,190.72,66,03/04/2024,Paris,141
P00170,Soins capillaires,Elixir Haute Beauté,190.72,66,11/02/2024,Lyon,89
P00171,Soins de la peau,Luxe eclat,365.14,54,26/05/2024,Lyon,36
P00171,Soins de la peau,Luxe eclat,365.14,54,16/10/2024,Paris,69
P00172,Soins de la peau,Maison Pure,162.62,29,24/02/2024,Lyon,16
P00172,Soins de la peau,Maison Pure,162.62,29,18/03/2024,Paris,247
P00173,Parfums,Essentielle Paris,291.87,26,24/11/2024,Marseille,254
P00174,Soins capillaires,Reflet d'or,248.5,80,04/12/2024,Marseille,13
P00174,Soins capillaires,Reflet d'or,248.5,80,10/04/2024,Paris,179
P00175,Soins capillaires,Elixir Haute Beauté,338.56,13,18/09/2024,Paris,228
P00175,Soins capillaires,Elixir Haute Beauté,338.56,13,12/04/2024,Marseille,195
P00176,Parfums,Luxe eclat,469.68,23,18/02/2024,Paris,95
P00176,Parfums,Luxe eclat,469.68,23,25/05/2024,Lyon,180
P00177,Maquillage,Maison Pure,371.63,12,17/02/2024,Paris,134
P00177,Maquillage,Maison Pure,371.63,12,07/01/2024,Marseille,218
P00178,Soins de la peau,Essentielle Paris,123.17,97,13/03/2024,Marseille,74
P00178,Soins de la peau,Essentielle Paris,123.17,97,08/10/2024,Lyon,240
P00179,Accessoires,Reflet d'or,34.97,89,09/07/2024,Paris,138
P00180,Soins de la peau,Elixir Haute Beauté,145.89,67,31/07/2024,Lyon,45
P00180,Soins de la peau,Elixir Haute Beauté,145.89,67,07/08/2024,Paris,67
P00181,Soins de la peau,Luxe eclat,305.64,64,04/02/2024,Paris,186
P00181,Soins de la peau,Luxe eclat,305.64,64,08/06/2024,Marseille,193
P00182,Maquillage,Maison Pure,44.68,13,21/07/2024,Lyon,272
P00182,Maquillage,Maison Pure,44.68,13,25/01/2024,Paris,63
P00183,Soins de la peau,Essentielle Paris,258.26,33,09/08/2024,Paris,169
P00184,Parfums,Reflet d'or,306.48,43,29/10/2024,Paris,46
P00184,Parfums,Reflet d'or,306.48,43,08/10/2024,Lyon,250
P00185,Parfums,Elixir Haute Beauté,180.44,39,10/05/2024,Lyon,228
P00186,Soins capillaires,Luxe eclat,390.04,91,02/08/2024,Paris,28
P00186,Soins capillaires,Luxe eclat,390.04,91,22/05/2024,Marseille,242
P00187,Accessoires,Maison Pure,71.17,28,21/02/2024,Lyon,203
P00188,Soins de la peau,Essentielle Paris,56.07,40,21/12/2024,Paris,157
P00189,Soins de la peau,Reflet d'or,369.53,69,19/01/2024,Marseille,53
P00190,Maquillage,Elixir Haute Beauté,257.84,69,21/03/2024,Paris,138
P00190,Maquillage,Elixir Haute Beauté,257.84,69,10/06/2024,Lyon,117
P00191,Parfums,Luxe eclat,350.43,28,28/11/2024,Marseille,266
P00191,Parfums,Luxe eclat,350.43,28,28/11/2024,Lyon,212
P00192,Accessoires,Maison Pure,228.72,58,22/12/2024,Lyon,274
P00192,Accessoires,Maison Pure,228.72,58,03/11/2024,Marseille,283
P00193,Soins capillaires,Essentielle Paris,138.27,72,18/12/2024,Paris,92
P00193,Soins capillaires,Essentielle Paris,138.27,72,08/07/2024,Lyon,115
P00194,Parfums,Reflet d'or,413.17,92,09/02/2024,Paris,89
P00194,Parfums,Reflet d'or,413.17,92,10/12/2024,Lyon,16
P00195,Soins capillaires,Elixir Haute Beauté,403.72,31,29/12/2024,Marseille,52
P00195,Soins capillaires,Elixir Haute Beauté,403.72,31,19/10/2024,Lyon,76
P00196,Maquillage,Luxe eclat,353.45,33,23/03/2024,Lyon,29
P00196,Maquillage,Luxe eclat,353.45,33,19/08/2024,Paris,119
P00197,Maquillage,Maison Pure,150.63,85,25/07/2024,Lyon,171
P00197,Maquillage,Maison Pure,150.63,85,21/04/2024,Paris,164
P00198,Soins de la peau,Essentielle Paris,303.31,39,21/09/2024,Paris,249
P00198,Soins de la peau,Essentielle Paris,303.31,39,08/03/2024,Lyon,13
P00199,Accessoires,Reflet d'or,193.27,67,12/08/2024,Paris,216
P00200,Soins capillaires,Elixir Haute Beauté,63.96,40,18/03/2024,Paris,242
P00201,Parfums,Luxe eclat,460.31,73,08/11/2024,Lyon,125
P00202,Maquillage,Maison Pure,85.67,28,21/09/2024,Lyon,239
P00203,Soins de la peau,Essentielle Paris,476.11,57,04/07/2024,Lyon,88
P00204,Soins de la peau,Reflet d'or,234.08,54,24/10/2024,Marseille,165
P00205,Soins capillaires,Elixir Haute Beauté,108.86,64,15/04/2024,Paris,168
P00206,Maquillage,Luxe eclat,280.11,64,21/08/2024,Paris,145
P00206,Maquillage,Luxe eclat,280.11,64,05/04/2024,Lyon,205
P00207,Accessoires,Maison Pure,439.01,27,11/09/2024,Marseille,46
P00208,Maquillage,Essentielle Paris,371.47,72,27/05/2024,Paris,131
P00208,Maquillage,Essentielle Paris,371.47,72,12/06/2024,Marseille,243
P00209,Soins capillaires,Reflet d'or,407.15,56,15/08/2024,Paris,160
P00210,Soins capillaires,Elixir Haute Beauté,336.22,84,24/01/2024,Marseille,51
P00210,Soins capillaires,Elixir Haute Beauté,336.22,84,08/10/2024,Paris,21
