id_commande,date_commande,id_produit,quantité,entrepôt,statut,date_retour,motif
O000090,21/01/2024,P00222,8,Paris,Expédié,,
O000091,18/11/2024,P00050,8,Lyon,Expédié,,
O000092,11/10/2024,P00953,1,Lyon,Expédié,,
O000093,21/10/2024,P00745,2,Marseille,Livré,,
O000094,30/03/2024,P00305,1,Marseille,Livré,,
O000096,18/03/2024,P00638,10,Lyon,Livré,,
O000097,22/11/2024,P00846,5,Paris,Livré,,
O000098,19/01/2024,P00026,2,Paris,Livré,,
O000099,08/11/2024,P00193,1,Lyon,Livré,02/12/2024,Mauvaise référence
O000100,23/10/2024,P00931,2,Lyon,Livré,,
O000101,13/12/2024,P00620,2,Lyon,Livré,,
O000102,24/09/2024,P00917,8,Marseille,Expédié,,
O000103,11/04/2024,P00010,5,Paris,Livré,,
O000104,23/01/2024,P00996,10,Marseille,Livré,,
O000105,05/03/2024,P00631,3,Marseille,Livré,,
O000106,21/02/2024,P00536,1,Lyon,Expédié,,
O000107,28/09/2024,P00839,5,Lyon,Livré,,
O000109,21/06/2024,P00379,8,Paris,Expédié,,
O000110,26/05/2024,P00729,3,Lyon,Livré,,
O000112,24/02/2024,P00070,8,Paris,Livré,,
O000113,24/10/2024,P00466,3,Marseille,Livré,,
O000114,19/12/2024,P00462,3,Lyon,Livré,,
O000116,30/12/2024,P00093,2,Paris,Livré,,
O000117,17/12/2024,P00831,1,Lyon,Expédié,,
O000118,13/11/2024,P00467,1,Marseille,Expédié,,
O000119,24/10/2024,P00012,1,Marseille,Livré,,
O000120,01/09/2024,P00843,5,Lyon,Livré,,
O000121,02/11/2024,P00012,2,Marseille,Livré,,
O000122,12/12/2024,P00407,3,Paris,Livré,,
O000123,21/11/2024,P00671,12,Paris,Livré,,
O000124,17/12/2024,P00890,1,Paris,Livré,,
O000125,19/12/2024,P00604,2,Paris,Livré,,
O000126,24/06/2024,P00063,8,Lyon,Expédié,08/07/2024,Client insatisfait
O000127,04/11/2024,P00831,1,Lyon,Livré,,
O000128,02/06/2024,P00240,1,Marseille,Livré,,
O000129,11/12/2024,P00254,2,Paris,Expédié,,
O000130,10/12/2024,P00336,1,Paris,Livré,,
O000131,06/07/2024,P00470,12,Paris,Livré,,
O000132,27/04/2024,P00400,8,Marseille,Livré,,
O000134,11/05/2024,P00028,5,Lyon,Livré,,
O000136,07/03/2024,P00008,10,Paris,Expédié,,
O000137,28/08/2024,P00160,8,Lyon,Livré,,
O000138,24/03/2024,P00462,1,Paris,Livré,,
O000139,29/04/2024,P00009,12,Paris,Expédié,,
O000140,10/09/2024,P00226,3,Paris,Livré,,
O000141,03/01/2024,P00592,8,Lyon,Livré,,
O000142,04/10/2024,P00426,12,Lyon,Livré,,
O000143,24/12/2024,P00233,2,Lyon,Livré,,
O000145,16/11/2024,P00973,1,Marseille,Expédié,,
O000146,12/11/2024,P00011,1,Paris,Livré,,
O000147,15/01/2024,P00693,2,Paris,Livré,,
O000149,02/11/2024,P00037,8,Paris,Livré,,
O000150,25/11/2024,P00948,10,Marseille,Livré,16/12/2024,Mauvaise référence
O000151,22/12/2024,P00396,1,Lyon,Livré,,
O000152,22/12/2024,P00143,3,Marseille,Livré,,
O000153,29/10/2024,P00105,2,Marseille,Livré,,
O000154,03/12/2024,P00403,1,Marseille,Livré,,
O000155,09/10/2024,P00099,1,Marseille,Livré,,
O000156,04/10/2024,P00435,2,Paris,Expédié,,
O000158,14/10/2024,P00506,15,Paris,Livré,,
O000159,29/09/2024,P00550,2,Lyon,Livré,,
O000160,26/09/2024,P00458,3,Lyon,Livré,,
O000161,27/12/2024,P00252,5,Paris,Livré,,
O000162,29/03/2024,P00173,2,Marseille,Expédié,,
O000163,15/06/2024,P00037,15,Marseille,Livré,,
O000164,14/11/2024,P00396,15,Marseille,Livré,,
O000165,30/01/2024,P00462,2,Paris,Livré,,
O000166,21/12/2024,P00046,3,Marseille,Livré,,
O000167,06/11/2024,P00754,2,Paris,Livré,,
O000168,20/02/2024,P00149,2,Paris,Expédié,,
O000169,03/09/2024,P00742,1,Lyon,Expédié,,
O000170,19/11/2024,P00792,5,Lyon,Expédié,03/12/2024,Livraison incomplète
O000171,24/11/2024,P00449,3,Lyon,Expédié,,
O000172,30/04/2024,P00924,1,Lyon,Livré,,
O000173,07/12/2024,P00373,2,Paris,Livré,,
O000174,03/12/2024,P00562,12,Lyon,Livré,,
O000176,07/10/2024,P00025,1,Paris,Livré,,
O000177,03/04/2024,P00839,1,Paris,Expédié,,
O000178,14/06/2024,P00463,3,Lyon,Livré,,
O000179,16/01/2024,P00754,20,Paris,Expédié,,
O000180,09/12/2024,P00707,1,Marseille,Livré,,
O000181,28/08/2024,P00166,5,Marseille,Livré,,
O000183,11/11/2024,P00573,8,Paris,Livré,,
O000184,13/12/2024,P00893,1,Paris,Livré,,
O000185,13/12/2024,P00792,8,Marseille,Livré,,
O000186,27/03/2024,P00099,2,Marseille,Livré,,
O000187,13/11/2024,P00979,5,Marseille,Livré,,
O000188,21/11/2024,P00811,5,Paris,Livré,,
O000189,03/12/2024,P00604,3,Lyon,Expédié,,
O000190,26/01/2024,P00755,1,Marseille,Expédié,,
O000191,07/04/2024,P00738,10,Marseille,Expédié,,
O000192,05/01/2024,P00389,2,Marseille,Expédié,,
O000193,09/01/2024,P00175,1,Lyon,Livré,,
O000194,15/01/2024,P00093,1,Paris,Livré,,
O000195,10/12/2024,P00488,3,Marseille,Livré,,
O000196,28/12/2024,P00717,5,Lyon,Livré,,
O000198,23/01/2024,P00357,1,Paris,Livré,01/02/2024,Mauvaise référence
O000199,28/03/2024,P00931,3,Lyon,Expédié,12/04/2024,Client insatisfait
O000200,24/10/2024,P00182,1,Paris,Livré,,
O000201,12/12/2024,P00612,5,Paris,Livré,,
O000202,09/11/2024,P00400,1,Marseille,Expédié,,
O000203,21/12/2024,P00890,5,Lyon,Livré,,
O000204,22/03/2024,P00047,2,Paris,Livré,,
O000205,11/05/2024,P00496,12,Marseille,Livré,,
O000206,27/12/2024,P00175,1,Marseille,Expédié,,
O000208,04/06/2024,P00558,2,Marseille,Livré,11/06/2024,Livraison incomplète
O000209,04/03/2024,P00933,1,Marseille,Livré,,
O000210,28/09/2024,P00759,12,Paris,Livré,,
O000211,08/08/2024,P00802,10,Paris,Livré,,
O000212,28/12/2024,P00198,2,Paris,Expédié,,
O000213,08/01/2024,P00809,5,Marseille,Livré,,
O000214,22/12/2024,P00876,8,Lyon,Livré,,
O000215,14/12/2024,P00008,3,Marseille,Livré,,
O000216,21/12/2024,P00212,3,Lyon,Livré,26/12/2024,Mauvaise référence
O000217,06/01/2024,P00966,1,Lyon,Expédié,,
O000218,03/05/2024,P00503,1,Lyon,Livré,10/05/2024,Client insatisfait
O000220,14/09/2024,P00891,12,Paris,Livré,,
O000221,23/03/2024,P00884,12,Lyon,Livré,,
O000222,17/10/2024,P00133,5,Marseille,Livré,,
O000223,16/11/2024,P00948,2,Marseille,Livré,,
O000224,02/11/2024,P00945,2,Paris,Expédié,,
O000225,10/01/2024,P00981,8,Lyon,Expédié,,
O000226,26/12/2024,P00140,12,Marseille,Livré,,
O000227,17/01/2024,P00039,10,Lyon,Expédié,,
O000228,13/12/2024,P00118,8,Marseille,Livré,,
O000229,12/12/2024,P00604,5,Lyon,Expédié,,
O000230,27/08/2024,P00274,1,Lyon,Expédié,,
O000231,13/12/2024,P00613,1,Marseille,Expédié,,
O000232,11/09/2024,P00754,12,Marseille,Livré,,
O000234,21/02/2024,P00182,5,Marseille,Livré,,
O000235,11/12/2024,P00905,1,Lyon,Expédié,,
O000236,29/08/2024,P00872,1,Paris,Livré,,
O000237,16/11/2024,P00250,5,Lyon,Livré,15/12/2024,Client insatisfait
O000238,09/02/2024,P00886,1,Marseille,Expédié,,
O000239,19/08/2024,P00136,1,Marseille,Livré,,
O000240,30/01/2024,P00718,3,Marseille,Livré,,
O000241,14/12/2024,P00624,5,Paris,Livré,,
O000242,23/11/2024,P00013,5,Paris,Livré,,
O000243,02/07/2024,P00526,1,Lyon,Livré,,
O000244,10/03/2024,P00335,5,Marseille,Livré,,
O000245,08/11/2024,P00355,1,Lyon,Livré,,
O000247,22/01/2024,P00767,2,Marseille,Expédié,,
O000248,16/08/2024,P00379,8,Marseille,Expédié,,
O000249,27/02/2024,P00157,5,Marseille,Livré,13/03/2024,Client insatisfait
O000250,10/07/2024,P00906,10,Paris,Livré,,
O000251,16/09/2024,P00408,5,Lyon,Livré,,
O000252,17/04/2024,P00463,3,Lyon,Livré,,
O000253,21/03/2024,P00343,1,Paris,Livré,,
O000254,14/12/2024,P00810,2,Paris,Expédié,,
O000255,14/10/2024,P00811,2,Lyon,Livré,01/11/2024,Livraison incomplète
O000256,19/11/2024,P00330,1,Paris,Livré,,
O000257,10/08/2024,P00615,15,Paris,Livré,04/09/2024,Produit abîmé
O000259,15/11/2024,P00629,2,Lyon,Livré,,
O000260,02/12/2024,P00876,12,Marseille,Livré,,
O000261,03/10/2024,P00765,5,Paris,Livré,,
O000262,03/12/2024,P00355,8,Marseille,Livré,,
O000263,09/05/2024,P00055,3,Lyon,Expédié,,
O000264,05/11/2024,P00426,3,Lyon,Expédié,,
O000265,11/11/2024,P00924,3,Lyon,Expédié,,
O000266,01/02/2024,P00253,1,Paris,Livré,,
O000267,23/12/2024,P00516,8,Marseille,Livré,,
O000268,15/12/2024,P00541,2,Paris,Livré,,
O000269,24/12/2024,P00864,1,Marseille,Expédié,,
O000270,23/12/2024,P00319,5,Paris,Expédié,,
O000271,15/01/2024,P00948,1,Paris,Livré,,
O000272,06/01/2024,P00277,15,Lyon,Expédié,,
O000273,02/09/2024,P00767,15,Marseille,Livré,,
O000274,12/11/2024,P00296,12,Marseille,Expédié,,
O000275,19/11/2024,P00470,2,Marseille,Livré,,
O000276,28/12/2024,P00299,1,Lyon,Livré,,
O000277,02/12/2024,P00585,12,Paris,Expédié,,
O000278,09/12/2024,P00520,2,Marseille,Expédié,,
O000279,16/10/2024,P00398,15,Marseille,Expédié,,
O000280,13/11/2024,P00091,15,Marseille,Expédié,,
O000282,13/03/2024,P00355,10,Marseille,Livré,,
O000283,29/10/2024,P00610,2,Marseille,Expédié,,
O000285,10/09/2024,P00229,2,Marseille,Livré,,
O000286,29/11/2024,P00463,10,Lyon,Livré,,
O000287,06/12/2024,P00404,2,Paris,Livré,,
O000288,27/08/2024,P00366,1,Lyon,Livré,,
O000290,17/10/2024,P00234,3,Lyon,Livré,,
O000291,23/03/2024,P00613,12,Paris,Expédié,,
O000292,05/11/2024,P00014,5,Paris,Livré,,
O000293,07/02/2024,P00921,3,Paris,Livré,,
O000294,20/08/2024,P00759,1,Paris,Livré,,
O000295,24/03/2024,P00121,5,Marseille,Expédié,,
O000296,28/12/2024,P00415,20,Marseille,Expédié,,
O000297,30/12/2024,P00184,1,Paris,Livré,,
O000298,01/02/2024,P00541,3,Marseille,Livré,23/02/2024,Client insatisfait
O000299,13/12/2024,P00366,10,Lyon,Livré,,
O000300,13/03/2024,P00182,8,Lyon,Livré,,
O000301,09/05/2024,P00681,5,Paris,Expédié,,
O000303,14/10/2024,P00302,5,Lyon,Expédié,,
O000304,21/10/2024,P00229,2,Lyon,Expédié,,
O000305,15/12/2024,P00890,2,Paris,Expédié,,
O000306,02/11/2024,P00445,8,Lyon,Livré,,
O000307,20/10/2024,P00341,8,Paris,Expédié,,
O000308,17/11/2024,P00202,10,Marseille,Expédié,,
O000309,20/03/2024,P00129,12,Lyon,Livré,,
O000310,08/12/2024,P00867,3,Lyon,Livré,,
O000312,08/12/2024,P00373,3,Marseille,Expédié,,
O000314,13/11/2024,P00765,8,Lyon,Livré,,
O000315,08/09/2024,P00008,5,Marseille,Expédié,,
O000316,30/12/2024,P00506,5,Lyon,Livré,,
O000317,24/12/2024,P00779,8,Marseille,Expédié,,
O000318,13/12/2024,P00143,12,Lyon,Expédié,,
O000319,20/01/2024,P00175,2,Marseille,Expédié,,
O000320,25/10/2024,P00373,2,Marseille,Expédié,,
O000321,14/09/2024,P00046,1,Marseille,Livré,,
O000323,01/12/2024,P00324,3,Lyon,Livré,,
O000324,27/01/2024,P00336,1,Marseille,Livré,,
O000325,18/11/2024,P00362,3,Lyon,Expédié,,
O000326,24/12/2024,P00811,3,Lyon,Expédié,,
O000327,10/06/2024,P00347,2,Marseille,Livré,,
O000328,22/12/2024,P00388,3,Marseille,Livré,,
O000329,15/03/2024,P00099,1,Marseille,Livré,06/04/2024,Livraison incomplète
O000330,07/12/2024,P00688,1,Lyon,Livré,,
O000331,13/11/2024,P00014,10,Lyon,Livré,,
O000333,19/03/2024,P00336,2,Paris,Livré,,
O000334,05/03/2024,P00865,1,Lyon,Livré,,
O000335,05/05/2024,P00971,3,Lyon,Expédié,,
O000336,19/02/2024,P00938,8,Marseille,Livré,,
O000337,10/03/2024,P00233,1,Paris,Expédié,,
O000338,10/09/2024,P00510,5,Marseille,Livré,,
O000339,05/01/2024,P00128,1,Paris,Expédié,,
O000341,09/09/2024,P00341,1,Paris,Livré,,
O000343,06/10/2024,P00417,3,Lyon,Expédié,,
O000344,13/12/2024,P00778,3,Marseille,Livré,,
O000345,24/08/2024,P00268,5,Marseille,Livré,,
O000348,02/02/2024,P00273,8,Marseille,Expédié,,
O000349,05/12/2024,P00957,15,Paris,Livré,,
O000350,14/10/2024,P00916,3,Lyon,Livré,,
O000351,09/12/2024,P00070,2,Paris,Livré,,
O000352,28/12/2024,P00357,8,Marseille,Expédié,,
O000353,28/05/2024,P00550,2,Lyon,Expédié,,
O000354,14/05/2024,P00952,2,Marseille,Livré,,
O000355,03/04/2024,P00099,1,Lyon,Livré,,
O000357,31/01/2024,P00070,1,Paris,Expédié,,
O000358,03/08/2024,P00881,15,Marseille,Livré,,
O000359,26/01/2024,P00615,10,Lyon,Livré,25/02/2024,Client insatisfait
O000360,07/12/2024,P00550,5,Marseille,Expédié,,
O000361,04/04/2024,P00234,2,Paris,Livré,,
O000362,15/12/2024,P00151,1,Paris,Livré,,
O000363,12/02/2024,P00721,1,Marseille,Expédié,,
O000364,24/01/2024,P00738,2,Lyon,Livré,,
O000365,03/11/2024,P00755,3,Paris,Livré,,
O000366,16/01/2024,P00377,5,Paris,Livré,,
O000368,14/01/2024,P00629,5,Lyon,Livré,,
O000369,04/10/2024,P00370,2,Paris,Livré,,
O000370,29/11/2024,P00016,15,Paris,Expédié,,
O000371,20/10/2024,P00355,8,Lyon,Livré,,
O000372,25/12/2024,P00943,3,Paris,Livré,12/01/2025,Client insatisfait
O000373,09/12/2024,P00781,5,Marseille,Livré,,
O000374,28/02/2024,P00906,2,Paris,Livré,,
O000375,08/10/2024,P00035,1,Marseille,Livré,,
O000377,06/09/2024,P00767,2,Marseille,Livré,,
O000378,19/10/2024,P00936,8,Lyon,Livré,,
O000379,19/01/2024,P00093,1,Lyon,Livré,,
O000380,13/04/2024,P00899,1,Marseille,Livré,,
O000381,13/12/2024,P00234,1,Lyon,Livré,,
O000382,13/10/2024,P00037,1,Marseille,Livré,,
O000385,15/12/2024,P00414,10,Paris,Livré,,
O000386,05/02/2024,P00654,5,Marseille,Livré,,
O000387,04/10/2024,P00764,3,Marseille,Livré,,
O000388,02/09/2024,P00193,1,Marseille,Livré,,
O000391,08/02/2024,P00462,3,Lyon,Livré,,
O000393,13/02/2024,P00242,3,Marseille,Expédié,,
O000394,10/02/2024,P00366,1,Paris,Expédié,,
O000395,08/04/2024,P00362,2,Lyon,Livré,,
O000396,28/05/2024,P00133,2,Marseille,Livré,,
O000397,21/01/2024,P00521,5,Lyon,Livré,,
O000398,02/12/2024,P00836,5,Marseille,Livré,,
O000399,06/04/2024,P00521,1,Marseille,Expédié,,
O000400,06/11/2024,P00370,2,Paris,Expédié,,
O000401,18/12/2024,P00417,5,Paris,Livré,,
O000402,15/12/2024,P00182,3,Lyon,Expédié,,
O000403,26/01/2024,P00337,10,Lyon,Livré,,
O000404,07/01/2024,P00170,5,Paris,Livré,,
O000405,27/12/2024,P00963,1,Lyon,Livré,,
O000406,17/03/2024,P00466,1,Lyon,Livré,,
O000407,22/11/2024,P00604,5,Paris,Livré,,
O000408,08/11/2024,P00044,1,Paris,Livré,,
O000409,13/10/2024,P00014,3,Paris,Livré,,
O000411,23/03/2024,P00202,15,Paris,Livré,,
O000413,29/11/2024,P00516,3,Paris,Expédié,,
O000414,28/11/2024,P00890,2,Paris,Livré,,
O000415,27/05/2024,P00240,5,Lyon,Livré,,
O000416,30/12/2024,P00952,3,Marseille,Livré,,
O000417,11/03/2024,P00943,3,Paris,Expédié,,
O000418,08/06/2024,P00865,15,Lyon,Expédié,,
O000419,30/10/2024,P00971,2,Lyon,Expédié,,
O000420,18/03/2024,P00742,15,Lyon,Expédié,,
O000421,07/09/2024,P00396,12,Marseille,Livré,,
O000422,07/09/2024,P00136,1,Marseille,Livré,,
O000423,21/12/2024,P00008,1,Marseille,Expédié,,
O000424,02/09/2024,P00704,1,Lyon,Livré,,
O000425,23/12/2024,P00973,1,Paris,Livré,,
O000426,19/02/2024,P00277,1,Lyon,Livré,,
O000427,23/08/2024,P00620,5,Marseille,Livré,,
O000428,18/11/2024,P00362,1,Marseille,Livré,,
O000431,16/09/2024,P00865,2,Paris,Livré,,
O000432,19/06/2024,P00334,10,Lyon,Expédié,,
O000433,14/11/2024,P00149,1,Marseille,Livré,,
O000434,04/09/2024,P00688,8,Lyon,Livré,,
O000436,22/08/2024,P00284,2,Lyon,Livré,,
O000438,11/01/2024,P00467,1,Lyon,Livré,,
O000439,12/09/2024,P00817,5,Marseille,Livré,,
O000440,07/11/2024,P00170,5,Lyon,Livré,,
O000441,09/09/2024,P00133,10,Marseille,Livré,,
O000442,11/12/2024,P00871,8,Lyon,Livré,,
O000443,02/11/2024,P00252,8,Lyon,Livré,,
O000444,31/12/2024,P00612,2,Marseille,Expédié,,
O000446,19/01/2024,P00253,1,Marseille,Livré,,
O000448,24/01/2024,P00222,8,Paris,Livré,,
O000449,25/11/2024,P00063,8,Lyon,Livré,,
O000450,16/09/2024,P00184,20,Lyon,Livré,,
O000452,09/12/2024,P00876,2,Lyon,Livré,,
O000454,07/12/2024,P00470,2,Lyon,Expédié,,
O000455,09/02/2024,P00373,8,Lyon,Expédié,,
O000456,06/02/2024,P00258,2,Marseille,Livré,,
O000457,24/12/2024,P00800,12,Marseille,Livré,,
O000458,09/11/2024,P00923,10,Marseille,Livré,,
O000459,12/12/2024,P00794,2,Paris,Expédié,,
O000460,04/12/2024,P00039,8,Paris,Expédié,,
O000462,30/10/2024,P00080,8,Paris,Expédié,,
O000464,18/10/2024,P00651,1,Marseille,Livré,,
O000465,03/03/2024,P00557,12,Paris,Livré,,
O000466,17/05/2024,P00912,3,Paris,Livré,,
O000467,12/10/2024,P00955,10,Lyon,Livré,,
O000468,28/03/2024,P00893,2,Paris,Livré,,
O000469,15/04/2024,P00811,12,Marseille,Livré,,
O000470,17/10/2024,P00503,2,Paris,Livré,,
O000471,27/02/2024,P00377,1,Lyon,Livré,,
O000472,06/10/2024,P00509,12,Marseille,Livré,,
O000473,09/03/2024,P00152,1,Marseille,Livré,28/03/2024,Client insatisfait
O000474,02/04/2024,P00226,2,Lyon,Livré,,
O000475,19/10/2024,P00729,15,Marseille,Expédié,,
O000476,29/03/2024,P00923,15,Marseille,Expédié,,
O000477,10/04/2024,P00890,3,Marseille,Expédié,,
O000479,05/01/2024,P00988,5,Paris,Livré,,
O000480,02/11/2024,P00107,2,Lyon,Livré,,
O000481,16/10/2024,P00126,2,Marseille,Livré,,
O000482,12/12/2024,P00414,2,Lyon,Livré,,
O000483,31/01/2024,P00811,5,Lyon,Expédié,,
O000484,27/04/2024,P00390,8,Paris,Livré,,
O000486,19/05/2024,P00963,8,Paris,Expédié,,
O000487,24/05/2024,P00250,8,Paris,Livré,,
O000488,02/09/2024,P00924,1,Marseille,Livré,,
O000489,13/11/2024,P00467,3,Paris,Livré,,
O000490,06/11/2024,P00738,1,Lyon,Livré,,
O000491,21/09/2024,P00754,3,Lyon,Livré,,
O000492,04/12/2024,P00787,2,Paris,Livré,,
O000493,09/11/2024,P00865,10,Paris,Expédié,,
O000494,27/01/2024,P00366,2,Lyon,Expédié,,
O000495,01/12/2024,P00118,1,Lyon,Expédié,,
O000496,14/09/2024,P00136,1,Marseille,Livré,07/10/2024,Mauvaise référence
O000497,29/04/2024,P00377,8,Paris,Livré,28/05/2024,Mauvaise référence
O000498,06/10/2024,P00490,5,Paris,Livré,,
O000499,10/10/2024,P00698,1,Marseille,Expédié,,
O000500,13/12/2024,P00119,1,Marseille,Expédié,,
O000501,25/03/2024,P00604,5,Marseille,Livré,,
O000502,31/10/2024,P00981,1,Paris,Livré,,
O000503,19/02/2024,P00011,10,Paris,Livré,14/03/2024,Client insatisfait
O000504,15/12/2024,P00025,5,Lyon,Livré,,
O000505,04/12/2024,P00136,1,Paris,Livré,,
O000507,28/03/2024,P00613,1,Lyon,Livré,,
O000508,15/02/2024,P00121,20,Paris,Livré,12/03/2024,Livraison incomplète
O000510,29/01/2024,P00972,2,Lyon,Livré,,
O000511,03/12/2024,P00809,2,Lyon,Expédié,,
O000513,28/11/2024,P00478,8,Paris,Livré,,
O000514,21/11/2024,P00093,15,Marseille,Livré,15/12/2024,Produit abîmé
O000515,14/02/2024,P00234,20,Paris,Livré,11/03/2024,Client insatisfait
O000516,14/11/2024,P00541,8,Paris,Livré,,
O000517,06/12/2024,P00613,2,Lyon,Livré,,
O000518,28/12/2024,P00400,1,Paris,Livré,,
O000519,23/01/2024,P00507,8,Paris,Livré,,
O000520,17/12/2024,P00679,3,Marseille,Livré,,
O000521,13/12/2024,P00604,2,Paris,Livré,,
O000522,29/11/2024,P00742,12,Lyon,Livré,,
O000526,04/10/2024,P00449,1,Paris,Livré,,
O000527,15/11/2024,P00843,3,Marseille,Livré,,
O000528,27/12/2024,P00252,1,Marseille,Expédié,,
O000529,07/11/2024,P00541,3,Lyon,Livré,,
O000530,10/12/2024,P00979,1,Paris,Livré,,
O000531,08/12/2024,P00604,1,Lyon,Livré,,
O000532,09/01/2024,P00671,1,Paris,Livré,,
O000533,07/04/2024,P00938,5,Paris,Livré,,
O000534,24/04/2024,P00581,8,Paris,Livré,,
O000535,19/11/2024,P00767,3,Paris,Expédié,,
O000536,26/12/2024,P00403,15,Paris,Expédié,,
O000537,09/06/2024,P00536,2,Lyon,Expédié,22/06/2024,Client insatisfait
O000538,20/01/2024,P00912,2,Marseille,Livré,,
O000539,05/01/2024,P00330,10,Lyon,Livré,,
O000542,23/11/2024,P00105,1,Lyon,Livré,,
O000543,07/01/2024,P00948,15,Paris,Livré,,
O000544,06/09/2024,P00893,1,Marseille,Expédié,,
O000546,20/12/2024,P00868,15,Paris,Livré,,
O000547,11/11/2024,P00881,1,Marseille,Livré,,
O000549,27/04/2024,P00181,12,Lyon,Livré,,
O000550,27/11/2024,P00258,3,Paris,Livré,,
O000551,21/12/2024,P00716,20,Lyon,Livré,,
O000552,12/11/2024,P00233,1,Marseille,Livré,,
O000553,30/09/2024,P00240,3,Lyon,Livré,,
O000554,24/04/2024,P00631,15,Paris,Livré,,
O000555,09/10/2024,P00029,3,Paris,Expédié,,
O000556,10/10/2024,P00738,5,Lyon,Livré,,
