id_commande;id_produit;quantite;entrepot;date_retour;motif
O018969;P00480;8;Lyon;02/08/2024;Mauvais article
O027981;P00730;4;Paris;04/06/2024;Endommage
O049420;P00931;2;Paris;07/11/2024;Mauvais article
O047807;P00363;3;Paris;19/06/2024;Pas comme decrit
O013452;P00448;9;Lyon;02/06/2024;Endommage
O000639;P00172;1;Paris;27/08/2024;Pas comme decrit
O031815;P00879;8;Lyon;12/06/2024;Pas comme decrit
O025703;P00747;6;Lyon;24/10/2024;Mauvais article
O033075;P00575;7;Marseille;18/08/2024;Mauvais article
O037547;P00592;8;Paris;17/12/2024;Pas comme decrit
O019688;P00240;8;Marseille;26/12/2024;Endommage
O004884;P00018;5;Paris;18/07/2024;Mauvais article
O038400;P00308;3;Paris;25/07/2024;Le client a change d'avis
O012392;P00180;3;Marseille;04/03/2024;Endommage
O040423;P00897;4;Lyon;13/10/2024;Mauvais article
O009642;P00588;4;Marseille;12/04/2024;Mauvais article
O007485;P00046;7;Marseille;28/11/2024;Mauvais article
O040123;P00225;6;Lyon;14/08/2024;Endommage
O029739;P00647;4;Lyon;03/04/2024;Pas comme decrit
O024171;P00782;7;Marseille;20/01/2025;Endommage
O043731;P00411;4;Lyon;13/03/2024;Le client a change d'avis
O016594;P00468;7;Marseille;22/11/2024;Endommage
O007848;P00853;1;Paris;18/03/2024;Mauvais article
O003823;P00167;7;Marseille;28/03/2024;Le client a change d'avis
O046808;P00053;1;Paris;04/02/2024;Pas comme decrit
O009661;P00299;5;Marseille;07/04/2024;Le client a change d'avis
O014030;P00164;6;Marseille;03/01/2025;Endommage
O023710;P00884;9;Marseille;03/11/2024;Endommage
O049559;P00720;9;Marseille;02/09/2024;Le client a change d'avis
O035490;P00738;1;Paris;23/09/2024;Endommage
O047273;P00215;2;Lyon;18/11/2024;Pas comme decrit
O008876;P00334;9;Lyon;28/05/2024;Le client a change d'avis
O041479;P00622;2;Lyon;03/09/2024;Mauvais article
O013533;P00001;8;Lyon;09/02/2024;Pas comme decrit
O007872;P00309;1;Paris;04/07/2024;Endommage
O033536;P00280;8;Paris;14/07/2024;Le client a change d'avis
O011592;P00325;2;Marseille;03/07/2024;Endommage
O008467;P00904;6;Lyon;14/03/2024;Le client a change d'avis
O016419;P00590;5;Lyon;29/04/2024;Mauvais article
O045752;P00122;3;Marseille;10/08/2024;Le client a change d'avis
O017063;P00905;9;Lyon;30/01/2024;Pas comme decrit
O043425;P00223;5;Paris;25/03/2024;Le client a change d'avis
O015297;P00228;2;Paris;07/03/2024;Endommage
O015197;P00602;3;Paris;03/06/2024;Endommage
O025006;P00824;9;Paris;14/02/2024;Endommage
O017823;P00194;4;Lyon;01/08/2024;Endommage
O006309;P00299;7;Lyon;25/05/2024;Pas comme decrit
O000130;P00298;6;Paris;10/10/2024;Endommage
O021005;P00929;6;Paris;19/05/2024;Endommage
O023599;P00044;3;Marseille;23/08/2024;Pas comme decrit
O024083;P00403;8;Marseille;26/01/2025;Endommage
O033647;P00296;9;Lyon;03/08/2024;Pas comme decrit
O028606;P00013;8;Paris;25/11/2024;Mauvais article
O024838;P00525;5;Paris;01/10/2024;Mauvais article
O025235;P00959;5;Marseille;08/02/2025;Pas comme decrit
O035817;P00334;3;Marseille;23/10/2024;Le client a change d'avis
O007797;P00548;6;Lyon;18/08/2024;Endommage
O015108;P00757;7;Lyon;29/03/2024;Le client a change d'avis
O020379;P00022;4;Paris;06/04/2024;Pas comme decrit
O027403;P00176;5;Marseille;23/04/2024;Mauvais article
O034270;P00194;4;Marseille;14/02/2024;Endommage
O007396;P00848;1;Lyon;20/11/2024;Endommage
O018734;P00861;8;Lyon;04/04/2024;Le client a change d'avis
O019342;P00538;4;Paris;02/12/2024;Le client a change d'avis
O016859;P00154;4;Lyon;18/08/2024;Le client a change d'avis
O018465;P00796;1;Lyon;05/12/2024;Le client a change d'avis
O026075;P00564;1;Paris;11/01/2025;Le client a change d'avis
O008899;P00673;8;Paris;02/08/2024;Endommage
O044107;P00414;7;Marseille;03/08/2024;Endommage
O004882;P00707;7;Marseille;18/08/2024;Mauvais article
O042482;P00208;1;Paris;15/05/2024;Endommage
O026817;P00609;6;Lyon;04/10/2024;Mauvais article
O044514;P00236;3;Lyon;02/05/2024;Endommage
O043208;P00002;2;Lyon;07/07/2024;Pas comme decrit
O005175;P00134;3;Marseille;31/10/2024;Le client a change d'avis
O019047;P00039;4;Lyon;24/08/2024;Endommage
O035129;P00075;4;Marseille;18/09/2024;Mauvais article
O010714;P00989;8;Lyon;29/05/2024;Pas comme decrit
O049760;P00576;3;Marseille;08/09/2024;Mauvais article
O009517;P00709;9;Paris;25/09/2024;Pas comme decrit
O030067;P00828;4;Marseille;14/05/2024;Mauvais article
O005456;P00503;9;Paris;01/11/2024;Endommage
O012931;P00909;4;Paris;07/07/2024;Endommage
O011261;P00390;7;Paris;07/06/2024;Mauvais article
O016729;P00762;3;Paris;25/06/2024;Endommage
O007730;P00653;2;Marseille;19/04/2024;Pas comme decrit
O011017;P00261;3;Marseille;06/07/2024;Le client a change d'avis
O029295;P00544;3;Marseille;22/08/2024;Endommage
O014259;P00677;7;Paris;13/08/2024;Endommage
O042080;P00476;6;Lyon;31/10/2024;Endommage
O014170;P00146;9;Paris;30/05/2024;Le client a change d'avis
O044385;P00363;2;Lyon;15/03/2024;Mauvais article
O014351;P00744;9;Paris;26/12/2024;Le client a change d'avis
O000321;P00225;4;Marseille;20/02/2024;Endommage
O021450;P00789;3;Marseille;02/09/2024;Le client a change d'avis
O026837;P00427;3;Marseille;03/02/2025;Pas comme decrit
O027687;P00815;5;Lyon;16/08/2024;Mauvais article
O006698;P00272;2;Marseille;04/11/2024;Mauvais article
O010926;P00036;1;Paris;01/10/2024;Le client a change d'avis
O010418;P00404;7;Marseille;22/02/2024;Mauvais article
O031705;P00712;7;Paris;18/05/2024;Pas comme decrit
O036877;P00751;2;Marseille;10/09/2024;Le client a change d'avis
O044117;P00950;6;Lyon;23/05/2024;Pas comme decrit
O004607;P00824;1;Lyon;22/01/2025;Le client a change d'avis
O008525;P00694;4;Marseille;11/04/2024;Le client a change d'avis
O028026;P00865;9;Marseille;14/06/2024;Pas comme decrit
O006735;P00670;2;Paris;02/06/2024;Le client a change d'avis
O001319;P00482;1;Lyon;25/11/2024;Pas comme decrit
O040155;P00278;8;Paris;31/08/2024;Endommage
O029708;P00235;3;Marseille;08/02/2024;Mauvais article
O014040;P00790;3;Lyon;09/08/2024;Le client a change d'avis
O015163;P00395;9;Paris;07/08/2024;Mauvais article
O013305;P00804;2;Lyon;24/02/2024;Mauvais article
O037236;P00318;9;Paris;02/08/2024;Mauvais article
O049514;P00691;5;Paris;10/11/2024;Endommage
O034317;P00891;3;Marseille;30/06/2024;Mauvais article
O015614;P00022;1;Paris;28/11/2024;Pas comme decrit
O001786;P00685;6;Paris;08/12/2024;Le client a change d'avis
O047645;P00572;7;Lyon;22/05/2024;Endommage
O006145;P00557;6;Marseille;06/01/2025;Endommage
O025600;P00386;2;Lyon;25/09/2024;Endommage
O025682;P00474;6;Paris;12/06/2024;Le client a change d'avis
O000951;P00989;2;Lyon;19/07/2024;Pas comme decrit
O002516;P00409;6;Lyon;06/10/2024;Pas comme decrit
O017880;P00981;9;Paris;11/08/2024;Mauvais article
O006257;P00968;6;Lyon;02/11/2024;Mauvais article
O020579;P00411;2;Lyon;19/09/2024;Le client a change d'avis
O037641;P00396;8;Lyon;15/09/2024;Endommage
O034689;P00287;5;Paris;17/07/2024;Mauvais article
O047943;P00466;5;Marseille;08/08/2024;Le client a change d'avis
O025743;P00214;9;Lyon;09/08/2024;Mauvais article
O014634;P00300;5;Marseille;05/01/2025;Pas comme decrit
O025788;P00725;2;Marseille;14/03/2024;Endommage
O036801;P00856;7;Paris;06/07/2024;Le client a change d'avis
O030763;P00780;5;Paris;20/08/2024;Le client a change d'avis
O034726;P00227;4;Marseille;11/01/2025;Pas comme decrit
O033265;P00750;4;Marseille;06/08/2024;Pas comme decrit
O011212;P00097;9;Marseille;04/12/2024;Pas comme decrit
O000456;P00320;6;Marseille;06/02/2024;Le client a change d'avis
O039152;P00643;3;Paris;01/11/2024;Le client a change d'avis
O040500;P00378;1;Marseille;12/01/2025;Le client a change d'avis
O027112;P00810;7;Marseille;26/05/2024;Le client a change d'avis
O041778;P00878;2;Lyon;10/12/2024;Endommage
O015260;P00412;2;Lyon;07/12/2024;Le client a change d'avis
O039086;P00030;6;Marseille;16/07/2024;Mauvais article
O041588;P00448;9;Paris;17/04/2024;Mauvais article
O045619;P00799;5;Marseille;11/06/2024;Endommage
O038134;P00564;7;Lyon;21/10/2024;Mauvais article
O021516;P00973;9;Paris;02/05/2024;Pas comme decrit
O044494;P00664;8;Lyon;13/05/2024;Mauvais article
O018871;P00741;6;Marseille;08/04/2024;Pas comme decrit
O033593;P00803;9;Marseille;16/02/2024;Endommage
O045834;P00459;1;Marseille;10/10/2024;Mauvais article
O029201;P00193;2;Paris;17/11/2024;Mauvais article
O048915;P00814;1;Paris;06/01/2025;Pas comme decrit
O006666;P00539;3;Lyon;25/08/2024;Mauvais article
O026626;P00990;2;Marseille;27/06/2024;Pas comme decrit
O037354;P00575;8;Lyon;28/02/2024;Pas comme decrit
O001668;P00786;9;Lyon;15/08/2024;Le client a change d'avis
O013486;P00065;4;Paris;19/02/2024;Le client a change d'avis
O026933;P00592;9;Lyon;09/11/2024;Pas comme decrit
O012273;P00083;9;Lyon;15/01/2025;Le client a change d'avis
O027594;P00854;9;Lyon;01/10/2024;Pas comme decrit
O042044;P00686;3;Lyon;18/09/2024;Mauvais article
O033826;P00354;2;Lyon;07/03/2024;Mauvais article
O003678;P00728;7;Marseille;04/04/2024;Pas comme decrit
O047838;P00052;3;Lyon;03/04/2024;Endommage
O031241;P00955;7;Lyon;18/04/2024;Le client a change d'avis
O007248;P00449;2;Marseille;28/04/2024;Endommage
O002303;P00697;3;Paris;26/09/2024;Mauvais article
O010530;P00112;3;Marseille;11/03/2024;Le client a change d'avis
O045999;P00654;1;Marseille;19/12/2024;Endommage
O040834;P00455;5;Paris;27/08/2024;Mauvais article
O004829;P00917;6;Paris;13/02/2024;Le client a change d'avis
O001039;P00513;4;Lyon;08/10/2024;Le client a change d'avis
O010845;P00589;2;Marseille;09/08/2024;Endommage
O028560;P00181;6;Marseille;07/05/2024;Endommage
O010725;P00727;3;Marseille;20/08/2024;Pas comme decrit
O002263;P00291;1;Paris;16/08/2024;Endommage
O032708;P00082;8;Paris;06/02/2024;Mauvais article
O010557;P00774;1;Paris;08/05/2024;Mauvais article
O037722;P00113;5;Marseille;02/07/2024;Mauvais article
O049331;P00127;5;Marseille;03/11/2024;Endommage
O021702;P00202;4;Paris;10/01/2025;Le client a change d'avis
O015360;P00367;1;Paris;29/06/2024;Pas comme decrit
O027420;P00922;3;Paris;26/07/2024;Pas comme decrit
O004200;P00709;5;Paris;11/01/2025;Pas comme decrit
O008701;P00762;7;Lyon;03/04/2024;Pas comme decrit
O000056;P00961;1;Paris;05/01/2025;Pas comme decrit
O045162;P00912;9;Paris;26/08/2024;Endommage
O005447;P00676;1;Marseille;27/04/2024;Le client a change d'avis
O035491;P00990;5;Paris;09/12/2024;Mauvais article
O026981;P00096;9;Paris;11/01/2025;Mauvais article
O023954;P00176;7;Marseille;10/04/2024;Pas comme decrit
O022971;P00254;2;Marseille;10/12/2024;Endommage
O038265;P00757;2;Lyon;25/11/2024;Le client a change d'avis
O049142;P00930;3;Marseille;01/01/2025;Mauvais article
O031386;P00635;7;Lyon;09/09/2024;Le client a change d'avis
O002456;P00378;9;Paris;16/06/2024;Pas comme decrit
O043056;P00505;9;Paris;20/07/2024;Mauvais article
O040271;P00020;8;Marseille;10/05/2024;Pas comme decrit
O047700;P00973;8;Marseille;16/06/2024;Mauvais article
O034022;P00575;5;Paris;28/10/2024;Endommage
O023658;P00799;1;Lyon;22/10/2024;Mauvais article
O031743;P00276;4;Paris;30/01/2024;Le client a change d'avis
O018095;P00804;8;Lyon;03/11/2024;Mauvais article
O015088;P00171;7;Marseille;29/12/2024;Le client a change d'avis
O027162;P00303;2;Lyon;14/05/2024;Endommage
O038199;P00570;3;Marseille;28/08/2024;Le client a change d'avis
O031032;P00022;3;Paris;11/08/2024;Endommage
O026702;P00240;8;Marseille;12/07/2024;Pas comme decrit
O023704;P00246;7;Marseille;05/12/2024;Pas comme decrit
O034554;P00222;9;Paris;07/08/2024;Endommage
O039717;P00745;7;Marseille;04/08/2024;Endommage
O005872;P00859;1;Marseille;26/07/2024;Endommage
O002556;P00537;6;Paris;31/07/2024;Mauvais article
O046870;P00665;9;Paris;26/05/2024;Endommage
O018587;P00323;7;Lyon;13/07/2024;Endommage
O049293;P00993;3;Marseille;25/03/2024;Pas comme decrit
O000098;P00273;7;Paris;22/02/2024;Endommage
O007583;P00814;2;Paris;07/12/2024;Mauvais article
O006944;P00422;2;Lyon;10/07/2024;Pas comme decrit
O025267;P00252;2;Marseille;28/06/2024;Mauvais article
O028638;P00747;5;Marseille;03/08/2024;Mauvais article
O008061;P00815;7;Marseille;11/10/2024;Le client a change d'avis
O007638;P00490;8;Marseille;14/09/2024;Mauvais article
O012785;P00324;7;Paris;20/07/2024;Pas comme decrit
O019281;P00033;2;Marseille;14/10/2024;Pas comme decrit
O015335;P00684;4;Marseille;03/09/2024;Mauvais article
O041990;P00485;4;Lyon;21/01/2025;Le client a change d'avis
O037215;P00374;8;Paris;16/07/2024;Endommage
O038863;P00472;2;Marseille;19/05/2024;Pas comme decrit
O002311;P00596;8;Marseille;31/08/2024;Endommage
O044725;P00695;4;Marseille;18/03/2024;Mauvais article
O047755;P00918;8;Marseille;30/09/2024;Mauvais article
O032831;P00498;3;Paris;01/09/2024;Endommage
O005365;P00928;4;Lyon;30/08/2024;Le client a change d'avis
O033724;P00741;1;Paris;29/03/2024;Le client a change d'avis
O003022;P00811;1;Lyon;19/05/2024;Le client a change d'avis
O041879;P00479;3;Marseille;12/06/2024;Mauvais article
O004724;P00472;9;Marseille;23/12/2024;Le client a change d'avis
O006165;P00395;9;Marseille;20/12/2024;Mauvais article
O015506;P00361;8;Lyon;28/02/2024;Le client a change d'avis
O035922;P00708;6;Marseille;04/01/2025;Pas comme decrit
O031675;P00008;6;Paris;29/08/2024;Mauvais article
O033571;P00889;6;Marseille;05/09/2024;Pas comme decrit
O040403;P00123;4;Marseille;19/06/2024;Mauvais article
O019783;P00476;8;Lyon;22/12/2024;Mauvais article
O040017;P00697;6;Marseille;16/09/2024;Le client a change d'avis
O022595;P00561;4;Paris;30/05/2024;Endommage
O016527;P00289;2;Paris;20/07/2024;Mauvais article
O018904;P00987;9;Lyon;24/11/2024;Pas comme decrit
O039811;P00883;8;Marseille;14/11/2024;Pas comme decrit
O023324;P00691;9;Paris;17/11/2024;Mauvais article
O047411;P00732;9;Lyon;16/11/2024;Le client a change d'avis
O012980;P00558;7;Paris;29/03/2024;Endommage
O025393;P00847;6;Paris;02/08/2024;Mauvais article
O023168;P00026;7;Paris;26/01/2025;Pas comme decrit
O046793;P00051;2;Lyon;27/05/2024;Mauvais article
O030980;P00598;7;Paris;08/07/2024;Mauvais article
O000725;P00972;5;Paris;17/10/2024;Le client a change d'avis
O016203;P00621;4;Marseille;08/08/2024;Endommage
O014329;P00712;9;Marseille;22/11/2024;Le client a change d'avis
O002187;P00319;9;Lyon;26/10/2024;Pas comme decrit
O015973;P00405;1;Paris;11/11/2024;Le client a change d'avis
O025988;P00191;3;Paris;20/03/2024;Mauvais article
O023991;P00924;1;Marseille;12/08/2024;Endommage
O041146;P00258;4;Paris;01/05/2024;Pas comme decrit
O013442;P00794;2;Paris;16/05/2024;Pas comme decrit
O037303;P00254;8;Marseille;04/09/2024;Le client a change d'avis
O042881;P00365;1;Paris;23/03/2024;Pas comme decrit
O019481;P00781;1;Paris;03/11/2024;Endommage
O019802;P00261;8;Lyon;04/05/2024;Mauvais article
O043012;P00721;2;Paris;07/09/2024;Le client a change d'avis
O041426;P00212;7;Marseille;18/12/2024;Mauvais article
O015233;P00855;9;Lyon;23/04/2024;Mauvais article
O021918;P00950;4;Marseille;04/10/2024;Pas comme decrit
O005451;P00328;9;Paris;27/05/2024;Le client a change d'avis
O015155;P00927;1;Lyon;27/05/2024;Le client a change d'avis
O041376;P00434;2;Paris;23/08/2024;Endommage
O021509;P00536;2;Paris;09/10/2024;Mauvais article
O028635;P00510;2;Marseille;09/09/2024;Le client a change d'avis
O021527;P00560;5;Marseille;01/05/2024;Pas comme decrit
O010701;P00441;3;Paris;18/06/2024;Le client a change d'avis
O035072;P00456;8;Paris;14/04/2024;Le client a change d'avis
O011925;P00453;4;Lyon;13/10/2024;Le client a change d'avis
O023561;P00279;5;Lyon;11/04/2024;Mauvais article
O025742;P00184;6;Lyon;29/01/2025;Le client a change d'avis
O015708;P00510;4;Lyon;21/11/2024;Pas comme decrit
O043382;P00370;4;Lyon;27/09/2024;Endommage
O002242;P00310;7;Paris;24/07/2024;Mauvais article
O029558;P00570;6;Lyon;26/12/2024;Endommage
O017227;P00456;6;Paris;12/12/2024;Endommage
O022645;P00684;4;Paris;01/06/2024;Endommage
O003353;P00558;7;Paris;31/08/2024;Endommage
O019015;P00858;5;Paris;01/03/2024;Endommage
O026603;P00823;7;Marseille;06/08/2024;Pas comme decrit
O010621;P00480;3;Marseille;08/03/2024;Pas comme decrit
O017508;P00619;1;Paris;14/08/2024;Le client a change d'avis
O020329;P00171;2;Lyon;28/05/2024;Mauvais article
O011334;P00870;6;Marseille;27/07/2024;Pas comme decrit
O020636;P00274;5;Lyon;12/08/2024;Pas comme decrit
O029124;P00702;9;Lyon;02/09/2024;Mauvais article
O012468;P00552;8;Paris;25/05/2024;Pas comme decrit
O044902;P00751;4;Lyon;02/05/2024;Endommage
O016334;P00908;2;Lyon;28/03/2024;Endommage
O011262;P00645;4;Lyon;12/01/2025;Pas comme decrit
O026531;P00964;7;Lyon;06/05/2024;Pas comme decrit
O016086;P00718;9;Paris;28/09/2024;Le client a change d'avis
O015390;P00163;6;Lyon;09/05/2024;Pas comme decrit
O034563;P00877;2;Marseille;26/11/2024;Pas comme decrit
O018694;P00606;7;Lyon;03/11/2024;Mauvais article
O036574;P00808;4;Marseille;10/03/2024;Endommage
O014472;P00902;4;Paris;11/06/2024;Endommage
O015863;P00430;6;Paris;12/01/2024;Endommage
O001767;P00733;9;Lyon;30/12/2024;Pas comme decrit
O018223;P00199;8;Paris;02/09/2024;Pas comme decrit
O020757;P00497;1;Marseille;10/08/2024;Mauvais article
O039767;P00141;1;Lyon;08/10/2024;Endommage
O007088;P00348;4;Marseille;01/02/2024;Endommage
O014566;P00826;9;Paris;11/06/2024;Pas comme decrit
O010210;P00183;2;Marseille;24/01/2025;Pas comme decrit
O011579;P00747;2;Marseille;26/11/2024;Mauvais article
O029788;P00381;1;Marseille;02/08/2024;Endommage
O032216;P00393;8;Marseille;20/04/2024;Mauvais article
O023747;P00307;1;Marseille;21/02/2024;Pas comme decrit
O026380;P00706;8;Paris;20/02/2024;Le client a change d'avis
O030261;P00939;4;Marseille;23/01/2025;Pas comme decrit
O018360;P00376;1;Lyon;09/06/2024;Pas comme decrit
O018330;P00902;6;Paris;31/12/2024;Endommage
O036637;P00302;8;Marseille;22/09/2024;Endommage
O040405;P00218;5;Paris;24/11/2024;Mauvais article
O008278;P00470;2;Lyon;19/12/2024;Le client a change d'avis
O049133;P00221;2;Lyon;12/01/2025;Mauvais article
O004104;P00283;9;Lyon;07/03/2024;Le client a change d'avis
O027776;P00559;6;Lyon;02/10/2024;Mauvais article
O007491;P00023;4;Paris;09/04/2024;Endommage
O042655;P00466;3;Paris;21/09/2024;Pas comme decrit
O033395;P00538;2;Lyon;21/03/2024;Endommage
O004587;P00682;3;Paris;18/07/2024;Mauvais article
O005592;P00102;8;Marseille;01/04/2024;Pas comme decrit
O049330;P00450;1;Paris;06/03/2024;Le client a change d'avis
O002021;P00219;2;Paris;10/08/2024;Pas comme decrit
O045296;P00936;2;Paris;24/07/2024;Mauvais article
O033500;P00577;1;Lyon;09/07/2024;Le client a change d'avis
O026704;P00677;1;Lyon;22/06/2024;Le client a change d'avis
O029414;P00730;9;Paris;04/10/2024;Pas comme decrit
O024048;P00557;1;Marseille;31/01/2024;Pas comme decrit
O010229;P00224;9;Lyon;17/08/2024;Mauvais article
O019395;P00890;1;Paris;10/08/2024;Mauvais article
O049603;P00434;1;Marseille;26/06/2024;Pas comme decrit
O006235;P00365;2;Lyon;12/12/2024;Endommage
O003878;P00673;9;Marseille;10/05/2024;Pas comme decrit
O031620;P00268;3;Marseille;20/10/2024;Le client a change d'avis
O033275;P00395;7;Lyon;04/07/2024;Pas comme decrit
O023918;P00941;3;Paris;24/07/2024;Mauvais article
O039359;P00012;9;Lyon;22/10/2024;Pas comme decrit
O030321;P00844;3;Marseille;26/07/2024;Mauvais article
O011897;P00448;2;Marseille;02/04/2024;Pas comme decrit
O022125;P00128;4;Marseille;07/05/2024;Mauvais article
O041087;P00226;8;Paris;26/07/2024;Mauvais article
O003237;P00260;6;Paris;21/12/2024;Mauvais article
O025575;P00357;4;Paris;04/01/2025;Endommage
O014355;P00861;8;Lyon;05/10/2024;Pas comme decrit
O007758;P00469;7;Paris;14/04/2024;Le client a change d'avis
O000358;P00367;1;Marseille;23/05/2024;Mauvais article
O019013;P00625;6;Marseille;24/01/2025;Pas comme decrit
O026578;P00682;5;Lyon;20/10/2024;Pas comme decrit
O010177;P00250;2;Paris;26/03/2024;Le client a change d'avis
O018090;P00803;3;Marseille;22/12/2024;Mauvais article
O027254;P00487;7;Marseille;11/04/2024;Mauvais article
O013134;P00809;9;Paris;24/01/2025;Le client a change d'avis
O000641;P00337;5;Marseille;09/08/2024;Pas comme decrit
O042464;P00771;5;Lyon;14/11/2024;Le client a change d'avis
O003457;P00912;5;Marseille;28/05/2024;Le client a change d'avis
O032505;P00116;5;Lyon;07/01/2025;Mauvais article
O016566;P00588;9;Paris;24/06/2024;Mauvais article
O028647;P00728;9;Paris;15/01/2025;Mauvais article
O004383;P00922;8;Lyon;06/10/2024;Mauvais article
O034636;P00765;7;Lyon;19/11/2024;Endommage
O029927;P00408;5;Paris;26/02/2024;Le client a change d'avis
O043703;P00139;7;Lyon;13/08/2024;Mauvais article
O019233;P00390;8;Marseille;26/08/2024;Mauvais article
O040182;P00968;1;Paris;03/08/2024;Endommage
O010636;P00263;1;Marseille;30/09/2024;Pas comme decrit
O017710;P00807;9;Lyon;24/04/2024;Endommage
O015936;P00086;8;Marseille;07/10/2024;Mauvais article
O048293;P00563;8;Marseille;27/08/2024;Le client a change d'avis
O046843;P00880;7;Marseille;25/08/2024;Endommage
O027568;P00185;4;Marseille;30/04/2024;Endommage
O049110;P00493;1;Marseille;18/12/2024;Pas comme decrit
O006713;P00928;7;Marseille;05/04/2024;Pas comme decrit
O022194;P00382;9;Lyon;17/05/2024;Pas comme decrit
O040702;P00169;7;Paris;19/02/2024;Le client a change d'avis
O000159;P00185;2;Lyon;04/03/2024;Endommage
O026948;P00751;6;Lyon;05/09/2024;Mauvais article
O042084;P00197;7;Paris;05/10/2024;Mauvais article
O043106;P00616;8;Marseille;25/08/2024;Pas comme decrit
O046603;P00505;6;Marseille;16/03/2024;Endommage
O000232;P00127;7;Marseille;21/01/2024;Le client a change d'avis
O042387;P00533;3;Lyon;15/08/2024;Mauvais article
O026999;P00740;5;Marseille;25/02/2024;Le client a change d'avis
O015171;P00641;2;Lyon;05/04/2024;Pas comme decrit
O047719;P00308;6;Marseille;17/11/2024;Mauvais article
O002398;P00294;2;Paris;01/11/2024;Mauvais article
O014222;P00807;6;Marseille;13/06/2024;Mauvais article
O017723;P00280;1;Marseille;18/04/2024;Endommage
O046470;P00495;5;Lyon;19/01/2025;Le client a change d'avis
O038122;P00960;8;Marseille;01/02/2024;Pas comme decrit
O017486;P00929;6;Lyon;26/11/2024;Le client a change d'avis
O014295;P00577;5;Paris;23/02/2024;Le client a change d'avis
O029867;P00502;2;Marseille;18/02/2024;Endommage
O039501;P00342;1;Lyon;15/07/2024;Endommage
O023123;P00915;2;Lyon;12/07/2024;Le client a change d'avis
O016427;P00777;4;Lyon;14/10/2024;Mauvais article
O046205;P00481;6;Paris;11/08/2024;Mauvais article
O045697;P00377;2;Marseille;27/02/2024;Le client a change d'avis
O048108;P00414;1;Paris;06/11/2024;Le client a change d'avis
O025817;P00583;7;Paris;17/06/2024;Le client a change d'avis
O016291;P00241;8;Marseille;01/11/2024;Mauvais article
O033961;P00410;1;Paris;22/05/2024;Mauvais article
O047370;P00029;4;Lyon;17/07/2024;Mauvais article
O015898;P00619;9;Lyon;06/01/2025;Le client a change d'avis
O015069;P00526;5;Marseille;08/11/2024;Le client a change d'avis
O027603;P00069;4;Paris;13/02/2024;Mauvais article
O012831;P00285;5;Marseille;07/03/2024;Endommage
O017343;P00876;1;Paris;27/02/2024;Pas comme decrit
O000378;P00091;7;Lyon;05/01/2025;Mauvais article
O020642;P00365;7;Lyon;01/07/2024;Pas comme decrit
O047886;P00742;9;Paris;17/08/2024;Mauvais article
O004917;P00039;2;Paris;12/09/2024;Mauvais article
O042920;P00180;7;Lyon;02/08/2024;Le client a change d'avis
O015881;P00289;3;Paris;24/10/2024;Endommage
O023367;P00406;8;Marseille;15/02/2024;Mauvais article
O009882;P00138;8;Paris;22/01/2024;Mauvais article
O025116;P00371;4;Marseille;30/01/2024;Mauvais article
O016207;P00346;4;Lyon;20/08/2024;Pas comme decrit
O046181;P00405;7;Marseille;19/08/2024;Pas comme decrit
O008046;P00589;8;Lyon;20/02/2024;Pas comme decrit
