id_commande,date_commande,id_produit,quantité,entrepôt,statut,date_retour,motif,return_flag,order_month
O000066,2024-05-05,P00890,1,Paris,Livré,2024-05-15,Produit abîmé,1,5
O000067,2024-08-23,P00046,1,Marseille,Expédié,,,0,8
O000069,2024-01-05,P00161,1,Marseille,Livré,,,0,1
O000071,2024-10-03,P00037,2,Lyon,Livré,2024-10-08,Livraison incomplète,1,10
O000072,2024-02-10,P00759,2,Lyon,Expédié,,,0,2
O000073,2024-02-26,P00612,2,Marseille,Livré,,,0,2
O000074,2024-01-17,P00147,10,Marseille,Livré,,,0,1
O000075,2024-01-16,P00653,2,Lyon,Livré,,,0,1
O000076,2024-12-06,P00504,2,Lyon,Livré,,,0,12
O000077,2024-10-02,P00246,3,Paris,Livré,,,0,10
O000078,2024-11-24,P00377,1,Lyon,Livré,,,0,11
O000080,2024-12-05,P00924,8,Paris,Livré,,,0,12
O000082,2024-11-21,P00339,1,Marseille,Expédié,,,0,11
O000083,2024-08-06,P00876,20,Paris,Livré,,,0,8
O000084,2024-02-16,P00341,8,Lyon,Livré,,,0,2
O000085,2024-12-19,P00370,1,Marseille,Livré,,,0,12
O000086,2024-08-05,P00414,1,Marseille,Livré,,,0,8
O000087,2024-12-08,P00026,8,Lyon,Expédié,,,0,12
O000088,2024-09-01,P00250,5,Marseille,Livré,,,0,9
O000090,2024-01-21,P00222,8,Paris,Expédié,,,0,1
O000091,2024-11-18,P00050,8,Lyon,Expédié,,,0,11
O000092,2024-10-11,P00953,1,Lyon,Expédié,,,0,10
O000093,2024-10-21,P00745,2,Marseille,Livré,,,0,10
O000094,2024-03-30,P00305,1,Marseille,Livré,,,0,3
O000096,2024-03-18,P00638,10,Lyon,Livré,,,0,3
O000097,2024-11-22,P00846,5,Paris,Livré,,,0,11
O000098,2024-01-19,P00026,2,Paris,Livré,,,0,1
O000099,2024-11-08,P00193,1,Lyon,Livré,2024-12-02,Mauvaise référence,1,11
O000100,2024-10-23,P00931,2,Lyon,Livré,,,0,10
O000101,2024-12-13,P00620,2,Lyon,Livré,,,0,12
O000102,2024-09-24,P00917,8,Marseille,Expédié,,,0,9
O000103,2024-04-11,P00010,5,Paris,Livré,,,0,4
O000104,2024-01-23,P00996,10,Marseille,Livré,,,0,1
O000105,2024-03-05,P00631,3,Marseille,Livré,,,0,3
O000106,2024-02-21,P00536,1,Lyon,Expédié,,,0,2
O000107,2024-09-28,P00839,5,Lyon,Livré,,,0,9
O000109,2024-06-21,P00379,8,Paris,Expédié,,,0,6
O000110,2024-05-26,P00729,3,Lyon,Livré,,,0,5
O000112,2024-02-24,P00070,8,Paris,Livré,,,0,2
O000113,2024-10-24,P00466,3,Marseille,Livré,,,0,10
O000114,2024-12-19,P00462,3,Lyon,Livré,,,0,12
O000116,2024-12-30,P00093,2,Paris,Livré,,,0,12
O000117,2024-12-17,P00831,1,Lyon,Expédié,,,0,12
O000118,2024-11-13,P00467,1,Marseille,Expédié,,,0,11
O000119,2024-10-24,P00012,1,Marseille,Livré,,,0,10
O000120,2024-09-01,P00843,5,Lyon,Livré,,,0,9
O000121,2024-11-02,P00012,2,Marseille,Livré,,,0,11
O000122,2024-12-12,P00407,3,Paris,Livré,,,0,12
O000123,2024-11-21,P00671,12,Paris,Livré,,,0,11
O000124,2024-12-17,P00890,1,Paris,Livré,,,0,12
O000125,2024-12-19,P00604,2,Paris,Livré,,,0,12
O000126,2024-06-24,P00063,8,Lyon,Expédié,2024-07-08,Client insatisfait,1,6
O000127,2024-11-04,P00831,1,Lyon,Livré,,,0,11
O000128,2024-06-02,P00240,1,Marseille,Livré,,,0,6
O000129,2024-12-11,P00254,2,Paris,Expédié,,,0,12
O000130,2024-12-10,P00336,1,Paris,Livré,,,0,12
O000131,2024-07-06,P00470,12,Paris,Livré,,,0,7
O000132,2024-04-27,P00400,8,Marseille,Livré,,,0,4
O000134,2024-05-11,P00028,5,Lyon,Livré,,,0,5
O000136,2024-03-07,P00008,10,Paris,Expédié,,,0,3
O000137,2024-08-28,P00160,8,Lyon,Livré,,,0,8
O000138,2024-03-24,P00462,1,Paris,Livré,,,0,3
O000139,2024-04-29,P00009,12,Paris,Expédié,,,0,4
O000140,2024-09-10,P00226,3,Paris,Livré,,,0,9
O000141,2024-01-03,P00592,8,Lyon,Livré,,,0,1
O000142,2024-10-04,P00426,12,Lyon,Livré,,,0,10
O000143,2024-12-24,P00233,2,Lyon,Livré,,,0,12
O000145,2024-11-16,P00973,1,Marseille,Expédié,,,0,11
O000146,2024-11-12,P00011,1,Paris,Livré,,,0,11
O000147,2024-01-15,P00693,2,Paris,Livré,,,0,1
O000149,2024-11-02,P00037,8,Paris,Livré,,,0,11
O000150,2024-11-25,P00948,10,Marseille,Livré,2024-12-16,Mauvaise référence,1,11
O000151,2024-12-22,P00396,1,Lyon,Livré,,,0,12
O000152,2024-12-22,P00143,3,Marseille,Livré,,,0,12
O000153,2024-10-29,P00105,2,Marseille,Livré,,,0,10
O000154,2024-12-03,P00403,1,Marseille,Livré,,,0,12
O000155,2024-10-09,P00099,1,Marseille,Livré,,,0,10
O000156,2024-10-04,P00435,2,Paris,Expédié,,,0,10
O000158,2024-10-14,P00506,15,Paris,Livré,,,0,10
O000159,2024-09-29,P00550,2,Lyon,Livré,,,0,9
O000160,2024-09-26,P00458,3,Lyon,Livré,,,0,9
O000161,2024-12-27,P00252,5,Paris,Livré,,,0,12
O000162,2024-03-29,P00173,2,Marseille,Expédié,,,0,3
O000163,2024-06-15,P00037,15,Marseille,Livré,,,0,6
O000164,2024-11-14,P00396,15,Marseille,Livré,,,0,11
O000165,2024-01-30,P00462,2,Paris,Livré,,,0,1
O000166,2024-12-21,P00046,3,Marseille,Livré,,,0,12
O000167,2024-11-06,P00754,2,Paris,Livré,,,0,11
O000168,2024-02-20,P00149,2,Paris,Expédié,,,0,2
O000169,2024-09-03,P00742,1,Lyon,Expédié,,,0,9
O000170,2024-11-19,P00792,5,Lyon,Expédié,2024-12-03,Livraison incomplète,1,11
O000171,2024-11-24,P00449,3,Lyon,Expédié,,,0,11
O000172,2024-04-30,P00924,1,Lyon,Livré,,,0,4
O000173,2024-12-07,P00373,2,Paris,Livré,,,0,12
O000174,2024-12-03,P00562,12,Lyon,Livré,,,0,12
O000176,2024-10-07,P00025,1,Paris,Livré,,,0,10
O000177,2024-04-03,P00839,1,Paris,Expédié,,,0,4
O000178,2024-06-14,P00463,3,Lyon,Livré,,,0,6
O000179,2024-01-16,P00754,20,Paris,Expédié,,,0,1
O000180,2024-12-09,P00707,1,Marseille,Livré,,,0,12
O000181,2024-08-28,P00166,5,Marseille,Livré,,,0,8
O000183,2024-11-11,P00573,8,Paris,Livré,,,0,11
O000184,2024-12-13,P00893,1,Paris,Livré,,,0,12
O000185,2024-12-13,P00792,8,Marseille,Livré,,,0,12
O000186,2024-03-27,P00099,2,Marseille,Livré,,,0,3
O000187,2024-11-13,P00979,5,Marseille,Livré,,,0,11
O000188,2024-11-21,P00811,5,Paris,Livré,,,0,11
O000189,2024-12-03,P00604,3,Lyon,Expédié,,,0,12
O000190,2024-01-26,P00755,1,Marseille,Expédié,,,0,1
O000191,2024-04-07,P00738,10,Marseille,Expédié,,,0,4
O000192,2024-01-05,P00389,2,Marseille,Expédié,,,0,1
O000193,2024-01-09,P00175,1,Lyon,Livré,,,0,1
O000194,2024-01-15,P00093,1,Paris,Livré,,,0,1
O000195,2024-12-10,P00488,3,Marseille,Livré,,,0,12
O000196,2024-12-28,P00717,5,Lyon,Livré,,,0,12
O000198,2024-01-23,P00357,1,Paris,Livré,2024-02-01,Mauvaise référence,1,1
O000199,2024-03-28,P00931,3,Lyon,Expédié,2024-04-12,Client insatisfait,1,3
O000200,2024-10-24,P00182,1,Paris,Livré,,,0,10
O000201,2024-12-12,P00612,5,Paris,Livré,,,0,12
O000202,2024-11-09,P00400,1,Marseille,Expédié,,,0,11
O000203,2024-12-21,P00890,5,Lyon,Livré,,,0,12
O000204,2024-03-22,P00047,2,Paris,Livré,,,0,3
O000205,2024-05-11,P00496,12,Marseille,Livré,,,0,5
O000206,2024-12-27,P00175,1,Marseille,Expédié,,,0,12
O000208,2024-06-04,P00558,2,Marseille,Livré,2024-06-11,Livraison incomplète,1,6
O000209,2024-03-04,P00933,1,Marseille,Livré,,,0,3
O000210,2024-09-28,P00759,12,Paris,Livré,,,0,9
O000211,2024-08-08,P00802,10,Paris,Livré,,,0,8
O000212,2024-12-28,P00198,2,Paris,Expédié,,,0,12
O000213,2024-01-08,P00809,5,Marseille,Livré,,,0,1
O000214,2024-12-22,P00876,8,Lyon,Livré,,,0,12
O000215,2024-12-14,P00008,3,Marseille,Livré,,,0,12
O000216,2024-12-21,P00212,3,Lyon,Livré,2024-12-26,Mauvaise référence,1,12
O000217,2024-01-06,P00966,1,Lyon,Expédié,,,0,1
O000218,2024-05-03,P00503,1,Lyon,Livré,2024-05-10,Client insatisfait,1,5
O000220,2024-09-14,P00891,12,Paris,Livré,,,0,9
O000221,2024-03-23,P00884,12,Lyon,Livré,,,0,3
O000222,2024-10-17,P00133,5,Marseille,Livré,,,0,10
O000223,2024-11-16,P00948,2,Marseille,Livré,,,0,11
O000224,2024-11-02,P00945,2,Paris,Expédié,,,0,11
O000225,2024-01-10,P00981,8,Lyon,Expédié,,,0,1
O000226,2024-12-26,P00140,12,Marseille,Livré,,,0,12
O000227,2024-01-17,P00039,10,Lyon,Expédié,,,0,1
O000228,2024-12-13,P00118,8,Marseille,Livré,,,0,12
O000229,2024-12-12,P00604,5,Lyon,Expédié,,,0,12
O000230,2024-08-27,P00274,1,Lyon,Expédié,,,0,8
O000231,2024-12-13,P00613,1,Marseille,Expédié,,,0,12
O000232,2024-09-11,P00754,12,Marseille,Livré,,,0,9
O000234,2024-02-21,P00182,5,Marseille,Livré,,,0,2
O000235,2024-12-11,P00905,1,Lyon,Expédié,,,0,12
O000236,2024-08-29,P00872,1,Paris,Livré,,,0,8
O000237,2024-11-16,P00250,5,Lyon,Livré,2024-12-15,Client insatisfait,1,11
O000238,2024-02-09,P00886,1,Marseille,Expédié,,,0,2
O000239,2024-08-19,P00136,1,Marseille,Livré,,,0,8
O000240,2024-01-30,P00718,3,Marseille,Livré,,,0,1
O000241,2024-12-14,P00624,5,Paris,Livré,,,0,12
O000242,2024-11-23,P00013,5,Paris,Livré,,,0,11
O000243,2024-07-02,P00526,1,Lyon,Livré,,,0,7
O000244,2024-03-10,P00335,5,Marseille,Livré,,,0,3
O000245,2024-11-08,P00355,1,Lyon,Livré,,,0,11
O000247,2024-01-22,P00767,2,Marseille,Expédié,,,0,1
O000248,2024-08-16,P00379,8,Marseille,Expédié,,,0,8
O000249,2024-02-27,P00157,5,Marseille,Livré,2024-03-13,Client insatisfait,1,2
O000250,2024-07-10,P00906,10,Paris,Livré,,,0,7
O000251,2024-09-16,P00408,5,Lyon,Livré,,,0,9
O000252,2024-04-17,P00463,3,Lyon,Livré,,,0,4
O000253,2024-03-21,P00343,1,Paris,Livré,,,0,3
O000254,2024-12-14,P00810,2,Paris,Expédié,,,0,12
O000255,2024-10-14,P00811,2,Lyon,Livré,2024-11-01,Livraison incomplète,1,10
O000256,2024-11-19,P00330,1,Paris,Livré,,,0,11
O000257,2024-08-10,P00615,15,Paris,Livré,2024-09-04,Produit abîmé,1,8
O000259,2024-11-15,P00629,2,Lyon,Livré,,,0,11
O000260,2024-12-02,P00876,12,Marseille,Livré,,,0,12
O000261,2024-10-03,P00765,5,Paris,Livré,,,0,10
O000262,2024-12-03,P00355,8,Marseille,Livré,,,0,12
O000263,2024-05-09,P00055,3,Lyon,Expédié,,,0,5
O000264,2024-11-05,P00426,3,Lyon,Expédié,,,0,11
O000265,2024-11-11,P00924,3,Lyon,Expédié,,,0,11
O000266,2024-02-01,P00253,1,Paris,Livré,,,0,2
O000267,2024-12-23,P00516,8,Marseille,Livré,,,0,12
O000268,2024-12-15,P00541,2,Paris,Livré,,,0,12
O000269,2024-12-24,P00864,1,Marseille,Expédié,,,0,12
O000270,2024-12-23,P00319,5,Paris,Expédié,,,0,12
O000271,2024-01-15,P00948,1,Paris,Livré,,,0,1
O000272,2024-01-06,P00277,15,Lyon,Expédié,,,0,1
O000273,2024-09-02,P00767,15,Marseille,Livré,,,0,9
O000274,2024-11-12,P00296,12,Marseille,Expédié,,,0,11
O000275,2024-11-19,P00470,2,Marseille,Livré,,,0,11
O000276,2024-12-28,P00299,1,Lyon,Livré,,,0,12
O000277,2024-12-02,P00585,12,Paris,Expédié,,,0,12
O000278,2024-12-09,P00520,2,Marseille,Expédié,,,0,12
O000279,2024-10-16,P00398,15,Marseille,Expédié,,,0,10
O000280,2024-11-13,P00091,15,Marseille,Expédié,,,0,11
O000282,2024-03-13,P00355,10,Marseille,Livré,,,0,3
O000283,2024-10-29,P00610,2,Marseille,Expédié,,,0,10
O000285,2024-09-10,P00229,2,Marseille,Livré,,,0,9
O000286,2024-11-29,P00463,10,Lyon,Livré,,,0,11
O000287,2024-12-06,P00404,2,Paris,Livré,,,0,12
O000288,2024-08-27,P00366,1,Lyon,Livré,,,0,8
O000290,2024-10-17,P00234,3,Lyon,Livré,,,0,10
O000291,2024-03-23,P00613,12,Paris,Expédié,,,0,3
O000292,2024-11-05,P00014,5,Paris,Livré,,,0,11
O000293,2024-02-07,P00921,3,Paris,Livré,,,0,2
O000294,2024-08-20,P00759,1,Paris,Livré,,,0,8
O000295,2024-03-24,P00121,5,Marseille,Expédié,,,0,3
O000296,2024-12-28,P00415,20,Marseille,Expédié,,,0,12
O000297,2024-12-30,P00184,1,Paris,Livré,,,0,12
O000298,2024-02-01,P00541,3,Marseille,Livré,2024-02-23,Client insatisfait,1,2
O000299,2024-12-13,P00366,10,Lyon,Livré,,,0,12
O000300,2024-03-13,P00182,8,Lyon,Livré,,,0,3
O000301,2024-05-09,P00681,5,Paris,Expédié,,,0,5
O000303,2024-10-14,P00302,5,Lyon,Expédié,,,0,10
O000304,2024-10-21,P00229,2,Lyon,Expédié,,,0,10
O000305,2024-12-15,P00890,2,Paris,Expédié,,,0,12
O000306,2024-11-02,P00445,8,Lyon,Livré,,,0,11
O000307,2024-10-20,P00341,8,Paris,Expédié,,,0,10
O000308,2024-11-17,P00202,10,Marseille,Expédié,,,0,11
O000309,2024-03-20,P00129,12,Lyon,Livré,,,0,3
O000310,2024-12-08,P00867,3,Lyon,Livré,,,0,12
O000312,2024-12-08,P00373,3,Marseille,Expédié,,,0,12
O000314,2024-11-13,P00765,8,Lyon,Livré,,,0,11
O000315,2024-09-08,P00008,5,Marseille,Expédié,,,0,9
O000316,2024-12-30,P00506,5,Lyon,Livré,,,0,12
O000317,2024-12-24,P00779,8,Marseille,Expédié,,,0,12
O000318,2024-12-13,P00143,12,Lyon,Expédié,,,0,12
O000319,2024-01-20,P00175,2,Marseille,Expédié,,,0,1
O000320,2024-10-25,P00373,2,Marseille,Expédié,,,0,10
O000321,2024-09-14,P00046,1,Marseille,Livré,,,0,9
O000323,2024-12-01,P00324,3,Lyon,Livré,,,0,12
O000324,2024-01-27,P00336,1,Marseille,Livré,,,0,1
O000325,2024-11-18,P00362,3,Lyon,Expédié,,,0,11
O000326,2024-12-24,P00811,3,Lyon,Expédié,,,0,12
O000327,2024-06-10,P00347,2,Marseille,Livré,,,0,6
O000328,2024-12-22,P00388,3,Marseille,Livré,,,0,12
O000329,2024-03-15,P00099,1,Marseille,Livré,2024-04-06,Livraison incomplète,1,3
O000330,2024-12-07,P00688,1,Lyon,Livré,,,0,12
O000331,2024-11-13,P00014,10,Lyon,Livré,,,0,11
O000333,2024-03-19,P00336,2,Paris,Livré,,,0,3
O000334,2024-03-05,P00865,1,Lyon,Livré,,,0,3
O000335,2024-05-05,P00971,3,Lyon,Expédié,,,0,5
O000336,2024-02-19,P00938,8,Marseille,Livré,,,0,2
O000337,2024-03-10,P00233,1,Paris,Expédié,,,0,3
O000338,2024-09-10,P00510,5,Marseille,Livré,,,0,9
O000339,2024-01-05,P00128,1,Paris,Expédié,,,0,1
O000341,2024-09-09,P00341,1,Paris,Livré,,,0,9
O000343,2024-10-06,P00417,3,Lyon,Expédié,,,0,10
O000344,2024-12-13,P00778,3,Marseille,Livré,,,0,12
O000345,2024-08-24,P00268,5,Marseille,Livré,,,0,8
O000348,2024-02-02,P00273,8,Marseille,Expédié,,,0,2
O000349,2024-12-05,P00957,15,Paris,Livré,,,0,12
O000350,2024-10-14,P00916,3,Lyon,Livré,,,0,10
O000351,2024-12-09,P00070,2,Paris,Livré,,,0,12
O000352,2024-12-28,P00357,8,Marseille,Expédié,,,0,12
O000353,2024-05-28,P00550,2,Lyon,Expédié,,,0,5
O000354,2024-05-14,P00952,2,Marseille,Livré,,,0,5
O000355,2024-04-03,P00099,1,Lyon,Livré,,,0,4
O000357,2024-01-31,P00070,1,Paris,Expédié,,,0,1
O000358,2024-08-03,P00881,15,Marseille,Livré,,,0,8
O000359,2024-01-26,P00615,10,Lyon,Livré,2024-02-25,Client insatisfait,1,1
O000360,2024-12-07,P00550,5,Marseille,Expédié,,,0,12
O000361,2024-04-04,P00234,2,Paris,Livré,,,0,4
O000362,2024-12-15,P00151,1,Paris,Livré,,,0,12
O000363,2024-02-12,P00721,1,Marseille,Expédié,,,0,2
O000364,2024-01-24,P00738,2,Lyon,Livré,,,0,1
O000365,2024-11-03,P00755,3,Paris,Livré,,,0,11
O000366,2024-01-16,P00377,5,Paris,Livré,,,0,1
O000368,2024-01-14,P00629,5,Lyon,Livré,,,0,1
O000369,2024-10-04,P00370,2,Paris,Livré,,,0,10
O000370,2024-11-29,P00016,15,Paris,Expédié,,,0,11
O000371,2024-10-20,P00355,8,Lyon,Livré,,,0,10
O000372,2024-12-25,P00943,3,Paris,Livré,2025-01-12,Client insatisfait,1,12
O000373,2024-12-09,P00781,5,Marseille,Livré,,,0,12
O000374,2024-02-28,P00906,2,Paris,Livré,,,0,2
O000375,2024-10-08,P00035,1,Marseille,Livré,,,0,10
O000377,2024-09-06,P00767,2,Marseille,Livré,,,0,9
O000378,2024-10-19,P00936,8,Lyon,Livré,,,0,10
O000379,2024-01-19,P00093,1,Lyon,Livré,,,0,1
O000380,2024-04-13,P00899,1,Marseille,Livré,,,0,4
O000381,2024-12-13,P00234,1,Lyon,Livré,,,0,12
O000382,2024-10-13,P00037,1,Marseille,Livré,,,0,10
O000385,2024-12-15,P00414,10,Paris,Livré,,,0,12
O000386,2024-02-05,P00654,5,Marseille,Livré,,,0,2
O000387,2024-10-04,P00764,3,Marseille,Livré,,,0,10
O000388,2024-09-02,P00193,1,Marseille,Livré,,,0,9
O000391,2024-02-08,P00462,3,Lyon,Livré,,,0,2
O000393,2024-02-13,P00242,3,Marseille,Expédié,,,0,2
O000394,2024-02-10,P00366,1,Paris,Expédié,,,0,2
O000395,2024-04-08,P00362,2,Lyon,Livré,,,0,4
O000396,2024-05-28,P00133,2,Marseille,Livré,,,0,5
O000397,2024-01-21,P00521,5,Lyon,Livré,,,0,1
O000398,2024-12-02,P00836,5,Marseille,Livré,,,0,12
O000399,2024-04-06,P00521,1,Marseille,Expédié,,,0,4
O000400,2024-11-06,P00370,2,Paris,Expédié,,,0,11
O000401,2024-12-18,P00417,5,Paris,Livré,,,0,12
O000402,2024-12-15,P00182,3,Lyon,Expédié,,,0,12
O000403,2024-01-26,P00337,10,Lyon,Livré,,,0,1
O000404,2024-01-07,P00170,5,Paris,Livré,,,0,1
O000405,2024-12-27,P00963,1,Lyon,Livré,,,0,12
O000406,2024-03-17,P00466,1,Lyon,Livré,,,0,3
O000407,2024-11-22,P00604,5,Paris,Livré,,,0,11
O000408,2024-11-08,P00044,1,Paris,Livré,,,0,11
O000409,2024-10-13,P00014,3,Paris,Livré,,,0,10
O000411,2024-03-23,P00202,15,Paris,Livré,,,0,3
O000413,2024-11-29,P00516,3,Paris,Expédié,,,0,11
O000414,2024-11-28,P00890,2,Paris,Livré,,,0,11
O000415,2024-05-27,P00240,5,Lyon,Livré,,,0,5
O000416,2024-12-30,P00952,3,Marseille,Livré,,,0,12
O000417,2024-03-11,P00943,3,Paris,Expédié,,,0,3
O000418,2024-06-08,P00865,15,Lyon,Expédié,,,0,6
O000419,2024-10-30,P00971,2,Lyon,Expédié,,,0,10
O000420,2024-03-18,P00742,15,Lyon,Expédié,,,0,3
O000421,2024-09-07,P00396,12,Marseille,Livré,,,0,9
O000422,2024-09-07,P00136,1,Marseille,Livré,,,0,9
O000423,2024-12-21,P00008,1,Marseille,Expédié,,,0,12
O000424,2024-09-02,P00704,1,Lyon,Livré,,,0,9
O000425,2024-12-23,P00973,1,Paris,Livré,,,0,12
O000426,2024-02-19,P00277,1,Lyon,Livré,,,0,2
O000427,2024-08-23,P00620,5,Marseille,Livré,,,0,8
O000428,2024-11-18,P00362,1,Marseille,Livré,,,0,11
O000431,2024-09-16,P00865,2,Paris,Livré,,,0,9
O000432,2024-06-19,P00334,10,Lyon,Expédié,,,0,6
O000433,2024-11-14,P00149,1,Marseille,Livré,,,0,11
O000434,2024-09-04,P00688,8,Lyon,Livré,,,0,9
O000436,2024-08-22,P00284,2,Lyon,Livré,,,0,8
O000438,2024-01-11,P00467,1,Lyon,Livré,,,0,1
O000439,2024-09-12,P00817,5,Marseille,Livré,,,0,9
O000440,2024-11-07,P00170,5,Lyon,Livré,,,0,11
O000441,2024-09-09,P00133,10,Marseille,Livré,,,0,9
O000442,2024-12-11,P00871,8,Lyon,Livré,,,0,12
O000443,2024-11-02,P00252,8,Lyon,Livré,,,0,11
O000444,2024-12-31,P00612,2,Marseille,Expédié,,,0,12
O000446,2024-01-19,P00253,1,Marseille,Livré,,,0,1
O000448,2024-01-24,P00222,8,Paris,Livré,,,0,1
O000449,2024-11-25,P00063,8,Lyon,Livré,,,0,11
O000450,2024-09-16,P00184,20,Lyon,Livré,,,0,9
O000452,2024-12-09,P00876,2,Lyon,Livré,,,0,12
O000454,2024-12-07,P00470,2,Lyon,Expédié,,,0,12
O000455,2024-02-09,P00373,8,Lyon,Expédié,,,0,2
O000456,2024-02-06,P00258,2,Marseille,Livré,,,0,2
O000457,2024-12-24,P00800,12,Marseille,Livré,,,0,12
O000458,2024-11-09,P00923,10,Marseille,Livré,,,0,11
O000459,2024-12-12,P00794,2,Paris,Expédié,,,0,12
O000460,2024-12-04,P00039,8,Paris,Expédié,,,0,12
O000462,2024-10-30,P00080,8,Paris,Expédié,,,0,10
O000464,2024-10-18,P00651,1,Marseille,Livré,,,0,10
O000465,2024-03-03,P00557,12,Paris,Livré,,,0,3
O000466,2024-05-17,P00912,3,Paris,Livré,,,0,5
O000467,2024-10-12,P00955,10,Lyon,Livré,,,0,10
O000468,2024-03-28,P00893,2,Paris,Livré,,,0,3
O000469,2024-04-15,P00811,12,Marseille,Livré,,,0,4
O000470,2024-10-17,P00503,2,Paris,Livré,,,0,10
O000471,2024-02-27,P00377,1,Lyon,Livré,,,0,2
O000472,2024-10-06,P00509,12,Marseille,Livré,,,0,10
O000473,2024-03-09,P00152,1,Marseille,Livré,2024-03-28,Client insatisfait,1,3
O000474,2024-04-02,P00226,2,Lyon,Livré,,,0,4
O000475,2024-10-19,P00729,15,Marseille,Expédié,,,0,10
O000476,2024-03-29,P00923,15,Marseille,Expédié,,,0,3
O000477,2024-04-10,P00890,3,Marseille,Expédié,,,0,4
O000479,2024-01-05,P00988,5,Paris,Livré,,,0,1
O000480,2024-11-02,P00107,2,Lyon,Livré,,,0,11
O000481,2024-10-16,P00126,2,Marseille,Livré,,,0,10
O000482,2024-12-12,P00414,2,Lyon,Livré,,,0,12
O000483,2024-01-31,P00811,5,Lyon,Expédié,,,0,1
O000484,2024-04-27,P00390,8,Paris,Livré,,,0,4
O000486,2024-05-19,P00963,8,Paris,Expédié,,,0,5
O000487,2024-05-24,P00250,8,Paris,Livré,,,0,5
O000488,2024-09-02,P00924,1,Marseille,Livré,,,0,9
