id_produit,catégorie,marque,prix,stock_minimum,date,entrepot,niveau_stock,stock_gap,month
P00032,Soins capillaires,Maison Pure,186.54,59,2024-07-24,Lyon,57,-2,7
P00032,Soins capillaires,Maison Pure,186.54,59,2024-12-06,Paris,296,237,12
P00033,Soins capillaires,Essentielle Paris,374.0,76,2024-11-04,Paris,126,50,11
P00034,Soins de la peau,Reflet d'or,237.06,58,2024-06-03,Paris,161,103,6
P00034,Soins de la peau,Reflet d'or,237.06,58,2024-06-17,Lyon,88,30,6
P00035,Maquillage,Elixir Haute Beauté,127.81,45,2024-06-20,Lyon,187,142,6
P00035,Maquillage,Elixir Haute Beauté,127.81,45,2024-04-12,Paris,205,160,4
P00036,Accessoires,Luxe eclat,237.17,77,2024-11-02,Paris,167,90,11
P00036,Accessoires,Luxe eclat,237.17,77,2024-01-04,Lyon,216,139,1
P00037,Maquillage,Maison Pure,87.61,87,2024-07-10,Paris,222,135,7
P00037,Maquillage,Maison Pure,87.61,87,2024-12-06,Marseille,75,-12,12
P00038,Accessoires,Essentielle Paris,104.67,50,2024-02-17,Paris,131,81,2
P00039,Soins de la peau,Reflet d'or,259.22,98,2024-04-11,Paris,298,200,4
P00039,Soins de la peau,Reflet d'or,259.22,98,2024-05-27,Lyon,11,-87,5
P00040,Parfums,Elixir Haute Beauté,221.08,71,2024-03-20,Paris,161,90,3
P00040,Parfums,Elixir Haute Beauté,221.08,71,2024-08-29,Lyon,216,145,8
P00041,Soins capillaires,Luxe eclat,459.13,19,2024-02-11,Paris,239,220,2
P00042,Soins de la peau,Maison Pure,193.95,30,2024-07-25,Paris,263,233,7
P00042,Soins de la peau,Maison Pure,193.95,30,2024-01-25,Lyon,62,32,1
P00043,Soins capillaires,Essentielle Paris,298.68,45,2024-06-22,Lyon,2,-43,6
P00043,Soins capillaires,Essentielle Paris,298.68,45,2024-11-11,Marseille,274,229,11
P00044,Parfums,Reflet d'or,323.49,21,2024-05-19,Lyon,230,209,5
P00044,Parfums,Reflet d'or,323.49,21,2024-02-20,Paris,182,161,2
P00045,Parfums,Elixir Haute Beauté,26.29,11,2024-06-14,Paris,117,106,6
P00046,Soins de la peau,Luxe eclat,338.5,22,2024-11-16,Paris,11,-11,11
P00047,Parfums,Maison Pure,105.46,62,2024-06-17,Lyon,41,-21,6
P00047,Parfums,Maison Pure,105.46,62,2024-06-13,Paris,289,227,6
P00048,Accessoires,Essentielle Paris,481.31,41,2024-05-29,Paris,233,192,5
P00048,Accessoires,Essentielle Paris,481.31,41,2024-06-02,Lyon,90,49,6
P00049,Parfums,Reflet d'or,91.36,25,2024-09-23,Paris,128,103,9
P00050,Soins capillaires,Elixir Haute Beauté,219.02,41,2024-07-26,Lyon,26,-15,7
P00051,Soins capillaires,Luxe eclat,60.97,41,2024-08-22,Marseille,4,-37,8
P00051,Soins capillaires,Luxe eclat,60.97,41,2024-03-19,Paris,91,50,3
P00052,Soins capillaires,Maison Pure,498.5,20,2024-06-10,Lyon,177,157,6
P00052,Soins capillaires,Maison Pure,498.5,20,2024-07-19,Paris,104,84,7
P00053,Soins capillaires,Essentielle Paris,261.05,19,2024-10-12,Paris,216,197,10
P00054,Accessoires,Reflet d'or,305.78,24,2024-05-25,Lyon,76,52,5
P00054,Accessoires,Reflet d'or,305.78,24,2024-07-13,Paris,213,189,7
P00055,Maquillage,Elixir Haute Beauté,52.2,26,2024-03-28,Lyon,94,68,3
P00056,Soins de la peau,Luxe eclat,379.98,49,2024-12-30,Lyon,267,218,12
P00056,Soins de la peau,Luxe eclat,379.98,49,2024-09-01,Paris,101,52,9
P00057,Soins capillaires,Maison Pure,120.75,27,2024-08-16,Lyon,140,113,8
P00057,Soins capillaires,Maison Pure,120.75,27,2024-07-25,Paris,42,15,7
P00058,Parfums,Essentielle Paris,451.07,64,2024-05-16,Marseille,151,87,5
P00058,Parfums,Essentielle Paris,451.07,64,2024-12-26,Lyon,172,108,12
P00059,Soins capillaires,Reflet d'or,118.47,82,2024-07-04,Paris,35,-47,7
P00059,Soins capillaires,Reflet d'or,118.47,82,2024-05-06,Marseille,298,216,5
P00060,Parfums,Elixir Haute Beauté,111.53,34,2024-02-08,Lyon,2,-32,2
P00061,Parfums,Luxe eclat,37.54,68,2024-09-08,Paris,281,213,9
P00061,Parfums,Luxe eclat,37.54,68,2024-07-06,Lyon,242,174,7
P00061,Parfums,Luxe eclat,37.54,68,2024-12-04,Marseille,219,151,12
P00062,Soins capillaires,Maison Pure,246.59,87,2024-03-30,Lyon,286,199,3
P00062,Soins capillaires,Maison Pure,246.59,87,2024-04-11,Paris,251,164,4
P00063,Accessoires,Essentielle Paris,291.12,98,2024-06-11,Lyon,96,-2,6
P00063,Accessoires,Essentielle Paris,291.12,98,2024-01-01,Paris,157,59,1
P00064,Parfums,Reflet d'or,51.54,31,2024-03-28,Paris,201,170,3
P00064,Parfums,Reflet d'or,51.54,31,2024-04-15,Marseille,243,212,4
P00064,Parfums,Reflet d'or,51.54,31,2024-11-14,Lyon,218,187,11
P00065,Parfums,Elixir Haute Beauté,392.25,39,2024-06-23,Marseille,120,81,6
P00065,Parfums,Elixir Haute Beauté,392.25,39,2024-08-01,Paris,220,181,8
P00066,Soins capillaires,Luxe eclat,237.58,93,2024-10-02,Paris,76,-17,10
P00067,Parfums,Maison Pure,271.71,94,2024-07-06,Paris,142,48,7
P00067,Parfums,Maison Pure,271.71,94,2024-05-04,Marseille,276,182,5
P00068,Parfums,Essentielle Paris,231.57,53,2024-10-15,Paris,272,219,10
P00068,Parfums,Essentielle Paris,231.57,53,2024-02-29,Marseille,55,2,2
P00069,Soins capillaires,Reflet d'or,212.37,41,2024-03-05,Lyon,161,120,3
P00069,Soins capillaires,Reflet d'or,212.37,41,2024-03-21,Paris,158,117,3
P00070,Soins capillaires,Elixir Haute Beauté,288.63,60,2024-12-11,Paris,198,138,12
P00070,Soins capillaires,Elixir Haute Beauté,288.63,60,2024-03-11,Lyon,259,199,3
P00071,Soins de la peau,Luxe eclat,94.52,55,2024-09-24,Lyon,81,26,9
P00071,Soins de la peau,Luxe eclat,94.52,55,2024-01-19,Paris,130,75,1
P00072,Accessoires,Maison Pure,107.33,30,2024-12-06,Paris,199,169,12
P00072,Accessoires,Maison Pure,107.33,30,2024-01-21,Marseille,229,199,1
P00073,Accessoires,Essentielle Paris,433.66,41,2024-12-09,Paris,161,120,12
P00074,Parfums,Reflet d'or,474.14,48,2024-06-09,Paris,72,24,6
P00075,Accessoires,Elixir Haute Beauté,199.19,21,2024-12-11,Lyon,4,-17,12
P00075,Accessoires,Elixir Haute Beauté,199.19,21,2024-11-24,Paris,18,-3,11
P00076,Parfums,Luxe eclat,149.96,56,2024-11-03,Lyon,165,109,11
P00076,Parfums,Luxe eclat,149.96,56,2024-06-17,Paris,61,5,6
P00077,Soins de la peau,Maison Pure,329.12,27,2024-10-30,Paris,121,94,10
P00078,Soins capillaires,Essentielle Paris,216.19,30,2024-12-05,Marseille,284,254,12
P00078,Soins capillaires,Essentielle Paris,216.19,30,2024-10-23,Lyon,265,235,10
P00079,Soins capillaires,Reflet d'or,32.19,22,2024-04-01,Paris,12,-10,4
P00080,Soins capillaires,Elixir Haute Beauté,94.95,30,2024-04-27,Paris,298,268,4
P00081,Accessoires,Luxe eclat,363.67,17,2024-09-14,Marseille,65,48,9
P00081,Accessoires,Luxe eclat,363.67,17,2024-12-19,Lyon,221,204,12
P00082,Soins de la peau,Maison Pure,336.28,55,2024-03-23,Paris,276,221,3
P00082,Soins de la peau,Maison Pure,336.28,55,2024-05-21,Lyon,181,126,5
P00083,Accessoires,Essentielle Paris,33.01,16,2024-07-02,Lyon,155,139,7
P00084,Accessoires,Reflet d'or,126.55,32,2024-10-03,Lyon,231,199,10
P00084,Accessoires,Reflet d'or,126.55,32,2024-07-16,Marseille,79,47,7
P00085,Soins de la peau,Elixir Haute Beauté,130.92,84,2024-06-30,Paris,112,28,6
P00085,Soins de la peau,Elixir Haute Beauté,130.92,84,2024-09-12,Lyon,15,-69,9
P00086,Soins de la peau,Luxe eclat,342.51,95,2024-12-27,Paris,80,-15,12
P00087,Soins de la peau,Maison Pure,29.46,31,2024-12-15,Paris,286,255,12
P00088,Soins de la peau,Essentielle Paris,69.97,98,2024-10-09,Lyon,258,160,10
P00088,Soins de la peau,Essentielle Paris,69.97,98,2024-06-28,Paris,83,-15,6
P00089,Soins capillaires,Reflet d'or,403.96,31,2024-01-03,Lyon,163,132,1
P00089,Soins capillaires,Reflet d'or,403.96,31,2024-08-10,Paris,51,20,8
P00090,Maquillage,Elixir Haute Beauté,105.7,38,2024-04-17,Lyon,283,245,4
P00090,Maquillage,Elixir Haute Beauté,105.7,38,2024-06-27,Marseille,124,86,6
P00091,Maquillage,Luxe eclat,333.32,22,2024-09-02,Lyon,141,119,9
P00091,Maquillage,Luxe eclat,333.32,22,2024-08-25,Paris,241,219,8
P00092,Soins de la peau,Maison Pure,134.33,91,2024-04-30,Paris,156,65,4
P00092,Soins de la peau,Maison Pure,134.33,91,2024-08-29,Lyon,207,116,8
P00093,Maquillage,Essentielle Paris,67.73,11,2024-06-12,Lyon,80,69,6
P00093,Maquillage,Essentielle Paris,67.73,11,2024-02-28,Paris,199,188,2
P00094,Maquillage,Reflet d'or,136.72,38,2024-05-16,Paris,23,-15,5
P00095,Soins de la peau,Elixir Haute Beauté,366.69,94,2024-08-20,Lyon,261,167,8
P00095,Soins de la peau,Elixir Haute Beauté,366.69,94,2024-02-29,Paris,63,-31,2
P00096,Maquillage,Luxe eclat,430.73,88,2024-02-28,Lyon,68,-20,2
P00096,Maquillage,Luxe eclat,430.73,88,2024-05-03,Paris,61,-27,5
P00097,Accessoires,Maison Pure,418.51,61,2024-08-30,Marseille,48,-13,8
P00098,Parfums,Essentielle Paris,210.65,36,2024-05-18,Paris,11,-25,5
P00099,Parfums,Reflet d'or,340.68,59,2024-09-26,Paris,229,170,9
P00099,Parfums,Reflet d'or,340.68,59,2024-02-18,Lyon,74,15,2
P00100,Soins de la peau,Elixir Haute Beauté,118.39,88,2024-10-16,Marseille,15,-73,10
P00101,Soins capillaires,Luxe eclat,160.71,32,2024-08-14,Paris,83,51,8
P00101,Soins capillaires,Luxe eclat,160.71,32,2024-07-17,Lyon,76,44,7
P00102,Soins de la peau,Maison Pure,450.24,97,2024-01-04,Marseille,84,-13,1
P00102,Soins de la peau,Maison Pure,450.24,97,2024-03-22,Paris,176,79,3
P00103,Soins capillaires,Essentielle Paris,26.24,53,2024-05-28,Paris,189,136,5
P00103,Soins capillaires,Essentielle Paris,26.24,53,2024-06-08,Lyon,17,-36,6
P00104,Parfums,Reflet d'or,61.04,86,2024-04-25,Paris,212,126,4
P00105,Soins de la peau,Elixir Haute Beauté,119.79,31,2024-12-07,Lyon,133,102,12
P00105,Soins de la peau,Elixir Haute Beauté,119.79,31,2024-10-18,Paris,42,11,10
P00106,Accessoires,Luxe eclat,32.74,52,2024-07-02,Marseille,92,40,7
P00106,Accessoires,Luxe eclat,32.74,52,2024-04-29,Paris,116,64,4
P00107,Maquillage,Maison Pure,107.09,46,2024-02-27,Paris,257,211,2
P00107,Maquillage,Maison Pure,107.09,46,2024-07-21,Lyon,47,1,7
P00108,Soins capillaires,Essentielle Paris,299.86,70,2024-03-19,Lyon,136,66,3
P00108,Soins capillaires,Essentielle Paris,299.86,70,2024-03-21,Marseille,92,22,3
P00109,Maquillage,Reflet d'or,222.28,65,2024-11-01,Paris,13,-52,11
P00109,Maquillage,Reflet d'or,222.28,65,2024-08-08,Marseille,272,207,8
P00110,Maquillage,Elixir Haute Beauté,448.48,12,2024-03-24,Paris,192,180,3
P00110,Maquillage,Elixir Haute Beauté,448.48,12,2024-09-10,Marseille,267,255,9
P00111,Soins de la peau,Luxe eclat,412.37,72,2024-03-04,Paris,250,178,3
P00111,Soins de la peau,Luxe eclat,412.37,72,2024-12-28,Lyon,16,-56,12
P00112,Maquillage,Maison Pure,184.07,28,2024-10-07,Marseille,47,19,10
P00112,Maquillage,Maison Pure,184.07,28,2024-06-16,Paris,179,151,6
P00113,Accessoires,Essentielle Paris,144.52,32,2024-12-01,Marseille,92,60,12
P00113,Accessoires,Essentielle Paris,144.52,32,2024-05-23,Paris,130,98,5
P00114,Maquillage,Reflet d'or,202.25,38,2024-03-04,Marseille,276,238,3
P00114,Maquillage,Reflet d'or,202.25,38,2024-10-13,Paris,51,13,10
P00115,Soins de la peau,Elixir Haute Beauté,303.34,39,2024-04-27,Paris,296,257,4
P00115,Soins de la peau,Elixir Haute Beauté,303.34,39,2024-02-20,Lyon,129,90,2
P00116,Accessoires,Luxe eclat,148.67,48,2024-02-22,Lyon,87,39,2
P00117,Parfums,Maison Pure,319.59,34,2024-07-31,Lyon,27,-7,7
P00118,Maquillage,Essentielle Paris,216.52,17,2024-06-14,Lyon,264,247,6
P00118,Maquillage,Essentielle Paris,216.52,17,2024-01-16,Paris,121,104,1
P00119,Soins de la peau,Reflet d'or,284.98,67,2024-10-10,Paris,265,198,10
P00120,Parfums,Elixir Haute Beauté,229.34,25,2024-09-07,Lyon,287,262,9
P00120,Parfums,Elixir Haute Beauté,229.34,25,2024-10-15,Marseille,5,-20,10
P00121,Parfums,Luxe eclat,161.34,81,2024-04-29,Paris,78,-3,4
P00121,Parfums,Luxe eclat,161.34,81,2024-02-05,Marseille,107,26,2
P00122,Soins capillaires,Maison Pure,475.26,10,2024-06-01,Marseille,232,222,6
P00122,Soins capillaires,Maison Pure,475.26,10,2024-09-30,Lyon,275,265,9
P00123,Accessoires,Essentielle Paris,386.53,14,2024-07-17,Paris,126,112,7
P00123,Accessoires,Essentielle Paris,386.53,14,2024-12-31,Lyon,49,35,12
P00124,Maquillage,Reflet d'or,87.25,12,2024-08-31,Paris,96,84,8
P00124,Maquillage,Reflet d'or,87.25,12,2024-09-13,Lyon,106,94,9
P00125,Soins de la peau,Elixir Haute Beauté,436.86,74,2024-06-25,Paris,155,81,6
P00125,Soins de la peau,Elixir Haute Beauté,436.86,74,2024-01-30,Marseille,32,-42,1
P00126,Soins capillaires,Luxe eclat,253.97,13,2024-04-25,Paris,179,166,4
P00126,Soins capillaires,Luxe eclat,253.97,13,2024-05-12,Lyon,61,48,5
P00127,Accessoires,Maison Pure,449.39,73,2024-03-28,Paris,297,224,3
P00127,Accessoires,Maison Pure,449.39,73,2024-04-27,Lyon,279,206,4
P00128,Soins capillaires,Essentielle Paris,403.93,98,2024-08-02,Marseille,267,169,8
P00128,Soins capillaires,Essentielle Paris,403.93,98,2024-10-15,Lyon,285,187,10
P00129,Accessoires,Reflet d'or,224.1,19,2024-09-21,Marseille,114,95,9
P00129,Accessoires,Reflet d'or,224.1,19,2024-08-28,Paris,211,192,8
P00129,Accessoires,Reflet d'or,224.1,19,2024-03-19,Lyon,212,193,3
P00130,Accessoires,Elixir Haute Beauté,30.79,30,2024-03-16,Marseille,95,65,3
P00130,Accessoires,Elixir Haute Beauté,30.79,30,2024-11-03,Lyon,214,184,11
P00131,Maquillage,Luxe eclat,148.97,55,2024-11-25,Lyon,92,37,11
P00131,Maquillage,Luxe eclat,148.97,55,2024-08-27,Marseille,38,-17,8
P00132,Accessoires,Maison Pure,279.98,36,2024-10-07,Paris,201,165,10
P00133,Soins capillaires,Essentielle Paris,324.07,75,2024-12-22,Paris,273,198,12
P00133,Soins capillaires,Essentielle Paris,324.07,75,2024-08-22,Lyon,264,189,8
P00134,Accessoires,Reflet d'or,143.79,50,2024-08-27,Paris,59,9,8
P00134,Accessoires,Reflet d'or,143.79,50,2024-06-22,Lyon,67,17,6
P00135,Maquillage,Elixir Haute Beauté,86.89,22,2024-07-24,Marseille,144,122,7
P00136,Maquillage,Luxe eclat,420.77,18,2024-10-30,Marseille,129,111,10
P00136,Maquillage,Luxe eclat,420.77,18,2024-03-16,Paris,251,233,3
P00137,Soins capillaires,Maison Pure,492.51,45,2024-12-24,Paris,150,105,12
P00138,Parfums,Essentielle Paris,272.33,95,2024-05-30,Paris,187,92,5
P00138,Parfums,Essentielle Paris,272.33,95,2024-05-18,Lyon,34,-61,5
P00139,Parfums,Reflet d'or,102.41,99,2024-01-18,Paris,109,10,1
P00140,Accessoires,Elixir Haute Beauté,150.71,67,2024-06-04,Paris,228,161,6
P00140,Accessoires,Elixir Haute Beauté,150.71,67,2024-10-06,Lyon,103,36,10
P00141,Soins de la peau,Luxe eclat,28.83,63,2024-08-26,Paris,140,77,8
P00141,Soins de la peau,Luxe eclat,28.83,63,2024-04-06,Lyon,27,-36,4
P00142,Accessoires,Maison Pure,458.86,21,2024-08-03,Lyon,105,84,8
P00143,Soins capillaires,Essentielle Paris,76.52,90,2024-10-13,Paris,218,128,10
P00143,Soins capillaires,Essentielle Paris,76.52,90,2024-09-23,Lyon,211,121,9
P00144,Soins capillaires,Reflet d'or,296.73,87,2024-01-02,Lyon,5,-82,1
P00145,Soins capillaires,Elixir Haute Beauté,151.55,23,2024-04-18,Paris,98,75,4
P00146,Soins capillaires,Luxe eclat,286.01,43,2024-10-11,Paris,107,64,10
P00147,Soins capillaires,Maison Pure,332.68,62,2024-10-23,Marseille,96,34,10
P00147,Soins capillaires,Maison Pure,332.68,62,2024-01-16,Paris,282,220,1
P00148,Maquillage,Essentielle Paris,418.28,29,2024-07-13,Lyon,1,-28,7
P00148,Maquillage,Essentielle Paris,418.28,29,2024-05-02,Paris,197,168,5
P00149,Parfums,Reflet d'or,119.08,84,2024-06-06,Marseille,225,141,6
P00149,Parfums,Reflet d'or,119.08,84,2024-06-18,Lyon,255,171,6
P00150,Soins capillaires,Elixir Haute Beauté,25.28,25,2024-12-28,Paris,279,254,12
P00150,Soins capillaires,Elixir Haute Beauté,25.28,25,2024-10-08,Marseille,278,253,10
P00151,Soins de la peau,Luxe eclat,85.71,79,2024-01-30,Marseille,134,55,1
P00151,Soins de la peau,Luxe eclat,85.71,79,2024-06-26,Paris,207,128,6
P00152,Soins de la peau,Maison Pure,452.01,65,2024-03-19,Paris,190,125,3
P00153,Soins de la peau,Essentielle Paris,439.47,92,2024-11-10,Paris,241,149,11
P00153,Soins de la peau,Essentielle Paris,439.47,92,2024-07-23,Marseille,167,75,7
P00154,Soins de la peau,Reflet d'or,306.76,67,2024-03-08,Paris,146,79,3
P00154,Soins de la peau,Reflet d'or,306.76,67,2024-01-09,Lyon,209,142,1
P00154,Soins de la peau,Reflet d'or,306.76,67,2024-11-04,Marseille,129,62,11
P00155,Maquillage,Elixir Haute Beauté,308.25,13,2024-04-01,Paris,218,205,4
P00155,Maquillage,Elixir Haute Beauté,308.25,13,2024-05-17,Lyon,117,104,5
P00156,Soins de la peau,Luxe eclat,339.22,13,2024-08-28,Lyon,143,130,8
P00156,Soins de la peau,Luxe eclat,339.22,13,2024-05-06,Paris,108,95,5
P00157,Soins capillaires,Maison Pure,104.18,29,2024-11-07,Paris,57,28,11
P00157,Soins capillaires,Maison Pure,104.18,29,2024-04-22,Lyon,180,151,4
P00158,Accessoires,Essentielle Paris,458.92,19,2024-12-24,Paris,139,120,12
P00159,Soins de la peau,Reflet d'or,221.01,33,2024-11-26,Paris,164,131,11
P00159,Soins de la peau,Reflet d'or,221.01,33,2024-02-07,Lyon,213,180,2
P00160,Maquillage,Elixir Haute Beauté,203.91,35,2024-03-02,Paris,121,86,3
P00161,Maquillage,Luxe eclat,269.08,46,2024-03-23,Lyon,162,116,3
P00161,Maquillage,Luxe eclat,269.08,46,2024-07-25,Marseille,82,36,7
P00161,Maquillage,Luxe eclat,269.08,46,2024-11-19,Paris,5,-41,11
P00162,Soins de la peau,Maison Pure,42.54,94,2024-01-22,Paris,26,-68,1
P00162,Soins de la peau,Maison Pure,42.54,94,2024-02-05,Lyon,82,-12,2
P00163,Accessoires,Essentielle Paris,99.82,63,2024-08-22,Paris,161,98,8
P00163,Accessoires,Essentielle Paris,99.82,63,2024-12-19,Lyon,5,-58,12
P00164,Soins de la peau,Reflet d'or,374.26,30,2024-11-08,Lyon,236,206,11
P00164,Soins de la peau,Reflet d'or,374.26,30,2024-05-06,Paris,248,218,5
P00165,Maquillage,Elixir Haute Beauté,59.74,83,2024-01-19,Paris,113,30,1
P00165,Maquillage,Elixir Haute Beauté,59.74,83,2024-10-08,Lyon,243,160,10
P00166,Parfums,Luxe eclat,309.51,47,2024-12-04,Paris,149,102,12
P00167,Soins capillaires,Maison Pure,137.77,55,2024-10-30,Paris,182,127,10
P00168,Maquillage,Essentielle Paris,206.86,13,2024-12-10,Paris,61,48,12
P00168,Maquillage,Essentielle Paris,206.86,13,2024-12-02,Marseille,216,203,12
P00169,Soins de la peau,Reflet d'or,158.57,69,2024-08-08,Paris,85,16,8
P00169,Soins de la peau,Reflet d'or,158.57,69,2024-02-25,Marseille,262,193,2
P00170,Soins capillaires,Elixir Haute Beauté,190.72,66,2024-04-03,Paris,141,75,4
P00170,Soins capillaires,Elixir Haute Beauté,190.72,66,2024-02-11,Lyon,89,23,2
P00171,Soins de la peau,Luxe eclat,365.14,54,2024-05-26,Lyon,36,-18,5
P00171,Soins de la peau,Luxe eclat,365.14,54,2024-10-16,Paris,69,15,10
P00172,Soins de la peau,Maison Pure,162.62,29,2024-02-24,Lyon,16,-13,2
P00172,Soins de la peau,Maison Pure,162.62,29,2024-03-18,Paris,247,218,3
P00173,Parfums,Essentielle Paris,291.87,26,2024-11-24,Marseille,254,228,11
P00174,Soins capillaires,Reflet d'or,248.5,80,2024-12-04,Marseille,13,-67,12
P00174,Soins capillaires,Reflet d'or,248.5,80,2024-04-10,Paris,179,99,4
P00175,Soins capillaires,Elixir Haute Beauté,338.56,13,2024-09-18,Paris,228,215,9
P00175,Soins capillaires,Elixir Haute Beauté,338.56,13,2024-04-12,Marseille,195,182,4
P00176,Parfums,Luxe eclat,469.68,23,2024-02-18,Paris,95,72,2
P00176,Parfums,Luxe eclat,469.68,23,2024-05-25,Lyon,180,157,5
P00177,Maquillage,Maison Pure,371.63,12,2024-02-17,Paris,134,122,2
P00177,Maquillage,Maison Pure,371.63,12,2024-01-07,Marseille,218,206,1
P00178,Soins de la peau,Essentielle Paris,123.17,97,2024-03-13,Marseille,74,-23,3
P00178,Soins de la peau,Essentielle Paris,123.17,97,2024-10-08,Lyon,240,143,10
P00179,Accessoires,Reflet d'or,34.97,89,2024-07-09,Paris,138,49,7
P00180,Soins de la peau,Elixir Haute Beauté,145.89,67,2024-07-31,Lyon,45,-22,7
P00180,Soins de la peau,Elixir Haute Beauté,145.89,67,2024-08-07,Paris,67,0,8
P00181,Soins de la peau,Luxe eclat,305.64,64,2024-02-04,Paris,186,122,2
P00181,Soins de la peau,Luxe eclat,305.64,64,2024-06-08,Marseille,193,129,6
P00182,Maquillage,Maison Pure,44.68,13,2024-07-21,Lyon,272,259,7
P00182,Maquillage,Maison Pure,44.68,13,2024-01-25,Paris,63,50,1
P00183,Soins de la peau,Essentielle Paris,258.26,33,2024-08-09,Paris,169,136,8
P00184,Parfums,Reflet d'or,306.48,43,2024-10-29,Paris,46,3,10
P00184,Parfums,Reflet d'or,306.48,43,2024-10-08,Lyon,250,207,10
P00185,Parfums,Elixir Haute Beauté,180.44,39,2024-05-10,Lyon,228,189,5
P00186,Soins capillaires,Luxe eclat,390.04,91,2024-08-02,Paris,28,-63,8
P00186,Soins capillaires,Luxe eclat,390.04,91,2024-05-22,Marseille,242,151,5
P00187,Accessoires,Maison Pure,71.17,28,2024-02-21,Lyon,203,175,2
P00188,Soins de la peau,Essentielle Paris,56.07,40,2024-12-21,Paris,157,117,12
