id_achat,date_achat,id_produit,quantité,id_fournisseur,prix_unitaire,délai_livraison_jours,nom_fournisseur,ville,pays,fiabilité,délai_moyen_jours,cout_total,delai_deviation,retard_jours,mois_achat,on_time_delivery
PO000020,2024-12-22,P00597,50,S008,134.66,6,Gaillard S.A.,Berlin,Allemagne,0.64,7,6733.0,-1,0,12,1
PO000021,2024-12-07,P00960,100,S029,222.78,13,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,22278.0,7,7,12,0
PO000022,2024-06-13,P00917,75,S029,218.21,13,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,16365.75,7,7,6,0
PO000023,2024-01-25,P00023,100,S029,169.34,4,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,16934.0,-2,0,1,1
PO000024,2024-06-23,P00583,150,S048,50.24,8,Lecomte,Amsterdam,Pays-Bas,0.65,4,7536.0,4,4,6,0
PO000025,2024-04-29,P00754,75,S008,21.85,4,Gaillard S.A.,Berlin,Allemagne,0.64,7,1638.75,-3,0,4,1
PO000026,2024-06-16,P00977,500,S008,296.62,4,Gaillard S.A.,Berlin,Allemagne,0.64,7,148310.0,-3,0,6,1
PO000027,2024-04-19,P00875,200,S048,132.76,5,Lecomte,Amsterdam,Pays-Bas,0.65,4,26552.0,1,1,4,0
PO000028,2024-05-20,P00685,10,S008,54.98,7,Gaillard S.A.,Berlin,Allemagne,0.64,7,549.8,0,0,5,1
PO000029,2024-07-22,P00911,50,S008,141.07,12,Gaillard S.A.,Berlin,Allemagne,0.64,7,7053.5,5,5,7,0
PO000030,2024-07-03,P00624,50,S012,17.74,14,Lucas,Stockholm,Suède,1.0,11,886.9999999999999,3,3,7,0
PO000031,2024-01-02,P00652,25,S029,96.73,5,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,2418.25,-1,0,1,1
PO000032,2024-07-04,P00826,50,S028,212.35,3,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,10617.5,-5,0,7,1
PO000033,2024-02-03,P00488,50,S029,61.93,12,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,3096.5,6,6,2,0
PO000034,2024-09-25,P00075,10,S008,58.04,11,Gaillard S.A.,Berlin,Allemagne,0.64,7,580.4,4,4,9,0
PO000035,2024-09-28,P00492,25,S029,103.61,8,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,2590.25,2,2,9,0
PO000036,2024-10-11,P00492,10,S028,109.27,4,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,1092.7,-4,0,10,1
PO000037,2024-06-23,P00712,10,S008,231.74,2,Gaillard S.A.,Berlin,Allemagne,0.64,7,2317.4,-5,0,6,1
PO000038,2024-05-28,P00628,75,S028,225.36,2,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,16902.0,-6,0,5,1
PO000039,2024-07-27,P00067,50,S048,45.95,12,Lecomte,Amsterdam,Pays-Bas,0.65,4,2297.5,8,8,7,0
PO000040,2024-01-12,P00777,300,S012,188.66,2,Lucas,Stockholm,Suède,1.0,11,56598.0,-9,0,1,1
PO000041,2024-06-01,P00178,25,S029,286.95,14,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,7173.75,8,8,6,0
PO000042,2024-08-07,P00414,300,S012,247.82,14,Lucas,Stockholm,Suède,1.0,11,74346.0,3,3,8,0
PO000043,2024-01-20,P00720,10,S029,116.34,4,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,1163.4,-2,0,1,1
PO000044,2024-01-09,P00909,100,S007,85.54,13,Carlier,Prague,République tchèque,0.9,9,8554.0,4,4,1,0
PO000045,2024-07-13,P00751,25,S028,273.45,12,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,6836.25,4,4,7,0
PO000046,2024-11-26,P00271,150,S048,223.16,7,Lecomte,Amsterdam,Pays-Bas,0.65,4,33474.0,3,3,11,0
PO000047,2024-05-28,P00118,10,S044,119.89,10,Lopes,Amsterdam,Pays-Bas,0.85,9,1198.9,1,1,5,0
PO000048,2024-01-05,P00200,300,S028,289.17,2,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,86751.0,-6,0,1,1
PO000049,2024-10-21,P00449,10,S047,235.06,6,Duhamel,Berlin,Allemagne,0.7,10,2350.6,-4,0,10,1
PO000050,2024-08-18,P00113,25,S029,125.22,7,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,3130.5,1,1,8,0
PO000051,2024-05-13,P00708,75,S029,11.13,14,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,834.7500000000001,8,8,5,0
PO000052,2024-05-07,P00241,150,S021,159.8,11,Petitjean Andre SA,Oslo,Norvège,0.88,3,23970.0,8,8,5,0
PO000053,2024-09-14,P00253,300,S010,153.8,10,Pelletier,Paris,France,0.98,3,46140.0,7,7,9,0
PO000054,2024-12-02,P00559,50,S008,269.7,3,Gaillard S.A.,Berlin,Allemagne,0.64,7,13485.0,-4,0,12,1
PO000055,2024-04-27,P00515,150,S002,272.78,8,Morvan,Paris,France,0.86,9,40916.99999999999,-1,0,4,1
PO000056,2024-04-14,P00851,100,S029,57.93,7,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,5793.0,1,1,4,0
PO000057,2024-11-26,P00895,75,S002,206.59,14,Morvan,Paris,France,0.86,9,15494.25,5,5,11,0
PO000058,2024-11-20,P00697,100,S012,154.65,6,Lucas,Stockholm,Suède,1.0,11,15465.0,-5,0,11,1
PO000059,2024-03-15,P00697,10,S030,49.44,14,Delaunay,Copenhague,Danemark,0.7,6,494.4,8,8,3,0
PO000060,2024-06-06,P00640,50,S010,142.83,11,Pelletier,Paris,France,0.98,3,7141.500000000001,8,8,6,0
PO000061,2024-12-27,P00707,150,S002,112.94,6,Morvan,Paris,France,0.86,9,16941.0,-3,0,12,1
PO000062,2024-06-22,P00392,75,S045,296.7,8,Lagarde,Berlin,Allemagne,0.53,4,22252.5,4,4,6,0
PO000063,2024-02-29,P00170,200,S028,37.29,3,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,7458.0,-5,0,2,1
PO000064,2024-03-01,P00915,150,S012,127.07,10,Lucas,Stockholm,Suède,1.0,11,19060.5,-1,0,3,1
PO000065,2024-09-22,P00925,200,S008,158.22,2,Gaillard S.A.,Berlin,Allemagne,0.64,7,31644.0,-5,0,9,1
PO000066,2024-11-05,P00750,25,S028,170.04,10,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,4251.0,2,2,11,0
PO000067,2024-05-25,P00551,25,S029,24.7,6,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,617.5,0,0,5,1
PO000068,2024-05-07,P00294,10,S028,26.01,6,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,260.1,-2,0,5,1
PO000069,2024-02-14,P00786,500,S050,166.51,9,Carlier SA,Bruxelles,Belgique,0.64,11,83255.0,-2,0,2,1
PO000070,2024-08-11,P00802,25,S002,114.27,3,Morvan,Paris,France,0.86,9,2856.75,-6,0,8,1
PO000071,2024-10-06,P00321,50,S012,184.46,5,Lucas,Stockholm,Suède,1.0,11,9223.0,-6,0,10,1
PO000072,2024-06-24,P00079,50,S035,257.36,14,Laine,Lisbonne,Portugal,0.9,7,12868.0,7,7,6,0
PO000073,2024-06-11,P00488,10,S029,159.6,12,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,1596.0,6,6,6,0
PO000074,2024-07-12,P00168,50,S048,274.16,11,Lecomte,Amsterdam,Pays-Bas,0.65,4,13708.000000000002,7,7,7,0
PO000075,2024-10-21,P00749,10,S026,193.36,3,Bourdon,Bruxelles,Belgique,0.81,6,1933.6000000000001,-3,0,10,1
PO000076,2024-09-25,P00054,50,S029,29.64,2,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,1482.0,-4,0,9,1
PO000077,2024-12-30,P00603,300,S006,270.37,12,Jean,Zurich,Suisse,0.68,8,81111.0,4,4,12,0
PO000078,2024-04-02,P00536,100,S002,168.43,5,Morvan,Paris,France,0.86,9,16843.0,-4,0,4,1
PO000079,2024-09-21,P00325,100,S045,28.0,5,Lagarde,Berlin,Allemagne,0.53,4,2800.0,1,1,9,0
PO000080,2024-10-24,P00752,75,S028,24.54,12,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,1840.5,4,4,10,0
PO000081,2024-02-25,P00419,150,S008,287.52,10,Gaillard S.A.,Berlin,Allemagne,0.64,7,43128.0,3,3,2,0
PO000082,2024-02-18,P00931,200,S019,250.25,13,Leduc,Oslo,Norvège,0.87,11,50050.0,2,2,2,0
PO000083,2024-09-13,P00234,300,S029,196.41,9,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,58923.0,3,3,9,0
PO000084,2024-11-07,P00325,10,S029,171.05,3,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,1710.5,-3,0,11,1
PO000085,2024-09-29,P00591,200,S028,109.0,4,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,21800.0,-4,0,9,1
PO000086,2024-11-06,P00876,25,S028,108.17,2,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,2704.25,-6,0,11,1
PO000087,2024-08-04,P00178,50,S012,250.29,11,Lucas,Stockholm,Suède,1.0,11,12514.5,0,0,8,1
PO000088,2024-11-25,P00983,50,S029,58.03,8,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,2901.5,2,2,11,0
PO000089,2024-10-30,P00646,100,S002,270.17,2,Morvan,Paris,France,0.86,9,27017.0,-7,0,10,1
PO000090,2024-10-07,P00823,75,S029,255.78,3,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,19183.5,-3,0,10,1
PO000091,2024-07-15,P00080,25,S028,49.41,8,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,1235.25,0,0,7,1
PO000092,2024-10-05,P00029,150,S012,18.93,7,Lucas,Stockholm,Suède,1.0,11,2839.5,-4,0,10,1
PO000093,2024-12-19,P00361,50,S008,35.81,2,Gaillard S.A.,Berlin,Allemagne,0.64,7,1790.5,-5,0,12,1
PO000094,2024-12-25,P00890,10,S029,60.48,4,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,604.8,-2,0,12,1
PO000095,2024-04-02,P00240,50,S029,285.53,7,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,14276.499999999998,1,1,4,0
PO000096,2024-02-02,P00070,75,S010,143.3,3,Pelletier,Paris,France,0.98,3,10747.5,0,0,2,1
PO000097,2024-04-19,P00259,10,S028,156.89,8,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,1568.8999999999999,0,0,4,1
PO000098,2024-09-02,P00428,25,S028,50.72,3,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,1268.0,-5,0,9,1
PO000099,2024-09-27,P00557,500,S034,248.05,5,Bertrand S.A.,Varsovie,Pologne,0.56,6,124025.0,-1,0,9,1
PO000100,2024-12-04,P00515,200,S029,81.06,13,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,16212.0,7,7,12,0
PO000101,2024-02-19,P00901,25,S028,49.7,8,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,1242.5,0,0,2,1
PO000102,2024-09-06,P00054,75,S028,78.34,13,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,5875.5,5,5,9,0
PO000103,2024-08-29,P00892,50,S029,188.95,14,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,9447.5,8,8,8,0
PO000104,2024-07-03,P00755,75,S010,293.27,8,Pelletier,Paris,France,0.98,3,21995.25,5,5,7,0
PO000105,2024-07-05,P00793,75,S008,209.08,6,Gaillard S.A.,Berlin,Allemagne,0.64,7,15681.000000000002,-1,0,7,1
PO000106,2024-01-19,P00090,10,S008,216.95,8,Gaillard S.A.,Berlin,Allemagne,0.64,7,2169.5,1,1,1,0
PO000107,2024-08-21,P00569,50,S028,133.75,13,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,6687.5,5,5,8,0
PO000108,2024-03-09,P00988,25,S037,83.73,13,Charles SARL,Helsinki,Finlande,0.54,8,2093.25,5,5,3,0
PO000109,2024-12-15,P00376,75,S028,21.16,7,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,1587.0,-1,0,12,1
PO000110,2024-10-19,P00975,200,S029,42.34,11,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,8468.0,5,5,10,0
PO000111,2024-08-06,P00116,500,S032,132.66,14,Munoz SA,Dublin,Irlande,0.53,4,66330.0,10,10,8,0
PO000112,2024-07-12,P00501,300,S048,218.47,3,Lecomte,Amsterdam,Pays-Bas,0.65,4,65541.0,-1,0,7,1
PO000113,2024-04-02,P00980,500,S029,204.11,8,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,102055.0,2,2,4,0
PO000114,2024-01-11,P00625,10,S029,286.49,3,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,2864.9,-3,0,1,1
PO000115,2024-12-24,P00483,100,S046,190.03,5,Roche,Rome,Italie,0.54,4,19003.0,1,1,12,0
PO000116,2024-01-31,P00858,50,S048,141.45,13,Lecomte,Amsterdam,Pays-Bas,0.65,4,7072.499999999999,9,9,1,0
PO000117,2024-03-04,P00881,200,S029,261.2,7,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,52240.0,1,1,3,0
PO000118,2024-06-21,P00484,150,S029,61.47,9,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,9220.5,3,3,6,0
PO000119,2024-01-15,P00994,50,S028,47.68,3,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,2384.0,-5,0,1,1
PO000120,2024-04-30,P00517,75,S029,267.59,7,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,20069.249999999996,1,1,4,0
PO000121,2024-08-27,P00031,50,S028,166.83,4,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,8341.5,-4,0,8,1
PO000122,2024-12-14,P00139,50,S008,121.04,10,Gaillard S.A.,Berlin,Allemagne,0.64,7,6052.0,3,3,12,0
PO000123,2024-10-02,P00313,500,S002,121.91,6,Morvan,Paris,France,0.86,9,60955.0,-3,0,10,1
PO000124,2024-01-12,P00705,200,S028,69.53,2,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,13906.0,-6,0,1,1
PO000125,2024-02-29,P00367,25,S012,271.02,13,Lucas,Stockholm,Suède,1.0,11,6775.5,2,2,2,0
PO000126,2024-12-21,P00368,50,S028,222.65,6,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,11132.5,-2,0,12,1
PO000127,2024-08-20,P00254,25,S028,173.23,10,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,4330.75,2,2,8,0
PO000128,2024-05-19,P00334,500,S008,96.72,8,Gaillard S.A.,Berlin,Allemagne,0.64,7,48360.0,1,1,5,0
PO000129,2024-11-07,P00683,200,S029,143.7,8,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,28739.999999999996,2,2,11,0
PO000130,2024-10-27,P00752,75,S029,96.99,8,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,7274.25,2,2,10,0
PO000131,2024-09-29,P00186,100,S026,91.26,5,Bourdon,Bruxelles,Belgique,0.81,6,9126.0,-1,0,9,1
PO000132,2024-01-12,P00504,100,S028,141.34,12,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,14134.0,4,4,1,0
PO000133,2024-04-29,P00632,25,S030,158.5,5,Delaunay,Copenhague,Danemark,0.7,6,3962.5,-1,0,4,1
PO000134,2024-04-17,P00842,300,S010,272.12,13,Pelletier,Paris,France,0.98,3,81636.0,10,10,4,0
PO000135,2024-08-15,P00574,75,S045,214.42,6,Lagarde,Berlin,Allemagne,0.53,4,16081.499999999998,2,2,8,0
PO000136,2024-09-27,P00054,10,S028,218.56,13,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,2185.6,5,5,9,0
PO000137,2024-07-02,P00936,50,S028,217.57,9,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,10878.5,1,1,7,0
PO000138,2024-01-27,P00422,100,S010,285.47,8,Pelletier,Paris,France,0.98,3,28547.000000000004,5,5,1,0
PO000139,2024-09-08,P00350,50,S028,159.6,8,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,7980.0,0,0,9,1
PO000140,2024-04-11,P00536,100,S046,296.72,12,Roche,Rome,Italie,0.54,4,29672.000000000004,8,8,4,0
PO000141,2024-07-09,P00667,200,S041,234.49,12,Lemaître De Sousa SA,Dublin,Irlande,0.54,10,46898.0,2,2,7,0
PO000142,2024-01-06,P00302,150,S010,210.9,13,Pelletier,Paris,France,0.98,3,31635.0,10,10,1,0
PO000143,2024-07-23,P00919,100,S008,91.43,6,Gaillard S.A.,Berlin,Allemagne,0.64,7,9143.0,-1,0,7,1
PO000144,2024-07-24,P00078,75,S008,102.81,6,Gaillard S.A.,Berlin,Allemagne,0.64,7,7710.75,-1,0,7,1
PO000145,2024-05-14,P00454,50,S010,229.91,7,Pelletier,Paris,France,0.98,3,11495.5,4,4,5,0
PO000146,2024-08-20,P00846,75,S029,242.64,13,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,18198.0,7,7,8,0
PO000147,2024-12-12,P00174,50,S048,77.58,5,Lecomte,Amsterdam,Pays-Bas,0.65,4,3879.0,1,1,12,0
PO000148,2024-09-17,P00598,300,S008,250.02,10,Gaillard S.A.,Berlin,Allemagne,0.64,7,75006.0,3,3,9,0
PO000149,2024-02-10,P00430,200,S028,201.25,9,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,40250.0,1,1,2,0
PO000150,2024-09-28,P00508,25,S029,25.04,14,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,626.0,8,8,9,0
PO000151,2024-08-12,P00711,150,S010,271.4,10,Pelletier,Paris,France,0.98,3,40710.0,7,7,8,0
PO000152,2024-11-25,P00204,100,S028,181.21,7,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,18121.0,-1,0,11,1
PO000153,2024-09-19,P00176,500,S029,212.78,11,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,106390.0,5,5,9,0
PO000154,2024-03-04,P00438,75,S028,103.69,8,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,7776.75,0,0,3,1
PO000155,2024-10-30,P00689,100,S028,282.08,11,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,28208.0,3,3,10,0
PO000156,2024-05-01,P00159,75,S032,158.9,2,Munoz SA,Dublin,Irlande,0.53,4,11917.5,-2,0,5,1
PO000157,2024-06-21,P00584,10,S007,89.94,10,Carlier,Prague,République tchèque,0.9,9,899.4,1,1,6,0
PO000158,2024-05-23,P00066,10,S008,75.67,7,Gaillard S.A.,Berlin,Allemagne,0.64,7,756.7,0,0,5,1
PO000159,2024-01-08,P00683,25,S029,260.56,2,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,6514.0,-4,0,1,1
PO000160,2024-02-05,P00729,50,S046,35.81,3,Roche,Rome,Italie,0.54,4,1790.5,-1,0,2,1
PO000161,2024-06-01,P00595,50,S023,119.61,5,Albert,Bruxelles,Belgique,0.83,9,5980.5,-4,0,6,1
PO000162,2024-01-21,P00340,100,S029,40.16,11,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,4015.9999999999995,5,5,1,0
PO000163,2024-12-06,P00338,100,S008,281.71,5,Gaillard S.A.,Berlin,Allemagne,0.64,7,28170.999999999996,-2,0,12,1
PO000164,2024-10-23,P00094,500,S010,165.04,10,Pelletier,Paris,France,0.98,3,82520.0,7,7,10,0
PO000165,2024-01-15,P00031,50,S008,182.48,14,Gaillard S.A.,Berlin,Allemagne,0.64,7,9124.0,7,7,1,0
PO000166,2024-04-02,P00343,300,S029,255.84,11,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,76752.0,5,5,4,0
PO000167,2024-02-13,P00401,100,S046,92.63,5,Roche,Rome,Italie,0.54,4,9263.0,1,1,2,0
PO000168,2024-09-09,P00597,75,S028,60.47,2,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,4535.25,-6,0,9,1
PO000169,2024-03-18,P00205,100,S028,137.0,14,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,13700.0,6,6,3,0
PO000170,2024-10-13,P00420,100,S029,68.91,13,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,6891.0,7,7,10,0
PO000171,2024-03-21,P00910,25,S028,196.6,13,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,4915.0,5,5,3,0
PO000172,2024-01-10,P00604,150,S029,230.44,11,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,34566.0,5,5,1,0
PO000173,2024-10-16,P00009,100,S028,87.82,5,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,8782.0,-3,0,10,1
PO000174,2024-02-17,P00857,500,S029,287.11,3,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,143555.0,-3,0,2,1
PO000175,2024-10-27,P00330,200,S028,229.39,5,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,45878.0,-3,0,10,1
PO000176,2024-12-26,P00273,100,S028,196.88,11,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,19688.0,3,3,12,0
PO000177,2024-06-12,P00959,100,S028,187.65,7,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,18765.0,-1,0,6,1
PO000178,2024-11-23,P00335,300,S029,274.27,10,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,82281.0,4,4,11,0
PO000179,2024-04-26,P00533,300,S028,214.41,8,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,64323.0,0,0,4,1
PO000180,2024-08-29,P00708,150,S048,291.43,14,Lecomte,Amsterdam,Pays-Bas,0.65,4,43714.5,10,10,8,0
PO000181,2024-11-30,P00625,150,S012,64.11,3,Lucas,Stockholm,Suède,1.0,11,9616.5,-8,0,11,1
PO000182,2024-05-04,P00793,25,S046,83.3,3,Roche,Rome,Italie,0.54,4,2082.5,-1,0,5,1
PO000183,2024-11-12,P00489,150,S010,244.85,14,Pelletier,Paris,France,0.98,3,36727.5,11,11,11,0
PO000184,2024-04-18,P00152,50,S029,36.58,2,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,1829.0,-4,0,4,1
PO000185,2024-07-20,P00571,75,S010,294.08,12,Pelletier,Paris,France,0.98,3,22056.0,9,9,7,0
PO000186,2024-03-23,P00588,50,S008,122.25,14,Gaillard S.A.,Berlin,Allemagne,0.64,7,6112.5,7,7,3,0
PO000187,2024-01-20,P00050,50,S012,93.63,10,Lucas,Stockholm,Suède,1.0,11,4681.5,-1,0,1,1
PO000188,2024-12-08,P00757,50,S029,45.95,5,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,2297.5,-1,0,12,1
PO000189,2024-07-08,P00959,200,S008,90.62,6,Gaillard S.A.,Berlin,Allemagne,0.64,7,18124.0,-1,0,7,1
PO000190,2024-05-18,P00316,150,S046,126.84,12,Roche,Rome,Italie,0.54,4,19026.0,8,8,5,0
PO000191,2024-05-26,P00411,75,S029,11.14,14,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,835.5,8,8,5,0
PO000192,2024-12-14,P00499,100,S017,198.47,7,Bodin,Rome,Italie,0.87,5,19847.0,2,2,12,0
PO000193,2024-01-18,P00800,500,S021,279.38,3,Petitjean Andre SA,Oslo,Norvège,0.88,3,139690.0,0,0,1,1
PO000194,2024-12-08,P00884,50,S029,177.52,3,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,8876.0,-3,0,12,1
PO000195,2024-05-24,P00105,75,S028,21.41,9,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,1605.75,1,1,5,0
PO000196,2024-07-08,P00306,75,S012,120.66,8,Lucas,Stockholm,Suède,1.0,11,9049.5,-3,0,7,1
PO000197,2024-08-05,P00077,300,S028,247.84,13,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,74352.0,5,5,8,0
PO000198,2024-02-17,P00122,50,S046,61.96,5,Roche,Rome,Italie,0.54,4,3098.0,1,1,2,0
PO000199,2024-01-06,P00101,500,S002,192.72,13,Morvan,Paris,France,0.86,9,96360.0,4,4,1,0
PO000200,2024-06-26,P00549,50,S008,134.22,6,Gaillard S.A.,Berlin,Allemagne,0.64,7,6711.0,-1,0,6,1
PO000201,2024-10-19,P00219,25,S029,56.83,8,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,1420.75,2,2,10,0
PO000202,2024-01-10,P00767,25,S008,127.35,4,Gaillard S.A.,Berlin,Allemagne,0.64,7,3183.75,-3,0,1,1
PO000203,2024-01-02,P00371,50,S029,104.61,11,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,5230.5,5,5,1,0
PO000204,2024-03-16,P00406,100,S010,266.37,9,Pelletier,Paris,France,0.98,3,26637.0,6,6,3,0
PO000205,2024-06-10,P00211,75,S008,30.16,12,Gaillard S.A.,Berlin,Allemagne,0.64,7,2262.0,5,5,6,0
PO000206,2024-04-02,P00244,50,S028,107.86,10,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,5393.0,2,2,4,0
