id_commande,date_commande,id_produit,quantité,entrepôt,statut,date_retour,motif
O000235,2024-12-11,P00905,1,Lyon,Expédié,null,null
O000236,2024-08-29,P00872,1,Paris,Livré,null,null
O000237,2024-11-16,P00250,5,Lyon,Livré,2024-12-15,Client insatisfait
O000238,2024-02-09,P00886,1,Marseille,Expédié,null,null
O000239,2024-08-19,P00136,1,Marseille,Livré,null,null
O000240,2024-01-30,P00718,3,Marseille,Livré,null,null
O000241,2024-12-14,P00624,5,Paris,Livré,null,null
O000242,2024-11-23,P00013,5,Paris,Livré,null,null
O000243,2024-07-02,P00526,1,Lyon,Livré,null,null
O000244,2024-03-10,P00335,5,Marseille,Livré,null,null
O000245,2024-11-08,P00355,1,Lyon,Livré,null,null
O000247,2024-01-22,P00767,2,Marseille,Expédié,null,null
O000248,2024-08-16,P00379,8,Marseille,Expédié,null,null
O000249,2024-02-27,P00157,5,Marseille,Livré,2024-03-13,Client insatisfait
O000250,2024-07-10,P00906,10,Paris,Livré,null,null
O000251,2024-09-16,P00408,5,Lyon,Livré,null,null
O000252,2024-04-17,P00463,3,Lyon,Livré,null,null
O000253,2024-03-21,P00343,1,Paris,Livré,null,null
O000254,2024-12-14,P00810,2,Paris,Expédié,null,null
O000255,2024-10-14,P00811,2,Lyon,Livré,2024-11-01,Livraison incomplète
O000256,2024-11-19,P00330,1,Paris,Livré,null,null
O000257,2024-08-10,P00615,15,Paris,Livré,2024-09-04,Produit abîmé
O000259,2024-11-15,P00629,2,Lyon,Livré,null,null
O000260,2024-12-02,P00876,12,Marseille,Livré,null,null
O000261,2024-10-03,P00765,5,Paris,Livré,null,null
O000262,2024-12-03,P00355,8,Marseille,Livré,null,null
O000263,2024-05-09,P00055,3,Lyon,Expédié,null,null
O000264,2024-11-05,P00426,3,Lyon,Expédié,null,null
O000265,2024-11-11,P00924,3,Lyon,Expédié,null,null
O000266,2024-02-01,P00253,1,Paris,Livré,null,null
O000267,2024-12-23,P00516,8,Marseille,Livré,null,null
O000268,2024-12-15,P00541,2,Paris,Livré,null,null
O000269,2024-12-24,P00864,1,Marseille,Expédié,null,null
O000270,2024-12-23,P00319,5,Paris,Expédié,null,null
O000271,2024-01-15,P00948,1,Paris,Livré,null,null
O000272,2024-01-06,P00277,15,Lyon,Expédié,null,null
O000273,2024-09-02,P00767,15,Marseille,Livré,null,null
O000274,2024-11-12,P00296,12,Marseille,Expédié,null,null
O000275,2024-11-19,P00470,2,Marseille,Livré,null,null
O000276,2024-12-28,P00299,1,Lyon,Livré,null,null
O000277,2024-12-02,P00585,12,Paris,Expédié,null,null
O000278,2024-12-09,P00520,2,Marseille,Expédié,null,null
O000279,2024-10-16,P00398,15,Marseille,Expédié,null,null
O000280,2024-11-13,P00091,15,Marseille,Expédié,null,null
O000282,2024-03-13,P00355,10,Marseille,Livré,null,null
O000283,2024-10-29,P00610,2,Marseille,Expédié,null,null
O000285,2024-09-10,P00229,2,Marseille,Livré,null,null
O000286,2024-11-29,P00463,10,Lyon,Livré,null,null
O000287,2024-12-06,P00404,2,Paris,Livré,null,null
O000288,2024-08-27,P00366,1,Lyon,Livré,null,null
O000290,2024-10-17,P00234,3,Lyon,Livré,null,null
O000291,2024-03-23,P00613,12,Paris,Expédié,null,null
O000292,2024-11-05,P00014,5,Paris,Livré,null,null
O000293,2024-02-07,P00921,3,Paris,Livré,null,null
O000294,2024-08-20,P00759,1,Paris,Livré,null,null
O000295,2024-03-24,P00121,5,Marseille,Expédié,null,null
O000296,2024-12-28,P00415,20,Marseille,Expédié,null,null
O000297,2024-12-30,P00184,1,Paris,Livré,null,null
O000298,2024-02-01,P00541,3,Marseille,Livré,2024-02-23,Client insatisfait
O000299,2024-12-13,P00366,10,Lyon,Livré,null,null
O000300,2024-03-13,P00182,8,Lyon,Livré,null,null
O000301,2024-05-09,P00681,5,Paris,Expédié,null,null
O000303,2024-10-14,P00302,5,Lyon,Expédié,null,null
O000304,2024-10-21,P00229,2,Lyon,Expédié,null,null
O000305,2024-12-15,P00890,2,Paris,Expédié,null,null
O000306,2024-11-02,P00445,8,Lyon,Livré,null,null
O000307,2024-10-20,P00341,8,Paris,Expédié,null,null
O000308,2024-11-17,P00202,10,Marseille,Expédié,null,null
O000309,2024-03-20,P00129,12,Lyon,Livré,null,null
O000310,2024-12-08,P00867,3,Lyon,Livré,null,null
O000312,2024-12-08,P00373,3,Marseille,Expédié,null,null
O000314,2024-11-13,P00765,8,Lyon,Livré,null,null
O000315,2024-09-08,P00008,5,Marseille,Expédié,null,null
O000316,2024-12-30,P00506,5,Lyon,Livré,null,null
O000317,2024-12-24,P00779,8,Marseille,Expédié,null,null
O000318,2024-12-13,P00143,12,Lyon,Expédié,null,null
O000319,2024-01-20,P00175,2,Marseille,Expédié,null,null
O000320,2024-10-25,P00373,2,Marseille,Expédié,null,null
O000321,2024-09-14,P00046,1,Marseille,Livré,null,null
O000323,2024-12-01,P00324,3,Lyon,Livré,null,null
O000324,2024-01-27,P00336,1,Marseille,Livré,null,null
O000325,2024-11-18,P00362,3,Lyon,Expédié,null,null
O000326,2024-12-24,P00811,3,Lyon,Expédié,null,null
O000327,2024-06-10,P00347,2,Marseille,Livré,null,null
O000328,2024-12-22,P00388,3,Marseille,Livré,null,null
O000329,2024-03-15,P00099,1,Marseille,Livré,2024-04-06,Livraison incomplète
O000330,2024-12-07,P00688,1,Lyon,Livré,null,null
O000331,2024-11-13,P00014,10,Lyon,Livré,null,null
O000333,2024-03-19,P00336,2,Paris,Livré,null,null
O000334,2024-03-05,P00865,1,Lyon,Livré,null,null
O000335,2024-05-05,P00971,3,Lyon,Expédié,null,null
O000336,2024-02-19,P00938,8,Marseille,Livré,null,null
O000337,2024-03-10,P00233,1,Paris,Expédié,null,null
O000338,2024-09-10,P00510,5,Marseille,Livré,null,null
O000339,2024-01-05,P00128,1,Paris,Expédié,null,null
O000341,2024-09-09,P00341,1,Paris,Livré,null,null
O000343,2024-10-06,P00417,3,Lyon,Expédié,null,null
O000344,2024-12-13,P00778,3,Marseille,Livré,null,null
O000345,2024-08-24,P00268,5,Marseille,Livré,null,null
O000348,2024-02-02,P00273,8,Marseille,Expédié,null,null
O000349,2024-12-05,P00957,15,Paris,Livré,null,null
O000350,2024-10-14,P00916,3,Lyon,Livré,null,null
O000351,2024-12-09,P00070,2,Paris,Livré,null,null
O000352,2024-12-28,P00357,8,Marseille,Expédié,null,null
O000353,2024-05-28,P00550,2,Lyon,Expédié,null,null
O000354,2024-05-14,P00952,2,Marseille,Livré,null,null
O000355,2024-04-03,P00099,1,Lyon,Livré,null,null
O000357,2024-01-31,P00070,1,Paris,Expédié,null,null
O000358,2024-08-03,P00881,15,Marseille,Livré,null,null
O000359,2024-01-26,P00615,10,Lyon,Livré,2024-02-25,Client insatisfait
O000360,2024-12-07,P00550,5,Marseille,Expédié,null,null
O000361,2024-04-04,P00234,2,Paris,Livré,null,null
O000362,2024-12-15,P00151,1,Paris,Livré,null,null
O000363,2024-02-12,P00721,1,Marseille,Expédié,null,null
O000364,2024-01-24,P00738,2,Lyon,Livré,null,null
O000365,2024-11-03,P00755,3,Paris,Livré,null,null
O000366,2024-01-16,P00377,5,Paris,Livré,null,null
O000368,2024-01-14,P00629,5,Lyon,Livré,null,null
O000369,2024-10-04,P00370,2,Paris,Livré,null,null
O000370,2024-11-29,P00016,15,Paris,Expédié,null,null
O000371,2024-10-20,P00355,8,Lyon,Livré,null,null
O000372,2024-12-25,P00943,3,Paris,Livré,2025-01-12,Client insatisfait
O000373,2024-12-09,P00781,5,Marseille,Livré,null,null
O000374,2024-02-28,P00906,2,Paris,Livré,null,null
O000375,2024-10-08,P00035,1,Marseille,Livré,null,null
O000377,2024-09-06,P00767,2,Marseille,Livré,null,null
O000378,2024-10-19,P00936,8,Lyon,Livré,null,null
O000379,2024-01-19,P00093,1,Lyon,Livré,null,null
O000380,2024-04-13,P00899,1,Marseille,Livré,null,null
O000381,2024-12-13,P00234,1,Lyon,Livré,null,null
O000382,2024-10-13,P00037,1,Marseille,Livré,null,null
O000385,2024-12-15,P00414,10,Paris,Livré,null,null
O000386,2024-02-05,P00654,5,Marseille,Livré,null,null
O000387,2024-10-04,P00764,3,Marseille,Livré,null,null
O000388,2024-09-02,P00193,1,Marseille,Livré,null,null
O000391,2024-02-08,P00462,3,Lyon,Livré,null,null
O000393,2024-02-13,P00242,3,Marseille,Expédié,null,null
O000394,2024-02-10,P00366,1,Paris,Expédié,null,null
O000395,2024-04-08,P00362,2,Lyon,Livré,null,null
O000396,2024-05-28,P00133,2,Marseille,Livré,null,null
O000397,2024-01-21,P00521,5,Lyon,Livré,null,null
O000398,2024-12-02,P00836,5,Marseille,Livré,null,null
O000399,2024-04-06,P00521,1,Marseille,Expédié,null,null
O000400,2024-11-06,P00370,2,Paris,Expédié,null,null
O000401,2024-12-18,P00417,5,Paris,Livré,null,null
O000402,2024-12-15,P00182,3,Lyon,Expédié,null,null
O000403,2024-01-26,P00337,10,Lyon,Livré,null,null
O000404,2024-01-07,P00170,5,Paris,Livré,null,null
O000405,2024-12-27,P00963,1,Lyon,Livré,null,null
O000406,2024-03-17,P00466,1,Lyon,Livré,null,null
O000407,2024-11-22,P00604,5,Paris,Livré,null,null
O000408,2024-11-08,P00044,1,Paris,Livré,null,null
O000409,2024-10-13,P00014,3,Paris,Livré,null,null
O000411,2024-03-23,P00202,15,Paris,Livré,null,null
O000413,2024-11-29,P00516,3,Paris,Expédié,null,null
O000414,2024-11-28,P00890,2,Paris,Livré,null,null
O000415,2024-05-27,P00240,5,Lyon,Livré,null,null
O000416,2024-12-30,P00952,3,Marseille,Livré,null,null
O000417,2024-03-11,P00943,3,Paris,Expédié,null,null
O000418,2024-06-08,P00865,15,Lyon,Expédié,null,null
O000419,2024-10-30,P00971,2,Lyon,Expédié,null,null
O000420,2024-03-18,P00742,15,Lyon,Expédié,null,null
O000421,2024-09-07,P00396,12,Marseille,Livré,null,null
O000422,2024-09-07,P00136,1,Marseille,Livré,null,null
O000423,2024-12-21,P00008,1,Marseille,Expédié,null,null
O000424,2024-09-02,P00704,1,Lyon,Livré,null,null
O000425,2024-12-23,P00973,1,Paris,Livré,null,null
O000426,2024-02-19,P00277,1,Lyon,Livré,null,null
O000427,2024-08-23,P00620,5,Marseille,Livré,null,null
O000428,2024-11-18,P00362,1,Marseille,Livré,null,null
O000431,2024-09-16,P00865,2,Paris,Livré,null,null
O000432,2024-06-19,P00334,10,Lyon,Expédié,null,null
O000433,2024-11-14,P00149,1,Marseille,Livré,null,null
O000434,2024-09-04,P00688,8,Lyon,Livré,null,null
O000436,2024-08-22,P00284,2,Lyon,Livré,null,null
O000438,2024-01-11,P00467,1,Lyon,Livré,null,null
O000439,2024-09-12,P00817,5,Marseille,Livré,null,null
O000440,2024-11-07,P00170,5,Lyon,Livré,null,null
O000441,2024-09-09,P00133,10,Marseille,Livré,null,null
O000442,2024-12-11,P00871,8,Lyon,Livré,null,null
O000443,2024-11-02,P00252,8,Lyon,Livré,null,null
O000444,2024-12-31,P00612,2,Marseille,Expédié,null,null
O000446,2024-01-19,P00253,1,Marseille,Livré,null,null
O000448,2024-01-24,P00222,8,Paris,Livré,null,null
O000449,2024-11-25,P00063,8,Lyon,Livré,null,null
O000450,2024-09-16,P00184,20,Lyon,Livré,null,null
O000452,2024-12-09,P00876,2,Lyon,Livré,null,null
O000454,2024-12-07,P00470,2,Lyon,Expédié,null,null
O000455,2024-02-09,P00373,8,Lyon,Expédié,null,null
O000456,2024-02-06,P00258,2,Marseille,Livré,null,null
O000457,2024-12-24,P00800,12,Marseille,Livré,null,null
O000458,2024-11-09,P00923,10,Marseille,Livré,null,null
O000459,2024-12-12,P00794,2,Paris,Expédié,null,null
O000460,2024-12-04,P00039,8,Paris,Expédié,null,null
O000462,2024-10-30,P00080,8,Paris,Expédié,null,null
O000464,2024-10-18,P00651,1,Marseille,Livré,null,null
O000465,2024-03-03,P00557,12,Paris,Livré,null,null
O000466,2024-05-17,P00912,3,Paris,Livré,null,null
O000467,2024-10-12,P00955,10,Lyon,Livré,null,null
O000468,2024-03-28,P00893,2,Paris,Livré,null,null
O000469,2024-04-15,P00811,12,Marseille,Livré,null,null
O000470,2024-10-17,P00503,2,Paris,Livré,null,null
O000471,2024-02-27,P00377,1,Lyon,Livré,null,null
O000472,2024-10-06,P00509,12,Marseille,Livré,null,null
O000473,2024-03-09,P00152,1,Marseille,Livré,2024-03-28,Client insatisfait
O000474,2024-04-02,P00226,2,Lyon,Livré,null,null
O000475,2024-10-19,P00729,15,Marseille,Expédié,null,null
O000476,2024-03-29,P00923,15,Marseille,Expédié,null,null
O000477,2024-04-10,P00890,3,Marseille,Expédié,null,null
O000479,2024-01-05,P00988,5,Paris,Livré,null,null
O000480,2024-11-02,P00107,2,Lyon,Livré,null,null
O000481,2024-10-16,P00126,2,Marseille,Livré,null,null
O000482,2024-12-12,P00414,2,Lyon,Livré,null,null
O000483,2024-01-31,P00811,5,Lyon,Expédié,null,null
O000484,2024-04-27,P00390,8,Paris,Livré,null,null
O000486,2024-05-19,P00963,8,Paris,Expédié,null,null
O000487,2024-05-24,P00250,8,Paris,Livré,null,null
O000488,2024-09-02,P00924,1,Marseille,Livré,null,null
O000489,2024-11-13,P00467,3,Paris,Livré,null,null
O000490,2024-11-06,P00738,1,Lyon,Livré,null,null
O000491,2024-09-21,P00754,3,Lyon,Livré,null,null
O000492,2024-12-04,P00787,2,Paris,Livré,null,null
O000493,2024-11-09,P00865,10,Paris,Expédié,null,null
O000494,2024-01-27,P00366,2,Lyon,Expédié,null,null
O000495,2024-12-01,P00118,1,Lyon,Expédié,null,null
O000496,2024-09-14,P00136,1,Marseille,Livré,2024-10-07,Mauvaise référence
O000497,2024-04-29,P00377,8,Paris,Livré,2024-05-28,Mauvaise référence
O000498,2024-10-06,P00490,5,Paris,Livré,null,null
O000499,2024-10-10,P00698,1,Marseille,Expédié,null,null
O000500,2024-12-13,P00119,1,Marseille,Expédié,null,null
O000501,2024-03-25,P00604,5,Marseille,Livré,null,null
O000502,2024-10-31,P00981,1,Paris,Livré,null,null
O000503,2024-02-19,P00011,10,Paris,Livré,2024-03-14,Client insatisfait
O000504,2024-12-15,P00025,5,Lyon,Livré,null,null
O000505,2024-12-04,P00136,1,Paris,Livré,null,null
O000507,2024-03-28,P00613,1,Lyon,Livré,null,null
O000508,2024-02-15,P00121,20,Paris,Livré,2024-03-12,Livraison incomplète
O000510,2024-01-29,P00972,2,Lyon,Livré,null,null
O000511,2024-12-03,P00809,2,Lyon,Expédié,null,null
O000513,2024-11-28,P00478,8,Paris,Livré,null,null
O000514,2024-11-21,P00093,15,Marseille,Livré,2024-12-15,Produit abîmé
O000515,2024-02-14,P00234,20,Paris,Livré,2024-03-11,Client insatisfait
O000516,2024-11-14,P00541,8,Paris,Livré,null,null
O000517,2024-12-06,P00613,2,Lyon,Livré,null,null
O000518,2024-12-28,P00400,1,Paris,Livré,null,null
O000519,2024-01-23,P00507,8,Paris,Livré,null,null
O000520,2024-12-17,P00679,3,Marseille,Livré,null,null
